sid,lon,lat,alt,depth (cm),station_name,instrument
1,-105.417,34.25,1882.14,5.08,AdamsRanch#1,Hydraprobe-Analog-(5.0-Volt)
2,-105.417,34.25,1882.14,5.08,AdamsRanch#1,Hydraprobe-Analog-(2.5-Volt)
3,-119.9534,40.87959,1971.14,5.08,Buckhorn,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
4,-102.1,35.167,1164.34,5.08,Bushland#1,Hydraprobe-Analog-(2.5-Volt)
5,-102.1,35.167,1164.34,5.08,Bushland#1,Hydraprobe-Analog-(5.0-Volt)
6,-113.117,37.35,1918.41,5.08,CaveValley,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
7,-113.117,37.35,1918.41,5.08,CaveValley,Hydraprobe-Digital-Sdi-12-(2.5-Volt)-A
8,-113.117,37.35,1918.41,5.08,CaveValley,Hydraprobe-Digital-Sdi-12-(2.5-Volt)-B
9,-115.833,36.367,2047.65,5.08,Charkiln,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
10,-112.25,38.15,1865.38,5.08,Circleville,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
11,-119.6,35.12,798.16,5.08,CochoraRanch,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
12,-111.917,48.3,1129.59,5.08,ConradAgRc,Hydraprobe-Analog-(2.5-Volt)-A
13,-111.917,48.3,1129.59,5.08,ConradAgRc,Hydraprobe-Analog-(2.5-Volt)
14,-104.71,40.82,1623.22,5.08,Cper,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
15,-103.25,33.533,1235.96,5.08,Crossroads,Hydraprobe-Analog-(2.5-Volt)
16,-116.35,36.33,627.91,5.08,DeathValleyJCT,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
17,-117.97,37.37,1602.72,5.08,DeepSprings,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
18,-115.31,33.8,174.19,5.08,DesertCenter,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
19,-113.0167,40.167,1316.13,5.08,Dugway,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
20,-113.0167,40.167,1316.13,5.08,Dugway,Hydraprobe-Analog-(2.5-Volt)
21,-113.65,37.633,1599.9,5.08,Enterprise,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
22,-111.567,39.4167,1677.62,5.08,Ephraim,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
23,-115.17,34.67,837.83,5.08,Essex,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
24,-115.1,33.65,123.88,5.08,FordDryLake,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
25,-109.8,48.483,826.01,5.08,FortAssiniboine#1,Hydraprobe-Analog-(5.0-Volt)
26,-109.8,48.483,826.01,5.08,FortAssiniboine#1,Hydraprobe-Analog-(2.5-Volt)
27,-114.0,39.983,1667.26,5.08,Goshute,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
28,-110.167,39.017,1251.81,5.08,GreenRiver,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
29,-113.817,41.783,1781.56,5.08,GrouseCreek,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
30,-113.75,38.6,1600.2,5.08,HalsCanyon,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
31,-109.233,38.317,2148.54,5.08,HarmsWay,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
32,-115.2,37.65,3013.25,5.08,HayfordPeak,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
33,-101.717,40.367,1018.34,5.08,JohnsonFarm,Hydraprobe-Digital-Sdi-12-(2.5-Volt)-A
34,-101.717,40.367,1018.34,5.08,JohnsonFarm,Hydraprobe-Digital-Sdi-12-(2.5-Volt)
35,-107.133,47.517,859.54,5.08,Jordan,Hydraprobe-Analog-(2.5-Volt)
36,-117.017,42.95,1374.04,5.08,JordanValleyCwma,Hydraprobe-Analog-(2.5-Volt)
