sid,lon,lat,depth_cm_,JOIN_FID,sensors_in_a_grid,obs_period_overlapping,area,weight
1,-105.417,34.25,5.08,42478,2,FALSE,,
1,-105.417,34.25,5.08,42918,2,FALSE,,
2,-105.417,34.25,5.08,42478,2,FALSE,,
2,-105.417,34.25,5.08,42918,2,FALSE,,
3,-119.9534,40.87959,5.08,54300,1,,,
4,-102.1,35.167,5.08,44251,2,FALSE,,
5,-102.1,35.167,5.08,44251,2,FALSE,,
9,-115.833,36.367,5.08,46396,3,TRUE,456800000,0.5798426
10,-112.25,38.15,5.08,49490,1,,,
10,-112.25,38.15,5.08,49491,1,,,
11,-119.6,35.12,5.08,44181,1,,,
12,-111.917,48.3,5.08,67532,2,FALSE,,
13,-111.917,48.3,5.08,67532,2,FALSE,,
14,-104.71,40.82,5.08,54361,3,FALSE,,
15,-103.25,33.533,5.08,41606,1,,,
15,-103.25,33.533,5.08,41607,1,,,
17,-117.97,37.37,5.08,48148,1,,,
19,-113.0167,40.167,5.08,53007,1,,,
21,-113.65,37.633,5.08,48605,1,,,
22,-111.567,39.4167,5.08,51693,1,,,
24,-115.1,33.65,5.08,41559,1,,,
25,-109.8,48.483,5.08,67540,2,FALSE,,
26,-109.8,48.483,5.08,67540,2,FALSE,,
27,-114,39.983,5.08,52563,1,,,
27,-114,39.983,5.08,52564,1,,,
28,-110.167,39.017,5.08,51259,1,,,
29,-113.817,41.783,5.08,56084,1,,,
30,-113.75,38.6,5.08,50364,1,,,
30,-113.75,38.6,5.08,50365,1,,,
31,-109.233,38.317,5.08,49943,1,,,
33,-101.717,40.367,5.08,53493,1,,,
35,-107.133,47.517,5.08,66231,1,,,
36,-117.017,42.95,5.08,57831,1,,,
37,-106.7,32.55,5.08,39833,3,TRUE,equal location,0.333333333
38,-106.7,32.55,5.08,39833,3,TRUE,equal location,0.333333333
39,-106.7,32.55,5.08,39833,3,TRUE,equal location,0.333333333
40,-115.617,36.267,5.08,46397,3,TRUE,equal location,0.5
41,-115.617,36.267,5.08,46397,3,FALSE,,
42,-115.617,36.267,5.08,46397,3,TRUE,equal location,0.5
44,-105.19,47.21,5.08,65359,1,,,
46,-102.75,33.633,5.08,41608,1,,,
46,-102.75,33.633,5.08,41609,1,,,
47,-102.367,33.55,5.08,41610,2,FALSE,,
48,-102.367,33.55,5.08,41610,2,FALSE,,
49,-118.567,47,5.08,64865,2,FALSE,,
49,-118.567,47,5.08,65305,2,FALSE,,
50,-118.567,47,5.08,64865,2,FALSE,,
50,-118.567,47,5.08,65305,2,FALSE,,
51,-110.3,40.183,5.08,53018,1,,,
52,-106.767,34.767,5.08,43792,1,,,
53,-115.617,36.167,5.08,45957,2,FALSE,,
54,-115.617,36.167,5.08,45957,2,FALSE,,
55,-118.183,40.033,5.08,52987,1,,,
56,-118.417,37.783,5.08,49026,1,,,
57,-109.333,37.45,5.08,48182,1,,,
58,-113.0167,38.35,5.08,49927,1,,,
59,-109.95,47.05,5.08,65340,1,,,
60,-120.55463,36.54417,5.08,46817,1,,,
61,-110.4,40.367,5.08,53458,1,,,
62,-104.733,40.867,5.08,54361,3,FALSE,,
63,-104.733,40.867,5.08,54361,3,FALSE,,
65,-112.433,37.867,5.08,49050,1,,,
66,-113.267,41.767,5.08,56086,1,,,
67,-115.2,36.567,5.08,46839,1,,,
68,-117.617,39.467,5.08,51669,1,,,
69,-102.033,33.617,5.08,41611,1,,,
71,-119.44,41.9,5.08,56062,2,TRUE,equal location,0.5
72,-119.44,41.9,5.08,56062,2,TRUE,equal location,0.5
76,-100.51,31.55,5.08,38097,1,,,
77,-113.35,37.1,5.08,47726,1,,,
78,-106.683,34.35,5.08,42913,1,,,
79,-115.72,35.47,5.08,44637,1,,,
80,-104.25,47.767,5.08,66682,2,FALSE,,
80,-104.25,47.767,5.08,66683,2,FALSE,,
81,-104.25,47.767,5.08,66682,2,FALSE,,
81,-104.25,47.767,5.08,66683,2,FALSE,,
82,-109.35,40.383,5.08,53462,1,,,
83,-111.267,37.517,5.08,48614,1,,,
84,-119.47831,34.97018,5.08,43742,1,,,
85,-115.8,36.367,5.08,46396,3,TRUE,165500000,0.2100787
86,-115.8,36.367,5.08,46396,3,TRUE,165500000,0.2100787
87,-113.467,39.233,5.08,51246,1,,,
88,-112.2,37.183,5.08,47731,1,,,
89,-111.183,48.433,5.08,67535,1,,,
90,-110.05,31.733,5.08,38059,1,,,
91,-103.633,33.533,5.08,41605,1,,,
