depth,sid,value,WY
2.500000,19,NaN,NaN
2.500000,19,0.963311,258
2.500000,19,0.039983,167
2.500000,19,0.325177,185
2.500000,19,0.976233,228
2.500000,19,NaN,NaN
2.500000,19,0.023398,106
2.500000,19,0.092163,243
2.500000,19,0.000055,258
2.500000,19,NaN,NaN
2.500000,20,NaN,NaN
2.500000,20,1.700243,256
2.500000,20,2.080042,233
2.500000,20,1.017108,179
2.500000,20,1.410520,215
2.500000,20,1.437747,218
2.500000,20,1.507889,230
2.500000,20,0.726528,224
2.500000,20,NaN,NaN
2.500000,20,NaN,NaN
2.500000,23,0.097172,109
2.500000,23,0.475527,243
2.500000,23,0.194358,179
2.500000,23,0.134127,195
2.500000,23,0.000005,145
2.500000,23,0.000086,258
2.500000,23,0.000086,258
2.500000,23,0.000086,258
2.500000,23,0.000086,258
2.500000,23,0.000086,258
2.500000,23,NaN,NaN
2.500000,24,NaN,NaN
2.500000,24,0.710994,241
2.500000,24,NaN,NaN
2.500000,26,NaN,NaN
2.500000,27,NaN,NaN
2.500000,27,0.252311,238
2.500000,27,0.150133,172
2.500000,27,0.153712,125
2.500000,27,0.031363,213
2.500000,27,0.000013,173
2.500000,27,0.000000,257
2.500000,27,NaN,NaN
2.500000,28,NaN,NaN
2.500000,28,0.650715,167
2.500000,28,0.001961,258
2.500000,28,0.324785,173
2.500000,28,0.558108,186
2.500000,28,NaN,NaN
2.500000,30,NaN,NaN
2.500000,30,0.573939,203
2.500000,30,0.197329,163
2.500000,30,0.325327,158
2.500000,30,0.472015,206
2.500000,30,0.961627,231
2.500000,30,0.121053,226
2.500000,30,NaN,NaN
2.500000,30,NaN,NaN
2.500000,30,0.284474,238
2.500000,30,0.380555,120
2.500000,30,0.267289,167
2.500000,30,NaN,NaN
2.500000,31,NaN,NaN
2.500000,32,NaN,NaN
2.500000,32,0.202713,196
2.500000,32,0.415950,217
2.500000,32,0.164398,200
2.500000,32,0.154139,175
2.500000,32,NaN,NaN
2.500000,32,0.456748,182
2.500000,32,NaN,NaN
2.500000,34,NaN,NaN
2.500000,35,NaN,NaN
2.500000,37,NaN,NaN
2.500000,37,0.512907,200
2.500000,37,0.826717,232
2.500000,37,0.115983,209
2.500000,37,0.731903,214
2.500000,37,0.025788,107
2.500000,37,NaN,NaN
2.500000,38,NaN,NaN
2.500000,38,0.536110,191
2.500000,38,0.796927,224
2.500000,38,0.072550,148
2.500000,38,0.000029,125
2.500000,38,NaN,NaN
4.000000,1,NaN,NaN
4.000000,2,NaN,NaN
4.000000,3,NaN,NaN
4.000000,3,0.177587,243
4.000000,3,0.154521,226
4.000000,3,0.010114,211
4.000000,3,0.003111,124
4.000000,3,0.037254,189
4.000000,3,0.000530,257
4.000000,3,NaN,NaN
4.000000,4,NaN,NaN
4.000000,5,NaN,NaN
4.000000,6,NaN,NaN
4.000000,7,NaN,NaN
4.000000,8,NaN,NaN
4.000000,9,NaN,NaN
4.000000,10,NaN,NaN
4.000000,11,NaN,NaN
4.000000,11,0.125701,177
4.000000,11,0.091519,216
4.000000,11,0.072162,173
4.000000,11,0.268745,242
4.000000,11,0.044490,187
4.000000,11,0.065749,215
4.000000,11,NaN,NaN
4.000000,12,NaN,NaN
4.000000,13,NaN,NaN
4.000000,14,NaN,NaN
4.000000,15,NaN,NaN
4.000000,16,NaN,NaN
4.000000,17,NaN,NaN
4.000000,18,NaN,NaN
4.000000,18,NaN,NaN
10.000000,1,NaN,NaN
