depth,sid,value,WY
2.500000,19,NaN,NaN
2.500000,19,0.216218,257
2.500000,19,0.137957,164
2.500000,19,0.143149,202
2.500000,19,0.225911,231
2.500000,19,NaN,NaN
2.500000,19,0.236798,200
2.500000,19,0.071787,195
2.500000,19,0.000000,165
2.500000,19,NaN,NaN
2.500000,20,NaN,NaN
2.500000,20,0.174755,215
2.500000,20,0.121294,172
2.500000,20,0.118017,210
2.500000,20,0.204305,239
2.500000,20,0.116133,222
2.500000,20,0.082055,208
2.500000,20,0.201553,203
2.500000,20,NaN,NaN
2.500000,20,NaN,NaN
2.500000,23,NaN,NaN
2.500000,23,0.368333,210
2.500000,23,0.161815,167
2.500000,23,0.118084,205
2.500000,23,NaN,NaN
2.500000,24,NaN,NaN
2.500000,24,0.195423,244
2.500000,24,NaN,NaN
2.500000,24,0.137625,179
2.500000,24,0.227763,207
2.500000,24,0.000005,134
2.500000,24,NaN,NaN
2.500000,26,NaN,NaN
2.500000,27,NaN,NaN
2.500000,28,NaN,NaN
2.500000,28,0.120195,237
2.500000,28,0.000147,257
2.500000,28,0.184381,206
2.500000,28,0.209610,200
2.500000,28,NaN,NaN
2.500000,30,NaN,NaN
2.500000,30,0.182654,180
2.500000,30,0.128212,143
2.500000,30,0.155272,204
2.500000,30,0.230315,199
2.500000,30,0.159131,224
2.500000,30,0.029024,178
2.500000,30,0.000066,164
2.500000,30,NaN,NaN
2.500000,31,NaN,NaN
2.500000,32,NaN,NaN
2.500000,32,0.237948,197
2.500000,32,0.133325,160
2.500000,32,0.105110,221
2.500000,32,0.204388,215
2.500000,32,NaN,NaN
2.500000,32,0.111259,195
2.500000,32,NaN,NaN
2.500000,34,NaN,NaN
2.500000,35,NaN,NaN
2.500000,37,NaN,NaN
2.500000,37,0.154009,197
2.500000,37,0.140759,160
2.500000,37,0.091862,198
2.500000,37,0.163323,215
2.500000,37,0.148124,238
2.500000,37,NaN,NaN
2.500000,38,NaN,NaN
4.000000,1,NaN,NaN
4.000000,2,NaN,NaN
4.000000,2,0.056608,253
4.000000,2,0.062456,220
4.000000,2,0.019981,171
4.000000,2,NaN,NaN
4.000000,3,NaN,NaN
4.000000,3,0.200711,241
4.000000,3,0.180642,230
4.000000,3,0.071655,169
4.000000,3,NaN,NaN
4.000000,4,NaN,NaN
4.000000,4,0.181501,229
4.000000,4,0.297838,247
4.000000,4,0.109093,232
4.000000,4,NaN,NaN
4.000000,5,NaN,NaN
4.000000,5,0.115235,165
4.000000,5,0.237064,250
4.000000,5,0.090902,181
4.000000,5,NaN,NaN
4.000000,6,NaN,NaN
4.000000,7,NaN,NaN
4.000000,8,NaN,NaN
4.000000,8,0.124220,172
4.000000,8,0.186893,219
4.000000,8,0.073657,170
4.000000,8,NaN,NaN
4.000000,9,NaN,NaN
4.000000,10,NaN,NaN
4.000000,10,0.235798,241
4.000000,10,0.176007,217
4.000000,10,0.077526,168
4.000000,10,NaN,NaN
4.000000,11,NaN,NaN
4.000000,11,0.133458,173
4.000000,11,0.186924,220
4.000000,11,0.075789,171
4.000000,11,NaN,NaN
4.000000,11,0.101959,172
4.000000,11,0.225243,217
4.000000,11,NaN,NaN
4.000000,12,NaN,NaN
4.000000,12,0.233914,243
4.000000,12,0.188578,219
4.000000,12,0.073661,170
4.000000,12,NaN,NaN
4.000000,13,NaN,NaN
4.000000,13,0.198034,241
4.000000,13,0.399020,257
4.000000,13,0.087527,168
4.000000,13,NaN,NaN
4.000000,14,NaN,NaN
4.000000,14,0.194965,238
4.000000,14,0.193159,255
4.000000,14,0.083578,165
4.000000,14,NaN,NaN
4.000000,15,NaN,NaN
4.000000,15,0.096369,236
4.000000,15,0.191390,253
4.000000,15,0.081522,163
4.000000,15,NaN,NaN
4.000000,16,NaN,NaN
4.000000,16,0.198672,236
4.000000,16,0.191187,253
4.000000,16,0.081534,163
4.000000,16,NaN,NaN
4.000000,17,NaN,NaN
4.000000,17,0.195811,239
4.000000,17,0.192794,256
4.000000,17,0.086738,166
4.000000,17,NaN,NaN
4.000000,18,NaN,NaN
4.000000,18,0.195522,230
4.000000,18,0.408036,247
4.000000,18,0.090810,157
4.000000,18,NaN,NaN
10.000000,1,0.042237,100
