depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,NaN,2008
2.500000,19,115.000000,2009
2.500000,19,NaN,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,18.000000,2013
2.500000,19,1.000000,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,94.000000,2017
2.500000,19,NaN,2018
2.500000,19,101.000000,2019
2.500000,20,NaN,2007
2.500000,20,NaN,2008
2.500000,20,132.000000,2009
2.500000,20,NaN,2010
2.500000,20,NaN,2011
2.500000,20,NaN,2012
2.500000,20,14.000000,2013
2.500000,20,56.000000,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,125.000000,2017
2.500000,20,NaN,2018
2.500000,20,106.000000,2019
2.500000,23,NaN,2007
2.500000,23,NaN,2008
2.500000,23,127.000000,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,NaN,2009
2.500000,24,1.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,15.000000,2014
2.500000,24,18.000000,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,NaN,2007
2.500000,26,NaN,2007
2.500000,26,179.000000,2008
2.500000,26,NaN,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,187.000000,2008
2.500000,27,NaN,2009
2.500000,27,2.000000,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,117.000000,2014
2.500000,27,NaN,2015
2.500000,27,81.000000,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,NaN,2007
2.500000,28,NaN,2008
2.500000,28,NaN,2009
2.500000,28,64.000000,2010
2.500000,28,NaN,2011
2.500000,28,NaN,2012
2.500000,28,NaN,2013
