depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,238.009562,2008
2.500000,19,6.573688,2009
2.500000,19,237.755338,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,125.000000,2013
2.500000,19,4.113711,2014
2.500000,19,8.926179,2015
2.500000,19,NaN,2016
2.500000,19,109.603189,2017
2.500000,19,76.288086,2018
2.500000,19,62.633153,2019
2.500000,20,NaN,2007
2.500000,20,156.956869,2008
2.500000,20,113.992379,2009
2.500000,20,173.999910,2010
2.500000,20,186.640078,2011
2.500000,20,NaN,2012
2.500000,20,13.414130,2013
2.500000,20,168.308501,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,77.337075,2017
2.500000,20,87.055942,2018
2.500000,20,87.522458,2019
2.500000,23,NaN,2007
2.500000,23,8.481884,2008
2.500000,23,6.706807,2009
2.500000,23,147.818783,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,148.000124,2009
2.500000,24,10.005522,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,10.781134,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,NaN,2007
2.500000,26,214.330024,2007
2.500000,26,119.999998,2008
2.500000,26,62.644309,2009
2.500000,27,NaN,2007
2.500000,27,145.834539,2007
2.500000,27,57.000000,2008
2.500000,27,70.999636,2009
2.500000,27,5.379568,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,12.000000,2014
2.500000,27,NaN,2015
2.500000,27,56.805464,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,182.941579,2007
2.500000,28,214.266023,2008
2.500000,28,114.745018,2009
2.500000,28,83.614831,2010
2.500000,28,NaN,2011
2.500000,28,12.094194,2012
2.500000,28,173.479406,2013
2.500000,28,54.376724,2014
2.500000,28,7.565370,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,73.451960,2008
2.500000,30,5.525198,2009
2.500000,30,39.612055,2010
2.500000,30,NaN,2011
2.500000,30,11.290143,2012
2.500000,30,NaN,2013
2.500000,30,NaN,2014
2.500000,30,NaN,2015
2.500000,30,57.009045,2016
2.500000,30,5.993120,2017
2.500000,30,153.161129,2018
2.500000,31,NaN,2007
2.500000,31,81.738347,2007
2.500000,31,59.567283,2008
2.500000,32,NaN,2007
2.500000,32,6.324268,2007
2.500000,32,60.039038,2008
2.500000,32,4.702348,2009
2.500000,32,137.725376,2010
2.500000,32,NaN,2011
2.500000,32,4.617160,2012
2.500000,32,NaN,2013
2.500000,32,53.275860,2014
2.500000,32,NaN,2015
2.500000,32,58.882189,2016
2.500000,32,NaN,2017
2.500000,32,NaN,2018
