depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,206.263876,2008
2.500000,19,57.827906,2009
2.500000,19,141.263484,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,78.553286,2017
2.500000,19,168.662698,2018
2.500000,19,16.371964,2019
2.500000,20,NaN,2007
2.500000,20,41.226158,2008
2.500000,20,69.381032,2009
2.500000,20,124.543283,2010
2.500000,20,77.515380,2011
2.500000,20,NaN,2012
2.500000,20,4.216814,2013
2.500000,20,77.999996,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,75.196998,2017
2.500000,20,170.071593,2018
2.500000,20,39.092915,2019
2.500000,23,3.832402,2007
2.500000,23,147.018673,2008
2.500000,23,63.599950,2009
2.500000,23,7.100679,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,11.230891,2007
2.500000,24,NaN,2008
2.500000,24,23.000115,2009
2.500000,24,5.548785,2010
2.500000,24,12.740440,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,33.399806,2018
2.500000,26,NaN,2007
2.500000,26,162.203836,2007
2.500000,26,91.573536,2008
2.500000,26,NaN,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,11.183605,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,27.393941,2014
2.500000,27,NaN,2015
2.500000,27,10.427381,2016
2.500000,27,5.232600,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,119.999474,2007
2.500000,28,NaN,2008
2.500000,28,83.313768,2009
2.500000,28,NaN,2010
2.500000,28,NaN,2011
2.500000,28,12.318292,2012
2.500000,28,9.161136,2013
