depth,sid,value,WY
2.500000,19,77.000000,2007
2.500000,19,51.000000,2008
2.500000,19,NaN,2009
2.500000,19,53.000000,2010
2.500000,19,NaN,2011
2.500000,19,6.000000,2012
2.500000,19,48.000000,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,55.000000,2017
2.500000,19,63.000000,2018
2.500000,19,127.000000,2019
2.500000,20,79.000000,2007
2.500000,20,58.000000,2008
2.500000,20,NaN,2009
2.500000,20,64.000000,2010
2.500000,20,135.000000,2011
2.500000,20,116.000000,2012
2.500000,20,110.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,190.000000,2016
2.500000,20,116.000000,2017
2.500000,20,56.000000,2018
2.500000,20,103.000000,2019
2.500000,23,77.000000,2007
2.500000,23,51.000000,2008
2.500000,23,NaN,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,76.000000,2007
2.500000,24,NaN,2007
2.500000,24,167.000000,2008
2.500000,24,125.000000,2009
2.500000,24,NaN,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,76.000000,2007
2.500000,26,60.000000,2007
2.500000,26,36.000000,2008
2.500000,26,207.000000,2009
2.500000,27,69.000000,2007
2.500000,27,43.000000,2007
2.500000,27,115.000000,2008
2.500000,27,147.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,85.000000,2014
2.500000,27,NaN,2015
2.500000,27,50.000000,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,33.000000,2007
2.500000,28,4.000000,2008
2.500000,28,151.000000,2009
2.500000,28,NaN,2010
2.500000,28,87.000000,2011
2.500000,28,175.000000,2012
2.500000,28,18.000000,2013
2.500000,28,53.000000,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,102.000000,2008
2.500000,30,20.000000,2009
2.500000,30,NaN,2010
2.500000,30,81.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,48.000000,2014
2.500000,30,NaN,2015
2.500000,30,35.000000,2016
2.500000,30,17.000000,2017
2.500000,30,113.000000,2018
2.500000,31,78.000000,2007
2.500000,31,44.000000,2007
2.500000,31,101.000000,2008
2.500000,32,79.000000,2007
2.500000,32,48.000000,2007
2.500000,32,NaN,2008
2.500000,32,87.000000,2009
2.500000,32,NaN,2010
2.500000,32,10.000000,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,58.000000,2014
2.500000,32,NaN,2015
2.500000,32,51.000000,2016
2.500000,32,NaN,2017
2.500000,32,NaN,2018
2.500000,34,88.000000,2007
2.500000,34,166.000000,2008
2.500000,34,NaN,2009
2.500000,34,7.000000,2010
2.500000,34,NaN,2011
2.500000,34,70.000000,2012
2.500000,34,142.000000,2013
2.500000,34,NaN,2014
2.500000,34,55.000000,2015
2.500000,34,NaN,2016
2.500000,34,52.000000,2017
2.500000,34,NaN,2018
2.500000,34,NaN,2019
2.500000,35,NaN,2007
2.500000,35,47.000000,2008
2.500000,35,42.000000,2009
2.500000,35,6.000000,2010
2.500000,35,NaN,2011
2.500000,35,130.000000,2012
2.500000,35,95.000000,2013
2.500000,35,65.000000,2014
2.500000,35,51.000000,2015
2.500000,35,NaN,2016
2.500000,35,48.000000,2017
2.500000,35,25.000000,2018
2.500000,35,NaN,2019
2.500000,37,NaN,2007
2.500000,37,53.000000,2007
2.500000,37,NaN,2008
2.500000,37,122.000000,2009
2.500000,37,NaN,2010
2.500000,37,NaN,2011
2.500000,37,58.000000,2012
2.500000,37,69.000000,2013
2.500000,38,NaN,2007
2.500000,38,46.000000,2007
2.500000,38,42.000000,2008
2.500000,38,NaN,2009
2.500000,38,NaN,2010
2.500000,38,119.000000,2011
2.500000,38,108.000000,2012
2.500000,38,70.000000,2013
4.000000,1,NaN,2007
4.000000,1,76.000000,2007
4.000000,1,204.000000,2007
4.000000,1,130.000000,2007
4.000000,1,NaN,2007
4.000000,1,90.000000,2007
4.000000,1,75.000000,2008
4.000000,1,NaN,2009
4.000000,1,NaN,2010
4.000000,1,2.000000,2011
4.000000,2,NaN,2007
4.000000,2,NaN,2007
4.000000,2,241.000000,2007
4.000000,2,NaN,2007
4.000000,2,NaN,2007
4.000000,2,91.000000,2007
4.000000,2,NaN,2008
4.000000,2,6.000000,2009
4.000000,2,NaN,2010
4.000000,2,2.000000,2011
4.000000,3,NaN,2007
4.000000,3,NaN,2007
4.000000,3,32.000000,2007
4.000000,3,NaN,2007
4.000000,3,38.000000,2007
4.000000,3,59.000000,2007
4.000000,3,NaN,2008
4.000000,3,3.000000,2009
4.000000,3,NaN,2010
4.000000,3,7.000000,2011
4.000000,4,21.000000,2007
4.000000,4,27.000000,2007
4.000000,4,96.000000,2007
4.000000,4,NaN,2007
4.000000,4,80.000000,2007
4.000000,4,88.000000,2007
4.000000,4,NaN,2008
4.000000,4,35.000000,2009
4.000000,4,26.000000,2010
4.000000,5,NaN,2007
4.000000,5,56.000000,2007
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,15.000000,2007
4.000000,5,100.000000,2007
4.000000,5,23.000000,2008
4.000000,5,13.000000,2009
4.000000,5,4.000000,2010
4.000000,6,46.000000,2007
4.000000,6,NaN,2007
4.000000,6,NaN,2007
4.000000,6,7.000000,2007
4.000000,6,147.000000,2007
4.000000,6,71.000000,2007
4.000000,6,32.000000,2008
4.000000,6,15.000000,2009
4.000000,6,158.000000,2010
4.000000,7,25.000000,2007
4.000000,7,NaN,2007
4.000000,7,NaN,2007
4.000000,7,202.000000,2007
4.000000,7,117.000000,2007
4.000000,7,67.000000,2007
4.000000,7,NaN,2008
4.000000,7,NaN,2009
4.000000,7,NaN,2010
4.000000,7,3.000000,2011
4.000000,8,NaN,2007
4.000000,8,NaN,2007
4.000000,8,161.000000,2007
4.000000,8,165.000000,2007
