depth,sid,value,WY
2.500000,19,62.000000,2007
2.500000,19,44.000000,2008
2.500000,19,214.000000,2009
2.500000,19,20.000000,2010
2.500000,19,NaN,2011
2.500000,19,85.000000,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,24.000000,2017
2.500000,19,9.000000,2018
2.500000,19,9.000000,2019
2.500000,20,6.000000,2007
2.500000,20,7.000000,2008
2.500000,20,53.000000,2009
2.500000,20,27.000000,2010
2.500000,20,128.000000,2011
2.500000,20,20.000000,2012
2.500000,20,23.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,207.000000,2016
2.500000,20,31.000000,2017
2.500000,20,6.000000,2018
2.500000,20,101.000000,2019
2.500000,23,67.000000,2007
2.500000,23,34.000000,2008
2.500000,23,58.000000,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,61.000000,2017
2.500000,23,NaN,2018
2.500000,24,65.000000,2007
2.500000,24,NaN,2007
2.500000,24,39.000000,2008
2.500000,24,48.000000,2009
2.500000,24,108.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,23.000000,2018
2.500000,26,73.000000,2007
2.500000,26,33.000000,2007
2.500000,26,57.000000,2008
2.500000,26,NaN,2009
2.500000,27,19.000000,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,59.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,47.000000,2014
2.500000,27,NaN,2015
2.500000,27,NaN,2016
2.500000,27,28.000000,2017
2.500000,27,1.000000,2018
2.500000,28,16.000000,2007
2.500000,28,40.000000,2007
2.500000,28,NaN,2008
2.500000,28,40.000000,2009
2.500000,28,NaN,2010
2.500000,28,9.000000,2011
2.500000,28,37.000000,2012
2.500000,28,10.000000,2013
2.500000,28,19.000000,2014
2.500000,28,NaN,2015
2.500000,30,4.000000,2007
2.500000,30,NaN,2007
2.500000,30,12.000000,2008
2.500000,30,47.000000,2009
2.500000,30,NaN,2010
2.500000,30,11.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,25.000000,2014
2.500000,30,NaN,2015
2.500000,30,23.000000,2016
2.500000,30,NaN,2017
2.500000,30,5.000000,2018
2.500000,31,13.000000,2007
2.500000,31,6.000000,2008
2.500000,31,11.000000,2009
2.500000,32,113.000000,2007
2.500000,32,21.000000,2007
2.500000,32,10.000000,2008
2.500000,32,1.000000,2009
2.500000,32,NaN,2010
2.500000,32,4.000000,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,35.000000,2014
2.500000,32,NaN,2015
2.500000,32,15.000000,2016
2.500000,32,64.000000,2017
2.500000,32,7.000000,2018
2.500000,34,4.000000,2007
2.500000,34,34.000000,2008
2.500000,34,NaN,2009
2.500000,34,NaN,2010
2.500000,34,2.000000,2011
2.500000,34,NaN,2012
2.500000,34,NaN,2013
2.500000,34,NaN,2014
2.500000,34,NaN,2015
2.500000,34,NaN,2016
2.500000,34,20.000000,2017
2.500000,34,105.000000,2018
2.500000,34,108.000000,2019
2.500000,35,NaN,2007
2.500000,35,11.000000,2008
2.500000,35,5.000000,2009
2.500000,35,5.000000,2010
2.500000,35,NaN,2011
2.500000,35,3.000000,2012
2.500000,35,15.000000,2013
2.500000,35,14.000000,2014
2.500000,35,36.000000,2015
2.500000,35,NaN,2016
2.500000,35,80.000000,2017
2.500000,35,47.000000,2018
2.500000,35,25.000000,2019
2.500000,37,NaN,2007
2.500000,37,39.000000,2008
2.500000,37,13.000000,2009
2.500000,37,191.000000,2010
2.500000,37,5.000000,2011
2.500000,37,NaN,2012
2.500000,37,11.000000,2013
2.500000,37,83.000000,2014
2.500000,38,8.000000,2007
2.500000,38,14.000000,2007
2.500000,38,10.000000,2008
2.500000,38,148.000000,2009
2.500000,38,108.000000,2010
2.500000,38,7.000000,2011
2.500000,38,28.000000,2012
2.500000,38,6.000000,2013
4.000000,1,NaN,2007
4.000000,1,100.000000,2007
4.000000,1,NaN,2007
4.000000,1,NaN,2007
4.000000,1,121.000000,2007
4.000000,1,20.000000,2007
4.000000,1,23.000000,2008
4.000000,1,12.000000,2009
4.000000,1,21.000000,2010
4.000000,1,15.000000,2011
4.000000,2,132.000000,2007
4.000000,2,28.000000,2007
4.000000,2,189.000000,2007
4.000000,2,92.000000,2007
4.000000,2,NaN,2007
4.000000,2,98.000000,2007
4.000000,2,58.000000,2008
4.000000,2,70.000000,2009
4.000000,2,38.000000,2010
4.000000,2,NaN,2011
4.000000,3,NaN,2007
4.000000,3,110.000000,2007
4.000000,3,NaN,2007
4.000000,3,NaN,2007
4.000000,3,40.000000,2007
4.000000,3,56.000000,2007
4.000000,3,NaN,2008
4.000000,3,12.000000,2009
4.000000,3,NaN,2010
4.000000,3,126.000000,2011
4.000000,4,36.000000,2007
4.000000,4,NaN,2007
4.000000,4,133.000000,2007
4.000000,4,96.000000,2007
4.000000,4,NaN,2007
4.000000,4,71.000000,2007
4.000000,4,NaN,2008
4.000000,4,7.000000,2009
4.000000,4,52.000000,2010
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,NaN,2007
