depth,sid,value,WY
2.500000,19,75.655406,2007
2.500000,19,53.204508,2008
2.500000,19,22.555889,2009
2.500000,19,41.956674,2010
2.500000,19,NaN,2011
2.500000,19,132.999971,2012
2.500000,19,42.003266,2013
2.500000,19,29.196612,2014
2.500000,19,10.000023,2015
2.500000,19,NaN,2016
2.500000,19,50.147512,2017
2.500000,19,14.150359,2018
2.500000,19,21.261500,2019
2.500000,20,77.772210,2007
2.500000,20,60.797070,2008
2.500000,20,37.179233,2009
2.500000,20,42.577822,2010
2.500000,20,19.754031,2011
2.500000,20,13.456765,2012
2.500000,20,106.576686,2013
2.500000,20,151.737030,2014
2.500000,20,NaN,2015
2.500000,20,174.898467,2016
2.500000,20,71.532606,2017
2.500000,20,13.996874,2018
2.500000,20,93.510772,2019
2.500000,23,75.697953,2007
2.500000,23,53.000013,2008
2.500000,23,36.372723,2009
2.500000,23,180.828892,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,73.818442,2007
2.500000,24,NaN,2007
2.500000,24,102.000022,2008
2.500000,24,89.202871,2009
2.500000,24,105.084397,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,72.063605,2007
2.500000,26,59.618007,2007
2.500000,26,38.804258,2008
2.500000,26,51.999229,2009
2.500000,27,69.515651,2007
2.500000,27,42.449549,2007
2.500000,27,90.802074,2008
2.500000,27,19.752919,2009
2.500000,27,167.757477,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,89.157197,2014
2.500000,27,NaN,2015
2.500000,27,38.298896,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,34.309481,2007
2.500000,28,5.470465,2008
2.500000,28,21.520820,2009
2.500000,28,189.396712,2010
2.500000,28,23.407829,2011
2.500000,28,60.131742,2012
2.500000,28,28.074961,2013
2.500000,28,42.764367,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,92.768017,2008
2.500000,30,19.596956,2009
2.500000,30,14.483602,2010
2.500000,30,68.999999,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,33.900655,2014
2.500000,30,NaN,2015
2.500000,30,33.275763,2016
2.500000,30,18.868292,2017
2.500000,30,98.827798,2018
2.500000,31,23.993120,2007
2.500000,31,41.278294,2007
2.500000,31,90.607576,2008
2.500000,32,77.895919,2007
2.500000,32,50.684961,2007
2.500000,32,97.999795,2008
2.500000,32,6.350170,2009
2.500000,32,226.585267,2010
2.500000,32,28.492373,2011
2.500000,32,136.907503,2012
2.500000,32,NaN,2013
2.500000,32,48.560584,2014
2.500000,32,NaN,2015
2.500000,32,43.459789,2016
2.500000,32,NaN,2017
2.500000,32,NaN,2018
2.500000,34,83.823348,2007
2.500000,34,92.437005,2008
2.500000,34,45.826681,2009
2.500000,34,7.823252,2010
2.500000,34,17.877995,2011
2.500000,34,26.001712,2012
2.500000,34,93.351440,2013
2.500000,34,175.866316,2014
2.500000,34,48.763155,2015
2.500000,34,NaN,2016
2.500000,34,46.463592,2017
2.500000,34,NaN,2018
2.500000,34,NaN,2019
2.500000,35,NaN,2007
2.500000,35,51.400019,2008
2.500000,35,88.455173,2009
2.500000,35,7.224175,2010
2.500000,35,24.485711,2011
2.500000,35,130.676565,2012
2.500000,35,57.516213,2013
2.500000,35,57.671368,2014
2.500000,35,48.790850,2015
2.500000,35,NaN,2016
2.500000,35,39.813326,2017
2.500000,35,27.615604,2018
2.500000,35,NaN,2019
2.500000,37,NaN,2007
2.500000,37,59.563664,2007
2.500000,37,42.525151,2008
2.500000,37,4.739506,2009
2.500000,37,23.980532,2010
2.500000,37,23.694948,2011
2.500000,37,10.516218,2012
2.500000,37,60.505124,2013
2.500000,38,NaN,2007
2.500000,38,43.785021,2007
2.500000,38,87.893539,2008
2.500000,38,9.999975,2009
2.500000,38,NaN,2010
2.500000,38,77.999998,2011
2.500000,38,103.126537,2012
2.500000,38,59.427951,2013
4.000000,1,NaN,2007
4.000000,1,57.923217,2007
4.000000,1,94.865108,2007
4.000000,1,6.247738,2007
4.000000,1,116.013659,2007
4.000000,1,80.837261,2007
4.000000,1,69.914152,2008
4.000000,1,142.897948,2009
4.000000,1,NaN,2010
4.000000,1,NaN,2011
4.000000,2,NaN,2007
4.000000,2,NaN,2007
4.000000,2,40.593351,2007
4.000000,2,NaN,2007
4.000000,2,16.688921,2007
4.000000,2,60.189980,2007
4.000000,2,NaN,2008
4.000000,2,5.792134,2009
4.000000,2,NaN,2010
4.000000,2,9.000109,2011
4.000000,3,NaN,2007
4.000000,3,NaN,2007
4.000000,3,35.363112,2007
4.000000,3,5.645738,2007
4.000000,3,15.170734,2007
4.000000,3,42.120533,2007
4.000000,3,NaN,2008
4.000000,3,3.962711,2009
4.000000,3,NaN,2010
4.000000,3,11.774890,2011
