depth,sid,value,WY
2.500000,19,12.950304,2007
2.500000,19,39.212868,2008
2.500000,19,155.362522,2009
2.500000,19,19.531415,2010
2.500000,19,NaN,2011
2.500000,19,10.006391,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,22.826362,2017
2.500000,19,10.818401,2018
2.500000,19,9.536667,2019
2.500000,20,7.172541,2007
2.500000,20,26.859753,2008
2.500000,20,51.459867,2009
2.500000,20,23.631927,2010
2.500000,20,16.907209,2011
2.500000,20,24.368994,2012
2.500000,20,25.038735,2013
2.500000,20,146.338625,2014
2.500000,20,NaN,2015
2.500000,20,145.144326,2016
2.500000,20,26.271833,2017
2.500000,20,6.731985,2018
2.500000,20,84.466284,2019
2.500000,23,60.875747,2007
2.500000,23,31.828384,2008
2.500000,23,51.999882,2009
2.500000,23,130.725105,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,6.746772,2017
2.500000,23,NaN,2018
2.500000,24,25.705919,2007
2.500000,24,160.223805,2007
2.500000,24,43.384055,2008
2.500000,24,42.271454,2009
2.500000,24,90.963267,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,19.473269,2018
2.500000,26,63.943492,2007
2.500000,26,26.561986,2007
2.500000,26,48.473261,2008
2.500000,26,NaN,2009
2.500000,27,18.851517,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,55.890810,2009
2.500000,27,38.207059,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,51.440208,2014
2.500000,27,NaN,2015
2.500000,27,154.427343,2016
2.500000,27,21.454024,2017
2.500000,27,45.000000,2018
2.500000,28,17.388806,2007
2.500000,28,41.713095,2007
2.500000,28,NaN,2008
2.500000,28,31.105776,2009
2.500000,28,NaN,2010
2.500000,28,26.303232,2011
2.500000,28,35.387967,2012
2.500000,28,7.733968,2013
2.500000,28,19.805494,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,13.636491,2008
2.500000,30,46.655300,2009
2.500000,30,NaN,2010
2.500000,30,12.547352,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,19.068711,2014
2.500000,30,NaN,2015
2.500000,30,25.920468,2016
2.500000,30,NaN,2017
2.500000,30,NaN,2018
2.500000,31,14.423335,2007
2.500000,31,6.435700,2008
2.500000,31,12.686656,2009
2.500000,32,93.362621,2007
2.500000,32,14.857455,2007
2.500000,32,13.520418,2008
2.500000,32,NaN,2009
2.500000,32,167.391120,2010
2.500000,32,4.949370,2011
2.500000,32,22.447075,2012
2.500000,32,NaN,2013
2.500000,32,41.954071,2014
2.500000,32,NaN,2015
2.500000,32,16.301183,2016
2.500000,32,63.512076,2017
2.500000,32,41.736944,2018
2.500000,34,5.639215,2007
2.500000,34,26.706802,2008
2.500000,34,18.326163,2009
2.500000,34,NaN,2010
2.500000,34,NaN,2011
2.500000,34,NaN,2012
2.500000,34,26.552872,2013
2.500000,34,NaN,2014
2.500000,34,NaN,2015
2.500000,34,NaN,2016
2.500000,34,21.442572,2017
2.500000,34,45.047137,2018
2.500000,34,14.476873,2019
2.500000,35,NaN,2007
2.500000,35,10.301097,2008
2.500000,35,6.266708,2009
2.500000,35,6.757639,2010
2.500000,35,NaN,2011
2.500000,35,4.807285,2012
2.500000,35,14.369991,2013
2.500000,35,14.499024,2014
2.500000,35,37.330668,2015
2.500000,35,NaN,2016
2.500000,35,75.159777,2017
2.500000,35,45.037428,2018
2.500000,35,25.690996,2019
2.500000,37,NaN,2007
2.500000,37,43.555108,2008
2.500000,37,16.447603,2009
2.500000,37,129.661759,2010
2.500000,37,5.707362,2011
2.500000,37,NaN,2012
2.500000,37,11.464021,2013
2.500000,37,26.717279,2014
2.500000,38,8.870682,2007
2.500000,38,12.154538,2007
2.500000,38,11.592095,2008
2.500000,38,13.933071,2009
