depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,NaN,2008
2.500000,19,-210.000000,2009
2.500000,19,NaN,2010
2.500000,19,-285.000000,2011
2.500000,19,NaN,2012
2.500000,19,-331.000000,2013
2.500000,19,-338.000000,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,-219.000000,2017
2.500000,19,NaN,2018
2.500000,19,-201.000000,2019
2.500000,20,NaN,2007
2.500000,20,NaN,2008
2.500000,20,-193.000000,2009
2.500000,20,NaN,2010
2.500000,20,NaN,2011
2.500000,20,NaN,2012
2.500000,20,-331.000000,2013
2.500000,20,-217.000000,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,-204.000000,2017
2.500000,20,NaN,2018
2.500000,20,-191.000000,2019
2.500000,23,NaN,2007
2.500000,23,NaN,2008
2.500000,23,-198.000000,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,-401.000000,2013
2.500000,23,NaN,2014
2.500000,23,-376.000000,2015
2.500000,23,-401.000000,2016
2.500000,23,-267.000000,2017
2.500000,23,-120.000000,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,NaN,2009
2.500000,24,9.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,-54.000000,2013
2.500000,24,-62.000000,2014
2.500000,24,-51.000000,2015
2.500000,24,-59.000000,2016
2.500000,24,NaN,2017
2.500000,24,167.000000,2018
2.500000,26,NaN,2007
2.500000,26,NaN,2007
2.500000,26,219.000000,2008
2.500000,26,NaN,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,226.000000,2008
2.500000,27,NaN,2009
2.500000,27,9.000000,2010
2.500000,27,NaN,2011
2.500000,27,-50.000000,2012
2.500000,27,62.000000,2013
2.500000,27,119.000000,2014
2.500000,27,NaN,2015
2.500000,27,142.000000,2016
2.500000,27,101.000000,2017
2.500000,27,100.000000,2018
2.500000,28,NaN,2007
2.500000,28,NaN,2007
2.500000,28,NaN,2008
2.500000,28,NaN,2009
2.500000,28,48.000000,2010
2.500000,28,NaN,2011
