depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,NaN,2008
2.500000,19,-220.000000,2009
2.500000,19,-97.000000,2010
2.500000,19,-361.000000,2011
2.500000,19,NaN,2012
2.500000,19,-245.000000,2013
2.500000,19,-329.000000,2014
2.500000,19,-182.000000,2015
2.500000,19,NaN,2016
2.500000,19,-194.000000,2017
2.500000,19,NaN,2018
2.500000,19,-227.000000,2019
2.500000,20,NaN,2007
2.500000,20,NaN,2008
2.500000,20,-206.000000,2009
2.500000,20,-233.000000,2010
2.500000,20,-204.000000,2011
2.500000,20,NaN,2012
2.500000,20,-364.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,-202.000000,2017
2.500000,20,NaN,2018
2.500000,20,-228.000000,2019
2.500000,23,-208.000000,2007
2.500000,23,-204.000000,2008
2.500000,23,-189.000000,2009
2.500000,23,-277.000000,2010
2.500000,23,NaN,2011
2.500000,23,-390.000000,2012
2.500000,23,-390.000000,2013
2.500000,23,-390.000000,2014
2.500000,23,-390.000000,2015
2.500000,23,-390.000000,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,NaN,2009
2.500000,24,-32.000000,2010
2.500000,24,NaN,2011
2.500000,24,-48.000000,2012
2.500000,24,-49.000000,2013
2.500000,24,-50.000000,2014
2.500000,24,-48.000000,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,184.000000,2018
2.500000,26,NaN,2007
2.500000,26,191.000000,2007
2.500000,26,143.000000,2008
2.500000,26,151.000000,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,140.000000,2008
2.500000,27,127.000000,2009
2.500000,27,46.000000,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,34.000000,2014
2.500000,27,133.000000,2015
2.500000,27,96.000000,2016
2.500000,27,89.000000,2017
2.500000,27,100.000000,2018
2.500000,28,NaN,2007
2.500000,28,176.000000,2007
2.500000,28,NaN,2008
2.500000,28,170.000000,2009
2.500000,28,9.000000,2010
