depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,NaN,2008
2.500000,19,733575.000000,2009
2.500000,19,NaN,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,734914.000000,2013
2.500000,19,735272.000000,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736486.000000,2017
2.500000,19,NaN,2018
2.500000,19,737234.000000,2019
2.500000,20,NaN,2007
2.500000,20,NaN,2008
2.500000,20,733592.000000,2009
2.500000,20,NaN,2010
2.500000,20,NaN,2011
2.500000,20,NaN,2012
2.500000,20,734914.000000,2013
2.500000,20,735393.000000,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,736501.000000,2017
2.500000,20,NaN,2018
2.500000,20,737244.000000,2019
2.500000,23,NaN,2007
2.500000,23,NaN,2008
2.500000,23,733587.000000,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,NaN,2009
2.500000,24,734159.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,735548.000000,2014
2.500000,24,735924.000000,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,NaN,2007
2.500000,26,NaN,2007
2.500000,26,733639.000000,2008
2.500000,26,NaN,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,733646.000000,2008
2.500000,27,NaN,2009
2.500000,27,734159.000000,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735729.000000,2014
2.500000,27,NaN,2015
2.500000,27,736482.000000,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,NaN,2007
2.500000,28,NaN,2008
2.500000,28,NaN,2009
2.500000,28,734198.000000,2010
2.500000,28,NaN,2011
2.500000,28,NaN,2012
