depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,NaN,2008
2.500000,19,733565.000000,2009
2.500000,19,734053.000000,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736511.000000,2017
2.500000,19,NaN,2018
2.500000,19,737208.000000,2019
2.500000,20,NaN,2007
2.500000,20,NaN,2008
2.500000,20,733579.000000,2009
2.500000,20,733917.000000,2010
2.500000,20,734311.000000,2011
2.500000,20,NaN,2012
2.500000,20,734881.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,736503.000000,2017
2.500000,20,NaN,2018
2.500000,20,737207.000000,2019
2.500000,23,732847.000000,2007
2.500000,23,733216.000000,2008
2.500000,23,733596.000000,2009
2.500000,23,733873.000000,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,NaN,2009
2.500000,24,734118.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,737254.000000,2018
2.500000,26,NaN,2007
2.500000,26,733246.000000,2007
2.500000,26,733563.000000,2008
2.500000,26,NaN,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,733912.000000,2009
2.500000,27,734196.000000,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735644.000000,2014
2.500000,27,NaN,2015
2.500000,27,736436.000000,2016
2.500000,27,736794.000000,2017
2.500000,27,737170.000000,2018
2.500000,28,NaN,2007
2.500000,28,733231.000000,2007
2.500000,28,NaN,2008
2.500000,28,733955.000000,2009
2.500000,28,NaN,2010
2.500000,28,NaN,2011
