depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,-207.000000,2008
2.500000,19,-194.697174,2009
2.500000,19,-190.712724,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,-237.564028,2013
2.500000,19,-328.785145,2014
2.500000,19,-292.206597,2015
2.500000,19,NaN,2016
2.500000,19,-215.000000,2017
2.500000,19,-158.698642,2018
2.500000,19,-226.628036,2019
2.500000,20,NaN,2007
2.500000,20,-309.563875,2008
2.500000,20,-208.000000,2009
2.500000,20,-204.000000,2010
2.500000,20,-176.484620,2011
2.500000,20,NaN,2012
2.500000,20,-332.783186,2013
2.500000,20,-303.000001,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,-204.512460,2017
2.500000,20,-157.908873,2018
2.500000,20,-222.000000,2019
2.500000,23,-196.000000,2007
2.500000,23,-202.000000,2008
2.500000,23,-192.180284,2009
2.500000,23,-276.000000,2010
2.500000,23,NaN,2011
2.500000,23,-343.957558,2012
2.500000,23,-343.957558,2013
2.500000,23,-343.957558,2014
2.500000,23,-343.957558,2015
2.500000,23,-343.957558,2016
2.500000,23,NaN,2017
2.500000,23,-159.000000,2018
2.500000,24,NaN,2007
2.500000,24,22.613992,2007
2.500000,24,NaN,2008
2.500000,24,91.000000,2009
2.500000,24,10.548785,2010
2.500000,24,48.202992,2011
2.500000,24,-1.958779,2012
2.500000,24,-2.956864,2013
2.500000,24,NaN,2014
2.500000,24,-1.958893,2015
2.500000,24,NaN,2016
2.500000,24,153.323522,2017
2.500000,24,124.994091,2018
2.500000,26,NaN,2007
2.500000,26,125.203835,2007
2.500000,26,169.391264,2008
2.500000,26,140.328527,2009
2.500000,27,NaN,2007
2.500000,27,186.011434,2007
2.500000,27,92.000000,2008
2.500000,27,130.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,39.000000,2014
2.500000,27,88.886607,2015
2.500000,27,102.427381,2016
2.500000,27,89.193683,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
