depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,733239.999973,2008
2.500000,19,733513.573688,2009
2.500000,19,734032.923233,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,735008.999999,2013
2.500000,19,735300.436678,2014
2.500000,19,735678.164897,2015
2.500000,19,NaN,2016
2.500000,19,736487.603129,2017
2.500000,19,736826.701133,2018
2.500000,19,737215.653198,2019
2.500000,20,NaN,2007
2.500000,20,733215.956870,2008
2.500000,20,733574.000089,2009
2.500000,20,733968.999880,2010
2.500000,20,734322.642205,2011
2.500000,20,NaN,2012
2.500000,20,734913.227997,2013
2.500000,20,735424.308457,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,736485.999999,2017
2.500000,20,736834.435502,2018
2.500000,20,737232.522421,2019
2.500000,23,NaN,2007
2.500000,23,733109.342842,2008
2.500000,23,733513.706806,2009
2.500000,23,733943.707678,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,733942.000135,2009
2.500000,24,734189.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,735594.040159,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,NaN,2007
2.500000,26,733215.112304,2007
2.500000,26,733579.999998,2008
2.500000,26,733875.000000,2009
2.500000,27,NaN,2007
2.500000,27,733203.834570,2007
2.500000,27,733565.000000,2008
2.500000,27,733933.000000,2009
2.500000,27,734159.952042,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735679.000000,2014
2.500000,27,NaN,2015
2.500000,27,736472.000000,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,733202.000001,2007
2.500000,28,733586.107694,2008
2.500000,28,733939.000000,2009
2.500000,28,734217.758556,2010
2.500000,28,NaN,2011
2.500000,28,734912.094194,2012
2.500000,28,735421.000000,2013
2.500000,28,735678.376739,2014
2.500000,28,736056.163384,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,733582.451960,2008
2.500000,30,733831.000000,2009
2.500000,30,734184.388432,2010
2.500000,30,NaN,2011
2.500000,30,734914.947305,2012
2.500000,30,NaN,2013
2.500000,30,NaN,2014
2.500000,30,NaN,2015
2.500000,30,736473.000000,2016
2.500000,30,736792.993120,2017
2.500000,30,737172.818421,2018
2.500000,31,NaN,2007
2.500000,31,733181.376075,2007
2.500000,31,733567.220534,2008
2.500000,32,NaN,2007
2.500000,32,733107.068404,2007
2.500000,32,733564.982872,2008
2.500000,32,733830.000000,2009
2.500000,32,734271.725310,2010
2.500000,32,NaN,2011
2.500000,32,734912.000000,2012
2.500000,32,NaN,2013
2.500000,32,735680.276050,2014
2.500000,32,NaN,2015
2.500000,32,736471.023536,2016
2.500000,32,NaN,2017
2.500000,32,NaN,2018
2.500000,34,NaN,2007
2.500000,34,733200.123005,2008
2.500000,34,733562.070716,2009
2.500000,34,733872.000000,2010
2.500000,34,734183.000000,2011
2.500000,34,734523.286878,2012
2.500000,34,734912.999997,2013
2.500000,34,735305.886702,2014
2.500000,34,735679.000000,2015
2.500000,34,NaN,2016
2.500000,34,736471.000000,2017
2.500000,34,NaN,2018
2.500000,34,NaN,2019
2.500000,35,NaN,2007
2.500000,35,733203.877397,2008
2.500000,35,733563.000000,2009
2.500000,35,733875.000000,2010
2.500000,35,734273.999999,2011
2.500000,35,734524.000000,2012
2.500000,35,734912.198876,2013
