depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,733213.000000,2008
2.500000,19,733590.302826,2009
2.500000,19,733959.287276,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736490.000000,2017
2.500000,19,736911.301358,2018
2.500000,19,737208.371964,2019
2.500000,20,NaN,2007
2.500000,20,733110.436125,2008
2.500000,20,733577.000000,2009
2.500000,20,733946.000000,2010
2.500000,20,734338.515380,2011
2.500000,20,NaN,2012
2.500000,20,734912.216814,2013
2.500000,20,735306.999999,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,736500.487540,2017
2.500000,20,736912.091127,2018
2.500000,20,737213.000000,2019
2.500000,23,732859.000000,2007
2.500000,23,733218.000000,2008
2.500000,23,733592.819716,2009
2.500000,23,733874.000000,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,733077.613992,2007
2.500000,24,NaN,2008
2.500000,24,733876.000000,2009
2.500000,24,734160.548785,2010
2.500000,24,734563.202992,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,737194.994091,2018
2.500000,26,NaN,2007
2.500000,26,733180.203835,2007
2.500000,26,733589.391264,2008
2.500000,26,NaN,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,733915.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735649.000000,2014
2.500000,27,NaN,2015
2.500000,27,736442.427381,2016
2.500000,27,736794.193683,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,733180.999999,2007
2.500000,28,NaN,2008
2.500000,28,733934.982289,2009
2.500000,28,NaN,2010
2.500000,28,NaN,2011
2.500000,28,734915.000000,2012
2.500000,28,735306.142342,2013
2.500000,28,735673.187604,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,733583.553036,2008
2.500000,30,733877.000000,2009
2.500000,30,NaN,2010
2.500000,30,NaN,2011
2.500000,30,734916.640012,2012
2.500000,30,NaN,2013
2.500000,30,NaN,2014
2.500000,30,NaN,2015
2.500000,30,736488.000000,2016
2.500000,30,NaN,2017
2.500000,30,NaN,2018
2.500000,31,NaN,2007
2.500000,31,733169.574620,2008
2.500000,31,733513.357706,2009
2.500000,32,NaN,2007
2.500000,32,733180.350698,2007
2.500000,32,733597.999999,2008
2.500000,32,733874.889115,2009
2.500000,32,734283.601902,2010
2.500000,32,NaN,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,735631.000000,2014
2.500000,32,NaN,2015
2.500000,32,736488.262612,2016
2.500000,32,736762.000000,2017
2.500000,32,737176.000000,2018
2.500000,34,NaN,2007
2.500000,34,733203.651951,2008
2.500000,34,733516.447360,2009
2.500000,34,NaN,2010
2.500000,34,734301.999915,2011
2.500000,34,734739.499237,2012
2.500000,34,734939.177565,2013
2.500000,34,NaN,2014
2.500000,34,NaN,2015
2.500000,34,NaN,2016
2.500000,34,736487.298949,2017
2.500000,34,736814.758420,2018
2.500000,34,737206.745129,2019
2.500000,35,NaN,2007
2.500000,35,733181.457950,2008
2.500000,35,733513.000000,2009
2.500000,35,733873.000000,2010
2.500000,35,734322.000000,2011
2.500000,35,734632.000000,2012
2.500000,35,734912.445105,2013
2.500000,35,735381.681434,2014
2.500000,35,735685.000000,2015
2.500000,35,NaN,2016
2.500000,35,736489.259434,2017
2.500000,35,736909.948714,2018
2.500000,35,737208.059682,2019
2.500000,37,NaN,2007
2.500000,37,733167.131232,2008
2.500000,37,733520.280389,2009
2.500000,37,733882.177209,2010
2.500000,37,734298.283565,2011
2.500000,37,NaN,2012
2.500000,37,NaN,2013
2.500000,37,735416.056602,2014
2.500000,38,NaN,2007
2.500000,38,733172.000000,2007
2.500000,38,733592.000000,2008
2.500000,38,733875.145250,2009
2.500000,38,734260.683970,2010
2.500000,38,NaN,2011
2.500000,38,734913.000000,2012
2.500000,38,735376.576428,2013
4.000000,1,NaN,2007
4.000000,1,731381.999967,2007
4.000000,1,731701.999946,2007
4.000000,1,NaN,2007
4.000000,1,NaN,2007
4.000000,1,732837.179538,2007
4.000000,1,733107.825738,2008
4.000000,1,733623.000368,2009
4.000000,1,733862.694195,2010
4.000000,1,NaN,2011
4.000000,2,NaN,2007
4.000000,2,731237.544205,2007
4.000000,2,731754.485207,2007
4.000000,2,732328.070868,2007
4.000000,2,732467.032436,2007
4.000000,2,732820.747354,2007
4.000000,2,733088.842307,2008
4.000000,2,733555.999706,2009
4.000000,2,733875.700000,2010
4.000000,2,734318.246833,2011
4.000000,3,NaN,2007
4.000000,3,731238.000000,2007
4.000000,3,731839.067554,2007
4.000000,3,732102.680236,2007
4.000000,3,732467.122605,2007
4.000000,3,732829.787890,2007
4.000000,3,NaN,2008
4.000000,3,NaN,2009
4.000000,3,NaN,2010
4.000000,3,734353.000493,2011
4.000000,4,NaN,2007
4.000000,4,NaN,2007
