depth,sid,value,WY
2.500000,19,-275.000000,2007
2.500000,19,-281.000000,2008
2.500000,19,NaN,2009
2.500000,19,-238.000000,2010
2.500000,19,NaN,2011
2.500000,19,-218.000000,2012
2.500000,19,-234.000000,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,-221.000000,2017
2.500000,19,-143.000000,2018
2.500000,19,-113.000000,2019
2.500000,20,-272.000000,2007
2.500000,20,-279.000000,2008
2.500000,20,NaN,2009
2.500000,20,-229.000000,2010
2.500000,20,-208.000000,2011
2.500000,20,-201.000000,2012
2.500000,20,-201.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,-218.000000,2016
2.500000,20,-186.000000,2017
2.500000,20,-151.000000,2018
2.500000,20,-137.000000,2019
2.500000,23,-275.000000,2007
2.500000,23,-281.000000,2008
2.500000,23,NaN,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,-416.000000,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,88.000000,2007
2.500000,24,NaN,2007
2.500000,24,134.000000,2008
2.500000,24,157.000000,2009
2.500000,24,NaN,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,85.000000,2007
2.500000,26,88.000000,2007
2.500000,26,94.000000,2008
2.500000,26,216.000000,2009
2.500000,27,81.000000,2007
2.500000,27,65.000000,2007
2.500000,27,97.000000,2008
2.500000,27,123.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,96.000000,2014
2.500000,27,NaN,2015
2.500000,27,126.000000,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,56.000000,2007
2.500000,28,173.000000,2008
2.500000,28,129.000000,2009
2.500000,28,NaN,2010
2.500000,28,117.000000,2011
2.500000,28,167.000000,2012
2.500000,28,96.000000,2013
2.500000,28,96.000000,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,95.000000,2008
2.500000,30,58.000000,2009
2.500000,30,NaN,2010
2.500000,30,121.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,92.000000,2014
2.500000,30,NaN,2015
2.500000,30,121.000000,2016
2.500000,30,59.000000,2017
2.500000,30,70.000000,2018
2.500000,31,62.000000,2007
2.500000,31,65.000000,2007
2.500000,31,93.000000,2008
2.500000,32,40.000000,2007
2.500000,32,70.000000,2007
2.500000,32,NaN,2008
2.500000,32,171.000000,2009
2.500000,32,NaN,2010
2.500000,32,99.000000,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,102.000000,2014
2.500000,32,NaN,2015
2.500000,32,129.000000,2016
2.500000,32,NaN,2017
2.500000,32,NaN,2018
2.500000,34,-314.000000,2007
2.500000,34,-223.000000,2008
2.500000,34,NaN,2009
2.500000,34,-219.000000,2010
2.500000,34,NaN,2011
2.500000,34,-250.000000,2012
2.500000,34,-205.000000,2013
2.500000,34,NaN,2014
2.500000,34,-264.000000,2015
2.500000,34,NaN,2016
2.500000,34,-235.000000,2017
2.500000,34,NaN,2018
2.500000,34,NaN,2019
2.500000,35,NaN,2007
2.500000,35,-296.000000,2008
2.500000,35,-273.000000,2009
2.500000,35,-264.000000,2010
2.500000,35,NaN,2011
2.500000,35,-247.000000,2012
2.500000,35,-216.000000,2013
2.500000,35,-235.000000,2014
2.500000,35,-257.000000,2015
2.500000,35,NaN,2016
2.500000,35,-236.000000,2017
2.500000,35,-301.000000,2018
2.500000,35,NaN,2019
2.500000,37,NaN,2007
2.500000,37,73.000000,2007
2.500000,37,NaN,2008
2.500000,37,183.000000,2009
2.500000,37,NaN,2010
2.500000,37,NaN,2011
2.500000,37,144.000000,2012
2.500000,37,133.000000,2013
2.500000,38,NaN,2007
2.500000,38,68.000000,2007
2.500000,38,92.000000,2008
2.500000,38,NaN,2009
2.500000,38,NaN,2010
2.500000,38,140.000000,2011
2.500000,38,155.000000,2012
2.500000,38,134.000000,2013
4.000000,1,NaN,2007
4.000000,1,-1322.000000,2007
4.000000,1,-820.000000,2007
4.000000,1,-513.000000,2007
4.000000,1,NaN,2007
4.000000,1,-221.000000,2007
4.000000,1,-277.000000,2008
4.000000,1,NaN,2009
4.000000,1,NaN,2010
4.000000,1,-203.000000,2011
4.000000,2,NaN,2007
4.000000,2,NaN,2007
