depth,sid,value,WY
2.500000,19,-297.000000,2007
2.500000,19,-290.000000,2008
2.500000,19,-153.000000,2009
2.500000,19,-296.000000,2010
2.500000,19,NaN,2011
2.500000,19,-260.000000,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,-258.000000,2017
2.500000,19,-172.000000,2018
2.500000,19,-186.000000,2019
2.500000,20,-228.000000,2007
2.500000,20,-321.000000,2008
2.500000,20,-300.000000,2009
2.500000,20,-296.000000,2010
2.500000,20,-201.000000,2011
2.500000,20,-304.000000,2012
2.500000,20,-288.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,-208.000000,2016
2.500000,20,-240.000000,2017
2.500000,20,-200.000000,2018
2.500000,20,-280.000000,2019
2.500000,23,-283.000000,2007
2.500000,23,-298.000000,2008
2.500000,23,-261.000000,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,-142.000000,2017
2.500000,23,NaN,2018
2.500000,24,68.000000,2007
2.500000,24,NaN,2007
2.500000,24,96.000000,2008
2.500000,24,85.000000,2009
2.500000,24,169.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,106.000000,2018
2.500000,26,77.000000,2007
2.500000,26,65.000000,2007
2.500000,26,103.000000,2008
2.500000,26,NaN,2009
2.500000,27,36.000000,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,65.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,48.000000,2014
2.500000,27,NaN,2015
2.500000,27,NaN,2016
2.500000,27,199.000000,2017
2.500000,27,165.000000,2018
2.500000,28,59.000000,2007
2.500000,28,49.000000,2007
2.500000,28,NaN,2008
2.500000,28,41.000000,2009
2.500000,28,NaN,2010
2.500000,28,99.000000,2011
2.500000,28,84.000000,2012
2.500000,28,47.000000,2013
2.500000,28,4.000000,2014
2.500000,28,NaN,2015
2.500000,30,134.000000,2007
2.500000,30,NaN,2007
2.500000,30,175.000000,2008
2.500000,30,52.000000,2009
2.500000,30,NaN,2010
2.500000,30,59.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,24.000000,2014
2.500000,30,NaN,2015
2.500000,30,116.000000,2016
2.500000,30,NaN,2017
2.500000,30,165.000000,2018
2.500000,31,-269.000000,2007
2.500000,31,-288.000000,2008
2.500000,31,-188.000000,2009
2.500000,32,76.000000,2007
2.500000,32,36.000000,2007
2.500000,32,172.000000,2008
2.500000,32,176.000000,2009
2.500000,32,NaN,2010
2.500000,32,51.000000,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,14.000000,2014
2.500000,32,NaN,2015
2.500000,32,103.000000,2016
2.500000,32,233.000000,2017
2.500000,32,168.000000,2018
2.500000,34,-230.000000,2007
2.500000,34,-317.000000,2008
2.500000,34,NaN,2009
2.500000,34,NaN,2010
2.500000,34,-211.000000,2011
2.500000,34,NaN,2012
2.500000,34,NaN,2013
2.500000,34,NaN,2014
2.500000,34,NaN,2015
2.500000,34,NaN,2016
2.500000,34,-259.000000,2017
2.500000,34,-129.000000,2018
2.500000,34,-140.000000,2019
2.500000,35,NaN,2007
2.500000,35,-333.000000,2008
2.500000,35,-197.000000,2009
2.500000,35,-190.000000,2010
2.500000,35,NaN,2011
2.500000,35,-222.000000,2012
2.500000,35,-307.000000,2013
2.500000,35,-317.000000,2014
2.500000,35,-342.000000,2015
2.500000,35,NaN,2016
2.500000,35,-188.000000,2017
2.500000,35,-143.000000,2018
2.500000,35,-341.000000,2019
2.500000,37,NaN,2007
2.500000,37,-322.000000,2008
2.500000,37,-190.000000,2009
2.500000,37,-216.000000,2010
2.500000,37,-290.000000,2011
2.500000,37,NaN,2012
2.500000,37,-190.000000,2013
2.500000,37,-278.000000,2014
2.500000,38,138.000000,2007
2.500000,38,28.000000,2007
2.500000,38,170.000000,2008
2.500000,38,327.000000,2009
2.500000,38,115.000000,2010
2.500000,38,147.000000,2011
2.500000,38,76.000000,2012
2.500000,38,83.000000,2013
4.000000,1,NaN,2007
4.000000,1,-1348.000000,2007
4.000000,1,NaN,2007
4.000000,1,NaN,2007
4.000000,1,-186.000000,2007
4.000000,1,-284.000000,2007
4.000000,1,-307.000000,2008
4.000000,1,-280.000000,2009
4.000000,1,-251.000000,2010
4.000000,1,-308.000000,2011
4.000000,2,-1663.000000,2007
4.000000,2,-1356.000000,2007
4.000000,2,-896.000000,2007
4.000000,2,-553.000000,2007
4.000000,2,NaN,2007
4.000000,2,-252.000000,2007
4.000000,2,-309.000000,2008
4.000000,2,-141.000000,2009
4.000000,2,-243.000000,2010
4.000000,2,NaN,2011
4.000000,3,NaN,2007
4.000000,3,-1348.000000,2007
4.000000,3,NaN,2007
4.000000,3,NaN,2007
4.000000,3,-252.000000,2007
4.000000,3,-299.000000,2007
4.000000,3,NaN,2008
4.000000,3,-186.000000,2009
4.000000,3,NaN,2010
4.000000,3,-204.000000,2011
4.000000,4,-1727.000000,2007
4.000000,4,NaN,2007
4.000000,4,-952.000000,2007
4.000000,4,-611.000000,2007
4.000000,4,NaN,2007
4.000000,4,-278.000000,2007
4.000000,4,NaN,2008
4.000000,4,-189.000000,2009
4.000000,4,-300.000000,2010
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,-174.000000,2007
4.000000,5,-331.000000,2007
4.000000,5,-137.000000,2008
4.000000,5,-191.000000,2009
4.000000,5,NaN,2010
4.000000,6,-1691.000000,2007
4.000000,6,NaN,2007
4.000000,6,-909.000000,2007
4.000000,6,-492.000000,2007
4.000000,6,NaN,2007
4.000000,6,-260.000000,2007
4.000000,6,-131.000000,2008
4.000000,6,-173.000000,2009
4.000000,6,NaN,2010
4.000000,7,NaN,2007
4.000000,7,NaN,2007
4.000000,7,-915.000000,2007
4.000000,7,-660.000000,2007
4.000000,7,NaN,2007
4.000000,7,-262.000000,2007
4.000000,7,-326.000000,2008
4.000000,7,NaN,2009
4.000000,7,-303.000000,2010
4.000000,7,-197.000000,2011
4.000000,8,NaN,2007
4.000000,8,-1331.000000,2007
4.000000,8,-877.000000,2007
4.000000,8,-530.000000,2007
4.000000,8,-208.000000,2007
4.000000,8,-265.000000,2007
4.000000,8,-278.000000,2008
4.000000,8,NaN,2009
4.000000,8,-211.000000,2010
4.000000,9,NaN,2007
4.000000,9,-1340.000000,2007
4.000000,9,-839.000000,2007
4.000000,10,NaN,2007
4.000000,10,-1335.000000,2007
4.000000,10,-887.000000,2007
4.000000,10,-590.000000,2007
4.000000,10,-227.000000,2007
4.000000,10,-283.000000,2007
4.000000,10,NaN,2008
4.000000,10,NaN,2009
4.000000,10,-254.000000,2010
4.000000,10,-207.000000,2011
4.000000,10,NaN,2012
4.000000,11,NaN,2007
4.000000,11,-1331.000000,2007
4.000000,11,-864.000000,2007
4.000000,11,-647.000000,2007
4.000000,11,-227.000000,2007
4.000000,11,-302.000000,2007
4.000000,11,NaN,2008
4.000000,11,-285.000000,2009
4.000000,11,-256.000000,2010
4.000000,11,-196.000000,2011
4.000000,12,NaN,2007
4.000000,12,-1359.000000,2007
4.000000,12,-904.000000,2007
4.000000,12,-573.000000,2007
4.000000,12,-219.000000,2007
4.000000,12,-289.000000,2007
4.000000,13,NaN,2007
4.000000,13,-1351.000000,2007
4.000000,13,NaN,2007
4.000000,13,-637.000000,2007
4.000000,13,-220.000000,2007
4.000000,13,NaN,2007
4.000000,13,-301.000000,2008
4.000000,13,-154.000000,2009
4.000000,13,-255.000000,2010
4.000000,14,NaN,2007
4.000000,14,-1342.000000,2007
4.000000,14,-892.000000,2007
4.000000,14,NaN,2007
4.000000,14,-123.000000,2007
4.000000,14,-298.000000,2007
4.000000,14,-296.000000,2008
4.000000,14,-259.000000,2009
4.000000,14,-252.000000,2010
4.000000,15,NaN,2007
4.000000,15,-1352.000000,2007
4.000000,15,-971.000000,2007
4.000000,15,-626.000000,2007
4.000000,15,-213.000000,2007
4.000000,15,-293.000000,2007
4.000000,15,-278.000000,2008
4.000000,15,-259.000000,2009
4.000000,15,-248.000000,2010
4.000000,15,-231.000000,2011
4.000000,15,-261.000000,2012
4.000000,16,NaN,2007
4.000000,16,-1351.000000,2007
4.000000,16,-899.000000,2007
4.000000,16,-630.000000,2007
4.000000,16,-209.000000,2007
4.000000,16,-198.000000,2007
4.000000,16,NaN,2008
4.000000,16,-280.000000,2009
4.000000,16,-263.000000,2010
4.000000,16,-240.000000,2011
4.000000,16,NaN,2012
4.000000,17,NaN,2007
4.000000,17,-1351.000000,2007
4.000000,17,-909.000000,2007
4.000000,17,-585.000000,2007
4.000000,17,-204.000000,2007
4.000000,17,-282.000000,2007
4.000000,17,-294.000000,2008
4.000000,17,-257.000000,2009
4.000000,18,NaN,2007
4.000000,18,NaN,2007
4.000000,18,-967.000000,2007
4.000000,18,-652.000000,2007
4.000000,18,-165.000000,2007
4.000000,18,-290.000000,2007
4.000000,18,-320.000000,2008
4.000000,18,-274.000000,2009
4.000000,18,-306.000000,2010
10.000000,1,-269.000000,2007
10.000000,1,-299.000000,2008
10.000000,1,NaN,2009
10.000000,1,-267.000000,2010
10.000000,1,-192.000000,2011
10.000000,1,-254.000000,2012
10.000000,1,-186.000000,2013
10.000000,1,-313.000000,2014
10.000000,1,-338.000000,2015
10.000000,1,NaN,2016
10.000000,1,-228.000000,2017
10.000000,1,-169.000000,2018
10.000000,1,-195.000000,2019
