depth,sid,value,WY
2.500000,19,732963.000000,2007
2.500000,19,733322.000000,2008
2.500000,19,NaN,2009
2.500000,19,734095.000000,2010
2.500000,19,NaN,2011
2.500000,19,734845.000000,2012
2.500000,19,735194.000000,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736667.000000,2017
2.500000,19,737110.000000,2018
2.500000,19,737505.000000,2019
2.500000,20,732966.000000,2007
2.500000,20,733324.000000,2008
2.500000,20,NaN,2009
2.500000,20,734104.000000,2010
2.500000,20,734490.000000,2011
2.500000,20,734862.000000,2012
2.500000,20,735227.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,736305.000000,2016
2.500000,20,736702.000000,2017
2.500000,20,737102.000000,2018
2.500000,20,737481.000000,2019
2.500000,23,732963.000000,2007
2.500000,23,733322.000000,2008
2.500000,23,NaN,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,735377.000000,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,732961.000000,2007
2.500000,24,NaN,2007
2.500000,24,733737.000000,2008
2.500000,24,734125.000000,2009
2.500000,24,NaN,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,732958.000000,2007
2.500000,26,733326.000000,2007
2.500000,26,733697.000000,2008
2.500000,26,734184.000000,2009
2.500000,27,732954.000000,2007
2.500000,27,733303.000000,2007
2.500000,27,733700.000000,2008
2.500000,27,734091.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735889.000000,2014
2.500000,27,NaN,2015
2.500000,27,736649.000000,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,733294.000000,2007
2.500000,28,733776.000000,2008
2.500000,28,734097.000000,2009
2.500000,28,NaN,2010
2.500000,28,734815.000000,2011
2.500000,28,735230.000000,2012
2.500000,28,735524.000000,2013
2.500000,28,735889.000000,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,733698.000000,2008
2.500000,30,734026.000000,2009
2.500000,30,NaN,2010
2.500000,30,734819.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,735885.000000,2014
2.500000,30,NaN,2015
