depth,sid,value,WY
2.500000,19,732941.000000,2007
2.500000,19,733313.000000,2008
2.500000,19,733815.000000,2009
2.500000,19,734037.000000,2010
2.500000,19,NaN,2011
2.500000,19,734803.000000,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736630.000000,2017
2.500000,19,737081.000000,2018
2.500000,19,737432.000000,2019
2.500000,20,733010.000000,2007
2.500000,20,733282.000000,2008
2.500000,20,733668.000000,2009
2.500000,20,734037.000000,2010
2.500000,20,734497.000000,2011
2.500000,20,734759.000000,2012
2.500000,20,735140.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,736315.000000,2016
2.500000,20,736648.000000,2017
2.500000,20,737053.000000,2018
2.500000,20,737338.000000,2019
2.500000,23,732955.000000,2007
2.500000,23,733305.000000,2008
2.500000,23,733707.000000,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,736746.000000,2017
2.500000,23,NaN,2018
2.500000,24,732941.000000,2007
2.500000,24,NaN,2007
2.500000,24,733699.000000,2008
2.500000,24,734053.000000,2009
2.500000,24,734502.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,737359.000000,2018
2.500000,26,732950.000000,2007
2.500000,26,733303.000000,2007
2.500000,26,733706.000000,2008
2.500000,26,NaN,2009
2.500000,27,732909.000000,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,734033.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735841.000000,2014
2.500000,27,NaN,2015
2.500000,27,NaN,2016
2.500000,27,737087.000000,2017
2.500000,27,737418.000000,2018
2.500000,28,732932.000000,2007
2.500000,28,733287.000000,2007
2.500000,28,NaN,2008
2.500000,28,734009.000000,2009
2.500000,28,NaN,2010
2.500000,28,734797.000000,2011
2.500000,28,735147.000000,2012
2.500000,28,735475.000000,2013
2.500000,28,735797.000000,2014
2.500000,28,NaN,2015
2.500000,30,733007.000000,2007
2.500000,30,NaN,2007
2.500000,30,733778.000000,2008
2.500000,30,734020.000000,2009
2.500000,30,NaN,2010
2.500000,30,734757.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,735817.000000,2014
2.500000,30,NaN,2015
2.500000,30,736639.000000,2016
2.500000,30,NaN,2017
2.500000,30,737418.000000,2018
2.500000,31,732969.000000,2007
2.500000,31,733315.000000,2008
2.500000,31,733780.000000,2009
2.500000,32,732949.000000,2007
2.500000,32,733274.000000,2007
2.500000,32,733775.000000,2008
2.500000,32,734144.000000,2009
2.500000,32,NaN,2010
2.500000,32,734749.000000,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,735807.000000,2014
2.500000,32,NaN,2015
2.500000,32,736626.000000,2016
2.500000,32,737121.000000,2017
2.500000,32,737421.000000,2018
2.500000,34,733008.000000,2007
2.500000,34,733286.000000,2008
2.500000,34,NaN,2009
2.500000,34,NaN,2010
2.500000,34,734487.000000,2011
2.500000,34,NaN,2012
2.500000,34,NaN,2013
2.500000,34,NaN,2014
2.500000,34,NaN,2015
2.500000,34,NaN,2016
2.500000,34,736629.000000,2017
2.500000,34,737124.000000,2018
2.500000,34,737478.000000,2019
2.500000,35,NaN,2007
2.500000,35,733270.000000,2008
2.500000,35,733771.000000,2009
2.500000,35,734143.000000,2010
2.500000,35,NaN,2011
2.500000,35,734841.000000,2012
2.500000,35,735121.000000,2013
2.500000,35,735476.000000,2014
2.500000,35,735816.000000,2015
2.500000,35,NaN,2016
2.500000,35,736700.000000,2017
2.500000,35,737110.000000,2018
2.500000,35,737277.000000,2019
2.500000,37,NaN,2007
2.500000,37,733281.000000,2008
2.500000,37,733778.000000,2009
2.500000,37,734117.000000,2010
2.500000,37,734408.000000,2011
2.500000,37,NaN,2012
2.500000,37,735238.000000,2013
2.500000,37,735515.000000,2014
2.500000,38,733011.000000,2007
2.500000,38,733266.000000,2007
2.500000,38,733773.000000,2008
2.500000,38,734295.000000,2009
2.500000,38,734448.000000,2010
2.500000,38,734845.000000,2011
2.500000,38,735139.000000,2012
2.500000,38,735511.000000,2013
4.000000,1,NaN,2007
4.000000,1,731525.000000,2007
4.000000,1,NaN,2007
4.000000,1,NaN,2007
4.000000,1,732687.000000,2007
4.000000,1,732954.000000,2007
4.000000,1,733296.000000,2008
4.000000,1,733688.000000,2009
4.000000,1,734082.000000,2010
4.000000,1,734390.000000,2011
4.000000,2,731210.000000,2007
4.000000,2,731517.000000,2007
4.000000,2,731977.000000,2007
4.000000,2,732320.000000,2007
4.000000,2,NaN,2007
4.000000,2,732986.000000,2007
4.000000,2,733294.000000,2008
4.000000,2,733827.000000,2009
4.000000,2,734090.000000,2010
4.000000,2,NaN,2011
4.000000,3,NaN,2007
4.000000,3,731525.000000,2007
4.000000,3,NaN,2007
4.000000,3,NaN,2007
4.000000,3,732621.000000,2007
4.000000,3,732939.000000,2007
4.000000,3,NaN,2008
4.000000,3,733782.000000,2009
4.000000,3,NaN,2010
4.000000,3,734494.000000,2011
4.000000,4,731146.000000,2007
4.000000,4,NaN,2007
4.000000,4,731921.000000,2007
4.000000,4,732262.000000,2007
4.000000,4,NaN,2007
4.000000,4,732960.000000,2007
4.000000,4,NaN,2008
4.000000,4,733779.000000,2009
4.000000,4,734033.000000,2010
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,732699.000000,2007
4.000000,5,732907.000000,2007
4.000000,5,733466.000000,2008
4.000000,5,733777.000000,2009
4.000000,5,NaN,2010
4.000000,6,731182.000000,2007
4.000000,6,NaN,2007
4.000000,6,731964.000000,2007
4.000000,6,732381.000000,2007
4.000000,6,NaN,2007
4.000000,6,732978.000000,2007
4.000000,6,733472.000000,2008
4.000000,6,733795.000000,2009
4.000000,6,NaN,2010
4.000000,7,NaN,2007
4.000000,7,NaN,2007
