depth,sid,value,WY
2.500000,19,-333.249693,2007
2.500000,19,-290.787132,2008
2.500000,19,-183.970949,2009
2.500000,19,-296.873815,2010
2.500000,19,NaN,2011
2.500000,19,-296.486312,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,-258.290429,2017
2.500000,19,-172.000007,2018
2.500000,19,-186.426558,2019
2.500000,20,-227.828300,2007
2.500000,20,-315.000000,2008
2.500000,20,-304.173352,2009
2.500000,20,-298.549689,2010
2.500000,20,-283.365051,2011
2.500000,20,-301.045033,2012
2.500000,20,-287.418852,2013
2.500000,20,-136.324798,2014
2.500000,20,NaN,2015
2.500000,20,-253.107053,2016
2.500000,20,-242.760875,2017
2.500000,20,-199.902467,2018
2.500000,20,-290.533718,2019
2.500000,23,-288.000000,2007
2.500000,23,-298.171617,2008
2.500000,23,-264.000099,2009
2.500000,23,-101.628004,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,-222.253228,2017
2.500000,23,NaN,2018
2.500000,24,39.705919,2007
2.500000,24,222.362150,2007
2.500000,24,96.461835,2008
2.500000,24,82.271454,2009
2.500000,24,160.584568,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,105.000000,2018
2.500000,26,74.943492,2007
2.500000,26,62.344251,2007
2.500000,26,98.000000,2008
2.500000,26,NaN,2009
2.500000,27,35.385644,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,61.890738,2009
2.500000,27,136.819471,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,49.390680,2014
2.500000,27,NaN,2015
2.500000,27,208.284969,2016
2.500000,27,195.454024,2017
2.500000,27,174.000000,2018
2.500000,28,59.508806,2007
2.500000,28,50.283284,2007
2.500000,28,NaN,2008
2.500000,28,36.105770,2009
2.500000,28,NaN,2010
2.500000,28,71.751877,2011
2.500000,28,83.387967,2012
2.500000,28,-3.520435,2013
2.500000,28,3.944489,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
