depth,sid,value,WY
2.500000,19,732958.655406,2007
2.500000,19,733324.204607,2008
2.500000,19,733696.555889,2009
2.500000,19,734090.089467,2010
2.500000,19,NaN,2011
2.500000,19,734869.000000,2012
2.500000,19,735193.003968,2013
2.500000,19,735622.687250,2014
2.500000,19,735994.999847,2015
2.500000,19,NaN,2016
2.500000,19,736663.603641,2017
2.500000,19,737054.272534,2018
2.500000,19,737449.781530,2019
2.500000,20,732961.000000,2007
2.500000,20,733325.999999,2008
2.500000,20,733699.009680,2009
2.500000,20,734092.993710,2010
2.500000,20,734406.529892,2011
2.500000,20,734801.583885,2012
2.500000,20,735224.366219,2013
2.500000,20,735679.595677,2014
2.500000,20,NaN,2015
2.500000,20,736296.393825,2016
2.500000,20,736679.422532,2017
2.500000,20,737055.003462,2018
2.500000,20,737478.510772,2019
2.500000,23,732958.697953,2007
2.500000,23,733324.000000,2008
2.500000,23,733699.000304,2009
2.500000,23,734217.000080,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,732957.018687,2007
2.500000,24,NaN,2007
2.500000,24,733702.000000,2008
2.500000,24,734093.079596,2009
2.500000,24,734539.754951,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,732954.190745,2007
2.500000,26,733325.999964,2007
2.500000,26,733696.804258,2008
2.500000,26,734089.999225,2009
2.500000,27,732954.072368,2007
2.500000,27,733302.449549,2007
2.500000,27,733692.802074,2008
2.500000,27,734023.510238,2009
2.500000,27,734559.473266,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735888.609694,2014
2.500000,27,NaN,2015
2.500000,27,736642.076659,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,733294.352054,2007
2.500000,28,733776.497675,2008
2.500000,28,734024.719720,2009
2.500000,28,734538.094827,2010
2.500000,28,734764.564972,2011
2.500000,28,735167.727814,2012
2.500000,28,735526.000000,2013
2.500000,28,735886.764279,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,733694.000000,2008
2.500000,30,734024.889766,2009
2.500000,30,734406.537601,2010
2.500000,30,734807.999999,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,735878.037554,2014
2.500000,30,NaN,2015
2.500000,30,736641.540051,2016
2.500000,30,736947.868292,2017
2.500000,30,737324.000000,2018
2.500000,31,732917.841786,2007
2.500000,31,733301.278276,2007
2.500000,31,733693.000000,2008
2.500000,32,732911.945197,2007
2.500000,32,733309.829954,2007
2.500000,32,733703.000000,2008
2.500000,32,734068.888925,2009
2.500000,32,734527.584327,2010
2.500000,32,734770.968490,2011
2.500000,32,735281.628075,2012
2.500000,32,NaN,2013
2.500000,32,735892.482295,2014
2.500000,32,NaN,2015
2.500000,32,736647.251135,2016
2.500000,32,NaN,2017
2.500000,32,NaN,2018
2.500000,34,732919.823351,2007
2.500000,34,733346.592436,2008
2.500000,34,733698.827251,2009
2.500000,34,734114.228741,2010
2.500000,34,734407.457557,2011
2.500000,34,734768.000029,2012
2.500000,34,735199.000305,2013
2.500000,34,735588.000000,2014
2.500000,34,735892.763156,2015
2.500000,34,NaN,2016
2.500000,34,736649.463592,2017
2.500000,34,NaN,2018
2.500000,34,NaN,2019
2.500000,35,NaN,2007
2.500000,35,733310.400014,2008
2.500000,35,733699.999994,2009
2.500000,35,734069.226734,2010
2.500000,35,734414.485890,2011
2.500000,35,734805.824606,2012
2.500000,35,735194.581165,2013
2.500000,35,735554.889858,2014
2.500000,35,735897.999999,2015
2.500000,35,NaN,2016
2.500000,35,736646.430903,2017
2.500000,35,736953.615604,2018
2.500000,35,NaN,2019
2.500000,37,NaN,2007
2.500000,37,733317.562435,2007
2.500000,37,733698.000000,2008
2.500000,37,734086.739506,2009
2.500000,37,734408.980532,2010
2.500000,37,734674.528149,2011
2.500000,37,735170.516453,2012
2.500000,37,735556.999716,2013
2.500000,38,NaN,2007
2.500000,38,733303.785110,2007
2.500000,38,733699.000537,2008
2.500000,38,734165.999732,2009
2.500000,38,NaN,2010
2.500000,38,734813.000000,2011
2.500000,38,735213.701926,2012
2.500000,38,735557.107747,2013
4.000000,1,NaN,2007
4.000000,1,731540.923263,2007
4.000000,1,731999.999999,2007
4.000000,1,732278.488511,2007
4.000000,1,732740.999999,2007
4.000000,1,733015.274138,2007
4.000000,1,733326.914211,2008
4.000000,1,733814.000090,2009
4.000000,1,NaN,2010
4.000000,1,NaN,2011
4.000000,2,NaN,2007
4.000000,2,NaN,2007
4.000000,2,731901.000092,2007
4.000000,2,NaN,2007
4.000000,2,732529.286721,2007
4.000000,2,732974.511986,2007
4.000000,2,NaN,2008
4.000000,2,733776.488015,2009
4.000000,2,NaN,2010
4.000000,2,734502.000000,2011
4.000000,3,NaN,2007
4.000000,3,NaN,2007
4.000000,3,731893.412985,2007
4.000000,3,732208.967203,2007
4.000000,3,732530.729654,2007
4.000000,3,732958.674935,2007
4.000000,3,NaN,2008
4.000000,3,733775.396550,2009
4.000000,3,NaN,2010
4.000000,3,734402.557443,2011
4.000000,4,731184.673996,2007
4.000000,4,731502.309620,2007
4.000000,4,731855.130804,2007
4.000000,4,732218.306112,2007
4.000000,4,732532.258895,2007
4.000000,4,732958.994554,2007
4.000000,4,NaN,2008
4.000000,4,733700.000000,2009
4.000000,4,734018.165558,2010
4.000000,5,NaN,2007
4.000000,5,731496.998665,2007
4.000000,5,731851.268230,2007
4.000000,5,NaN,2007
4.000000,5,732657.813398,2007
4.000000,5,732965.362605,2007
4.000000,5,733286.925762,2008
4.000000,5,733692.811088,2009
4.000000,5,734115.575857,2010
4.000000,6,731182.668032,2007
4.000000,6,NaN,2007
4.000000,6,731907.916850,2007
4.000000,6,732230.822468,2007
4.000000,6,732716.511014,2007
4.000000,6,732961.498283,2007
4.000000,6,733297.569400,2008
4.000000,6,733688.650304,2009
4.000000,6,734027.904620,2010
4.000000,7,731180.812209,2007
4.000000,7,NaN,2007
4.000000,7,731899.799763,2007
4.000000,7,732243.099745,2007
4.000000,7,732686.471211,2007
4.000000,7,732957.387361,2007
4.000000,7,NaN,2008
4.000000,7,733695.000000,2009
4.000000,7,NaN,2010
4.000000,7,734402.187546,2011
4.000000,8,NaN,2007
4.000000,8,NaN,2007
4.000000,8,731901.405774,2007
4.000000,8,732286.000000,2007
4.000000,8,732731.894791,2007
4.000000,8,732955.992349,2007
4.000000,8,733320.148816,2008
4.000000,8,733700.999999,2009
4.000000,8,NaN,2010
4.000000,9,NaN,2007
4.000000,9,731503.205404,2007
4.000000,9,731902.000000,2007
4.000000,10,NaN,2007
4.000000,10,731509.897444,2007
4.000000,10,731901.340664,2007
4.000000,10,732251.000000,2007
4.000000,10,732729.219041,2007
4.000000,10,732953.699307,2007
4.000000,10,NaN,2008
4.000000,10,733780.000042,2009
4.000000,10,NaN,2010
4.000000,10,NaN,2011
4.000000,10,734771.710711,2012
4.000000,11,NaN,2007
4.000000,11,731503.215513,2007
4.000000,11,731901.394014,2007
4.000000,11,732284.000000,2007
4.000000,11,732715.693598,2007
4.000000,11,732956.509405,2007
4.000000,11,733296.164483,2008
4.000000,11,733698.999583,2009
4.000000,11,NaN,2010
4.000000,11,734404.836271,2011
4.000000,12,NaN,2007
4.000000,12,731504.371607,2007
4.000000,12,731901.457900,2007
4.000000,12,732286.000000,2007
4.000000,12,732731.900845,2007
4.000000,12,732955.988049,2007
4.000000,13,NaN,2007
4.000000,13,NaN,2007
4.000000,13,731899.004535,2007
4.000000,13,732252.000000,2007
4.000000,13,732726.141364,2007
4.000000,13,732960.927921,2007
4.000000,13,733325.736333,2008
4.000000,13,733698.129871,2009
4.000000,13,734091.385554,2010
4.000000,14,NaN,2007
4.000000,14,NaN,2007
4.000000,14,731899.000122,2007
4.000000,14,732252.000000,2007
4.000000,14,732726.596966,2007
4.000000,14,732960.000000,2007
4.000000,14,733325.748866,2008
4.000000,14,733698.000000,2009
4.000000,14,NaN,2010
4.000000,15,NaN,2007
4.000000,15,NaN,2007
4.000000,15,731903.250076,2007
4.000000,15,732185.796938,2007
4.000000,15,732680.160445,2007
4.000000,15,732961.674102,2007
4.000000,15,733318.982472,2008
4.000000,15,733696.268570,2009
4.000000,15,NaN,2010
4.000000,15,734407.682117,2011
4.000000,15,734878.000002,2012
4.000000,16,NaN,2007
4.000000,16,NaN,2007
4.000000,16,731899.000000,2007
4.000000,16,732252.000000,2007
4.000000,16,732681.445274,2007
4.000000,16,732953.082970,2007
4.000000,16,733325.807474,2008
4.000000,16,733697.000000,2009
4.000000,16,734092.000002,2010
4.000000,16,734407.680557,2011
4.000000,16,734879.999803,2012
4.000000,17,NaN,2007
4.000000,17,NaN,2007
4.000000,17,731899.000083,2007
4.000000,17,732252.000000,2007
4.000000,17,732725.567389,2007
4.000000,17,732954.499216,2007
4.000000,17,733325.743040,2008
4.000000,17,733696.895185,2009
4.000000,18,731171.425753,2007
4.000000,18,731460.608659,2007
4.000000,18,731850.338680,2007
4.000000,18,732211.122866,2007
4.000000,18,732537.687568,2007
4.000000,18,732948.642634,2007
4.000000,18,NaN,2008
4.000000,18,733693.577988,2009
4.000000,18,734023.628009,2010
10.000000,1,732958.102399,2007
10.000000,1,733324.059436,2008
10.000000,1,733701.000000,2009
10.000000,1,734095.000000,2010
10.000000,1,734404.616046,2011
10.000000,1,734769.537139,2012
