depth,sid,value,WY
2.500000,19,732904.750307,2007
2.500000,19,733312.212868,2008
2.500000,19,733784.029051,2009
2.500000,19,734036.126185,2010
2.500000,19,NaN,2011
2.500000,19,734766.513688,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736629.709571,2017
2.500000,19,737080.999993,2018
2.500000,19,737431.573442,2019
2.500000,20,733010.171700,2007
2.500000,20,733288.000000,2008
2.500000,20,733663.826648,2009
2.500000,20,734034.450311,2010
2.500000,20,734414.634949,2011
2.500000,20,734761.954967,2012
2.500000,20,735140.581148,2013
2.500000,20,735656.675202,2014
2.500000,20,NaN,2015
2.500000,20,736269.892947,2016
2.500000,20,736645.239125,2017
2.500000,20,737053.097533,2018
2.500000,20,737327.466282,2019
2.500000,23,732950.000000,2007
2.500000,23,733304.828383,2008
2.500000,23,733703.999901,2009
2.500000,23,734231.371996,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,736665.746772,2017
2.500000,23,NaN,2018
2.500000,24,732912.705919,2007
2.500000,24,733460.362150,2007
2.500000,24,733699.461835,2008
2.500000,24,734050.271454,2009
2.500000,24,734493.584568,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,737358.000000,2018
2.500000,26,732947.943492,2007
2.500000,26,733300.344251,2007
2.500000,26,733701.000000,2008
2.500000,26,NaN,2009
2.500000,27,732908.385644,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,734029.890738,2009
2.500000,27,734469.819471,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735842.390680,2014
2.500000,27,NaN,2015
2.500000,27,736731.284969,2016
2.500000,27,737083.454024,2017
2.500000,27,737427.000000,2018
2.500000,28,732932.508806,2007
2.500000,28,733288.283284,2007
2.500000,28,NaN,2008
2.500000,28,734004.105770,2009
2.500000,28,NaN,2010
2.500000,28,734769.751877,2011
2.500000,28,735146.387967,2012
2.500000,28,735424.479565,2013
2.500000,28,735796.944489,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,733778.636491,2008
2.500000,30,734020.655300,2009
2.500000,30,NaN,2010
2.500000,30,734757.547334,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,735814.502228,2014
2.500000,30,NaN,2015
2.500000,30,736638.841632,2016
2.500000,30,NaN,2017
2.500000,30,NaN,2018
2.500000,31,732969.423335,2007
2.500000,31,733314.435700,2008
2.500000,31,733780.686656,2009
2.500000,32,732931.362620,2007
2.500000,32,733270.484736,2007
2.500000,32,733777.520418,2008
2.500000,32,NaN,2009
2.500000,32,734558.500541,2010
2.500000,32,734749.401761,2011
2.500000,32,735216.597445,2012
2.500000,32,NaN,2013
2.500000,32,735812.415888,2014
2.500000,32,NaN,2015
2.500000,32,736626.209016,2016
2.500000,32,737125.985432,2017
2.500000,32,737429.000000,2018
2.500000,34,733008.294295,2007
2.500000,34,733282.706801,2008
2.500000,34,733693.326162,2009
2.500000,34,NaN,2010
2.500000,34,NaN,2011
2.500000,34,NaN,2012
2.500000,34,735135.552872,2013
2.500000,34,NaN,2014
2.500000,34,NaN,2015
2.500000,34,NaN,2016
2.500000,34,736629.510029,2017
2.500000,34,737082.047137,2018
2.500000,34,737398.301721,2019
2.500000,35,NaN,2007
2.500000,35,733269.301073,2008
2.500000,35,733771.437921,2009
2.500000,35,734143.545069,2010
2.500000,35,NaN,2011
2.500000,35,734841.457034,2012
2.500000,35,735120.369991,2013
2.500000,35,735476.499024,2014
2.500000,35,735816.330670,2015
2.500000,35,NaN,2016
2.500000,35,736699.318243,2017
2.500000,35,737107.126562,2018
2.500000,35,737277.219087,2019
2.500000,37,NaN,2007
2.500000,37,733282.273557,2008
2.500000,37,733779.965448,2009
2.500000,37,734082.971251,2010
2.500000,37,734408.177799,2011
