depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,NaN,2008
2.500000,19,-143.000000,2009
2.500000,19,NaN,2010
2.500000,19,-210.000000,2011
2.500000,19,NaN,2012
2.500000,19,-167.000000,2013
2.500000,19,-157.000000,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,-131.000000,2017
2.500000,19,NaN,2018
2.500000,19,-120.000000,2019
2.500000,20,NaN,2007
2.500000,20,NaN,2008
2.500000,20,-143.000000,2009
2.500000,20,NaN,2010
2.500000,20,NaN,2011
2.500000,20,NaN,2012
2.500000,20,-163.000000,2013
2.500000,20,-91.000000,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,-147.000000,2017
2.500000,20,NaN,2018
2.500000,20,-115.000000,2019
2.500000,23,NaN,2007
2.500000,23,NaN,2008
2.500000,23,-143.000000,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,-234.000000,2013
2.500000,23,NaN,2014
2.500000,23,-213.000000,2015
2.500000,23,-234.000000,2016
2.500000,23,-234.000000,2017
2.500000,23,-164.000000,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,NaN,2009
2.500000,24,190.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,111.000000,2013
2.500000,24,105.000000,2014
2.500000,24,113.000000,2015
2.500000,24,107.000000,2016
2.500000,24,NaN,2017
2.500000,24,259.000000,2018
2.500000,26,NaN,2007
2.500000,26,NaN,2007
2.500000,26,222.000000,2008
2.500000,26,NaN,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,221.000000,2008
2.500000,27,NaN,2009
2.500000,27,189.000000,2010
2.500000,27,NaN,2011
2.500000,27,117.000000,2012
2.500000,27,117.000000,2013
2.500000,27,184.000000,2014
2.500000,27,NaN,2015
2.500000,27,243.000000,2016
2.500000,27,213.000000,2017
2.500000,27,280.000000,2018
2.500000,28,NaN,2007
2.500000,28,NaN,2007
2.500000,28,NaN,2008
2.500000,28,NaN,2009
2.500000,28,166.000000,2010
2.500000,28,NaN,2011
