depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,NaN,2008
2.500000,19,-41.000000,2009
2.500000,19,-161.000000,2010
2.500000,19,-183.000000,2011
2.500000,19,NaN,2012
2.500000,19,-65.000000,2013
2.500000,19,-155.000000,2014
2.500000,19,-234.000000,2015
2.500000,19,NaN,2016
2.500000,19,-155.000000,2017
2.500000,19,NaN,2018
2.500000,19,-101.000000,2019
2.500000,20,NaN,2007
2.500000,20,NaN,2008
2.500000,20,-153.000000,2009
2.500000,20,-52.000000,2010
2.500000,20,-119.000000,2011
2.500000,20,NaN,2012
2.500000,20,-193.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,-94.000000,2017
2.500000,20,NaN,2018
2.500000,20,-53.000000,2019
2.500000,23,-63.000000,2007
2.500000,23,-155.000000,2008
2.500000,23,-70.000000,2009
2.500000,23,-96.000000,2010
2.500000,23,NaN,2011
2.500000,23,-223.000000,2012
2.500000,23,-223.000000,2013
2.500000,23,-223.000000,2014
2.500000,23,-223.000000,2015
2.500000,23,-223.000000,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,NaN,2009
2.500000,24,149.000000,2010
2.500000,24,NaN,2011
2.500000,24,119.000000,2012
2.500000,24,118.000000,2013
2.500000,24,117.000000,2014
2.500000,24,119.000000,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,149.000000,2018
2.500000,26,NaN,2007
2.500000,26,145.000000,2007
2.500000,26,228.000000,2008
2.500000,26,253.000000,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,200.000000,2008
2.500000,27,307.000000,2009
2.500000,27,185.000000,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,162.000000,2014
2.500000,27,184.000000,2015
2.500000,27,277.000000,2016
2.500000,27,213.000000,2017
2.500000,27,281.000000,2018
2.500000,28,NaN,2007
2.500000,28,188.000000,2007
2.500000,28,NaN,2008
2.500000,28,234.000000,2009
2.500000,28,190.000000,2010
