depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,NaN,2008
2.500000,19,733460.000000,2009
2.500000,19,NaN,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,734896.000000,2013
2.500000,19,735271.000000,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736392.000000,2017
2.500000,19,NaN,2018
2.500000,19,737133.000000,2019
2.500000,20,NaN,2007
2.500000,20,NaN,2008
2.500000,20,733460.000000,2009
2.500000,20,NaN,2010
2.500000,20,NaN,2011
2.500000,20,NaN,2012
2.500000,20,734900.000000,2013
2.500000,20,735337.000000,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,736376.000000,2017
2.500000,20,NaN,2018
2.500000,20,737138.000000,2019
2.500000,23,NaN,2007
2.500000,23,NaN,2008
2.500000,23,733460.000000,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,NaN,2009
2.500000,24,734158.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,735533.000000,2014
2.500000,24,735906.000000,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,NaN,2007
2.500000,26,NaN,2007
2.500000,26,733460.000000,2008
2.500000,26,NaN,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,733459.000000,2008
2.500000,27,NaN,2009
2.500000,27,734157.000000,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735612.000000,2014
2.500000,27,NaN,2015
2.500000,27,736401.000000,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,NaN,2007
2.500000,28,NaN,2008
2.500000,28,NaN,2009
2.500000,28,734134.000000,2010
2.500000,28,NaN,2011
2.500000,28,NaN,2012
