depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,NaN,2008
2.500000,19,733562.000000,2009
2.500000,19,733807.000000,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736368.000000,2017
2.500000,19,NaN,2018
2.500000,19,737152.000000,2019
2.500000,20,NaN,2007
2.500000,20,NaN,2008
2.500000,20,733450.000000,2009
2.500000,20,733916.000000,2010
2.500000,20,734214.000000,2011
2.500000,20,NaN,2012
2.500000,20,734870.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,736429.000000,2017
2.500000,20,NaN,2018
2.500000,20,737200.000000,2019
2.500000,23,732810.000000,2007
2.500000,23,733083.000000,2008
2.500000,23,733533.000000,2009
2.500000,23,733872.000000,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,NaN,2009
2.500000,24,734117.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,737037.000000,2018
2.500000,26,NaN,2007
2.500000,26,733018.000000,2007
2.500000,26,733466.000000,2008
2.500000,26,NaN,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,733910.000000,2009
2.500000,27,734153.000000,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735590.000000,2014
2.500000,27,NaN,2015
2.500000,27,736435.000000,2016
2.500000,27,736736.000000,2017
2.500000,27,737169.000000,2018
2.500000,28,NaN,2007
2.500000,28,733061.000000,2007
2.500000,28,NaN,2008
2.500000,28,733837.000000,2009
2.500000,28,NaN,2010
2.500000,28,NaN,2011
