depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,-231.263876,2008
2.500000,19,-70.525079,2009
2.500000,19,-149.976208,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,-69.504742,2013
2.500000,19,-156.005973,2014
2.500000,19,-148.867002,2015
2.500000,19,NaN,2016
2.500000,19,-111.553286,2017
2.500000,19,-145.361340,2018
2.500000,19,-61.000000,2019
2.500000,20,NaN,2007
2.500000,20,-168.790033,2008
2.500000,20,-95.381032,2009
2.500000,20,-146.543283,2010
2.500000,20,-72.000000,2011
2.500000,20,NaN,2012
2.500000,20,-155.000000,2013
2.500000,20,-198.999996,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,-97.709458,2017
2.500000,20,-145.980466,2018
2.500000,20,-79.092916,2019
2.500000,23,-17.832402,2007
2.500000,23,-167.018673,2008
2.500000,23,-73.780233,2009
2.500000,23,-101.100679,2010
2.500000,23,NaN,2011
2.500000,23,-172.739690,2012
2.500000,23,-172.739690,2013
2.500000,23,-172.739690,2014
2.500000,23,-172.739690,2015
2.500000,23,-172.739690,2016
2.500000,23,NaN,2017
2.500000,23,-134.101540,2018
2.500000,24,NaN,2007
2.500000,24,193.383101,2007
2.500000,24,NaN,2008
2.500000,24,249.999884,2009
2.500000,24,187.000000,2010
2.500000,24,217.462552,2011
2.500000,24,169.259887,2012
2.500000,24,168.260933,2013
2.500000,24,NaN,2014
2.500000,24,169.259823,2015
2.500000,24,NaN,2016
2.500000,24,119.706424,2017
2.500000,24,273.594285,2018
2.500000,26,NaN,2007
2.500000,26,145.000000,2007
2.500000,26,259.817728,2008
2.500000,26,258.000000,2009
2.500000,27,NaN,2007
2.500000,27,191.000028,2007
2.500000,27,267.362958,2008
2.500000,27,300.816395,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,193.606058,2014
2.500000,27,233.389050,2015
2.500000,27,274.000000,2016
2.500000,27,265.961083,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,188.000526,2007
2.500000,28,120.527318,2008
2.500000,28,248.668521,2009
2.500000,28,NaN,2010
2.500000,28,NaN,2011
2.500000,28,204.681708,2012
2.500000,28,233.981206,2013
2.500000,28,231.520825,2014
2.500000,28,258.329335,2015
2.500000,30,NaN,2007
2.500000,30,183.000079,2007
2.500000,30,305.020082,2008
2.500000,30,260.400597,2009
2.500000,30,180.003415,2010
2.500000,30,NaN,2011
2.500000,30,204.999999,2012
2.500000,30,NaN,2013
2.500000,30,NaN,2014
2.500000,30,NaN,2015
2.500000,30,263.776686,2016
2.500000,30,264.883740,2017
2.500000,30,NaN,2018
2.500000,31,NaN,2007
2.500000,31,-113.446108,2008
2.500000,31,-97.126210,2009
2.500000,32,NaN,2007
2.500000,32,200.891993,2007
2.500000,32,258.000716,2008
2.500000,32,260.393002,2009
2.500000,32,267.897220,2010
2.500000,32,NaN,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,199.271105,2014
2.500000,32,NaN,2015
2.500000,32,263.030137,2016
