depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,733001.990412,2008
2.500000,19,733507.000000,2009
2.500000,19,733795.167895,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,734884.000000,2013
2.500000,19,735296.322967,2014
2.500000,19,735669.238717,2015
2.500000,19,NaN,2016
2.500000,19,736377.999940,2017
2.500000,19,736750.413047,2018
2.500000,19,737153.020045,2019
2.500000,20,NaN,2007
2.500000,20,733059.000001,2008
2.500000,20,733460.007710,2009
2.500000,20,733794.999971,2010
2.500000,20,734136.002127,2011
2.500000,20,NaN,2012
2.500000,20,734899.813867,2013
2.500000,20,735255.999956,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,736408.662925,2017
2.500000,20,736747.379561,2018
2.500000,20,737144.999963,2019
2.500000,23,NaN,2007
2.500000,23,733100.860958,2008
2.500000,23,733507.000000,2009
2.500000,23,733795.888895,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,NaN,2007
2.500000,24,NaN,2008
2.500000,24,733794.000010,2009
2.500000,24,734178.994478,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,735583.259025,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,NaN,2007
2.500000,26,733000.782280,2007
2.500000,26,733460.000000,2008
2.500000,26,733812.355691,2009
2.500000,27,NaN,2007
2.500000,27,733058.000031,2007
2.500000,27,733508.000000,2008
2.500000,27,733862.000364,2009
2.500000,27,734154.572474,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735667.000000,2014
2.500000,27,NaN,2015
2.500000,27,736415.194536,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,733019.058422,2007
2.500000,28,733371.841671,2008
2.500000,28,733824.254982,2009
2.500000,28,734134.143726,2010
2.500000,28,NaN,2011
2.500000,28,734900.000000,2012
2.500000,28,735247.520594,2013
2.500000,28,735624.000015,2014
2.500000,28,736048.598014,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,733509.000000,2008
2.500000,30,733825.474801,2009
2.500000,30,734144.776377,2010
2.500000,30,NaN,2011
2.500000,30,734903.657162,2012
2.500000,30,NaN,2013
2.500000,30,NaN,2014
2.500000,30,NaN,2015
2.500000,30,736415.990954,2016
2.500000,30,736787.000000,2017
2.500000,30,737019.657292,2018
2.500000,31,NaN,2007
2.500000,31,733099.637728,2007
2.500000,31,733507.653250,2008
2.500000,32,NaN,2007
2.500000,32,733100.744136,2007
2.500000,32,733504.943834,2008
2.500000,32,733825.297652,2009
2.500000,32,734133.999935,2010
2.500000,32,NaN,2011
2.500000,32,734907.382840,2012
2.500000,32,NaN,2013
2.500000,32,735627.000190,2014
2.500000,32,NaN,2015
2.500000,32,736412.141347,2016
2.500000,32,NaN,2017
2.500000,32,NaN,2018
2.500000,34,NaN,2007
2.500000,34,733057.999475,2008
2.500000,34,733505.093517,2009
2.500000,34,733866.870080,2010
2.500000,34,734144.859258,2011
2.500000,34,734519.000000,2012
2.500000,34,734899.848779,2013
2.500000,34,735295.790546,2014
2.500000,34,735624.000000,2015
2.500000,34,NaN,2016
2.500000,34,736412.027320,2017
2.500000,34,NaN,2018
2.500000,34,NaN,2019
2.500000,35,NaN,2007
2.500000,35,733058.000103,2008
2.500000,35,733502.221912,2009
2.500000,35,733801.999994,2010
2.500000,35,734134.000009,2011
2.500000,35,734519.385465,2012
2.500000,35,734900.000000,2013
2.500000,35,735344.190744,2014
2.500000,35,735627.000004,2015
2.500000,35,NaN,2016
2.500000,35,736409.741261,2017
2.500000,35,736749.106726,2018
2.500000,35,NaN,2019
2.500000,37,NaN,2007
2.500000,37,733057.999976,2007
2.500000,37,733501.754579,2008
2.500000,37,733816.999723,2009
2.500000,37,734133.999523,2010
2.500000,37,734519.753867,2011
2.500000,37,NaN,2012
2.500000,37,735249.000018,2013
2.500000,38,NaN,2007
2.500000,38,733058.810095,2007
2.500000,38,733502.808822,2008
2.500000,38,733801.861268,2009
2.500000,38,NaN,2010
2.500000,38,NaN,2011
2.500000,38,734900.000000,2012
2.500000,38,735254.999992,2013
4.000000,1,NaN,2007
4.000000,1,731212.735390,2007
4.000000,1,731589.000000,2007
4.000000,1,732016.486142,2007
4.000000,1,732341.999999,2007
4.000000,1,732743.000000,2007
4.000000,1,733127.426828,2008
4.000000,1,733506.425870,2009
4.000000,1,NaN,2010
4.000000,1,734206.528073,2011
4.000000,2,NaN,2007
4.000000,2,NaN,2007
4.000000,2,731603.386516,2007
4.000000,2,NaN,2007
4.000000,2,NaN,2007
4.000000,2,732790.218938,2007
4.000000,2,NaN,2008
4.000000,2,733545.999680,2009
4.000000,2,NaN,2010
4.000000,2,734234.844186,2011
4.000000,3,NaN,2007
4.000000,3,NaN,2007
4.000000,3,731577.000001,2007
4.000000,3,732055.000000,2007
4.000000,3,NaN,2007
4.000000,3,732797.091278,2007
4.000000,3,NaN,2008
4.000000,3,733421.617741,2009
4.000000,3,NaN,2010
4.000000,3,734246.768373,2011
4.000000,4,NaN,2007
4.000000,4,731221.000027,2007
4.000000,4,731605.877434,2007
4.000000,4,732057.999995,2007
4.000000,4,NaN,2007
4.000000,4,732810.841983,2007
4.000000,4,NaN,2008
4.000000,4,733525.999963,2009
4.000000,4,733820.812950,2010
4.000000,5,NaN,2007
4.000000,5,731330.374678,2007
4.000000,5,731598.013386,2007
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,732727.584862,2007
4.000000,5,733103.627422,2008
4.000000,5,733511.218524,2009
4.000000,5,733793.956711,2010
4.000000,6,NaN,2007
4.000000,6,NaN,2007
4.000000,6,731595.640450,2007
4.000000,6,732061.582758,2007
4.000000,6,732308.941508,2007
4.000000,6,732736.348458,2007
4.000000,6,733130.000000,2008
4.000000,6,733506.281221,2009
4.000000,6,733819.629549,2010
4.000000,7,NaN,2007
4.000000,7,NaN,2007
4.000000,7,731605.840539,2007
4.000000,7,732060.733606,2007
4.000000,7,732312.427893,2007
4.000000,7,732746.000083,2007
4.000000,7,NaN,2008
4.000000,7,733523.587250,2009
4.000000,7,NaN,2010
4.000000,7,734133.999912,2011
4.000000,8,NaN,2007
4.000000,8,NaN,2007
4.000000,8,731589.000000,2007
4.000000,8,732050.950647,2007
4.000000,8,NaN,2007
4.000000,8,732731.999999,2007
4.000000,8,733059.000000,2008
4.000000,8,733501.000392,2009
4.000000,8,NaN,2010
4.000000,9,NaN,2007
4.000000,9,731331.201212,2007
4.000000,9,731588.999992,2007
4.000000,10,NaN,2007
4.000000,10,731220.408215,2007
4.000000,10,731588.999997,2007
4.000000,10,732034.576856,2007
4.000000,10,NaN,2007
4.000000,10,732730.000000,2007
4.000000,10,NaN,2008
4.000000,10,733375.992733,2009
4.000000,10,NaN,2010
4.000000,10,NaN,2011
4.000000,10,734617.181151,2012
4.000000,11,NaN,2007
4.000000,11,731329.474204,2007
4.000000,11,731589.187495,2007
4.000000,11,732051.135192,2007
4.000000,11,NaN,2007
4.000000,11,732731.999967,2007
4.000000,11,733059.999757,2008
4.000000,11,NaN,2009
4.000000,11,NaN,2010
4.000000,11,734231.897166,2011
4.000000,12,NaN,2007
4.000000,12,731224.743703,2007
4.000000,12,731588.982446,2007
4.000000,12,732051.018077,2007
4.000000,12,NaN,2007
4.000000,12,732731.999998,2007
4.000000,13,NaN,2007
4.000000,13,NaN,2007
4.000000,13,731607.932961,2007
4.000000,13,732037.275996,2007
4.000000,13,NaN,2007
4.000000,13,732731.999946,2007
4.000000,13,733061.000000,2008
4.000000,13,733460.000073,2009
4.000000,13,733792.992640,2010
4.000000,14,NaN,2007
4.000000,14,NaN,2007
4.000000,14,731585.049197,2007
4.000000,14,732051.782202,2007
4.000000,14,NaN,2007
4.000000,14,732731.999997,2007
4.000000,14,733004.999986,2008
4.000000,14,733459.999661,2009
4.000000,14,NaN,2010
4.000000,15,NaN,2007
4.000000,15,NaN,2007
4.000000,15,731583.998766,2007
4.000000,15,732051.936955,2007
4.000000,15,NaN,2007
4.000000,15,732731.997539,2007
4.000000,15,733025.395986,2008
4.000000,15,733499.479769,2009
4.000000,15,NaN,2010
4.000000,15,734134.000010,2011
4.000000,15,NaN,2012
4.000000,16,NaN,2007
4.000000,16,NaN,2007
4.000000,16,731584.183109,2007
4.000000,16,732052.212045,2007
4.000000,16,NaN,2007
4.000000,16,732731.999994,2007
4.000000,16,733059.000005,2008
4.000000,16,733459.959967,2009
4.000000,16,733780.494133,2010
4.000000,16,734134.000000,2011
4.000000,16,NaN,2012
4.000000,17,NaN,2007
4.000000,17,NaN,2007
4.000000,17,NaN,2007
4.000000,17,732037.386368,2007
4.000000,17,NaN,2007
4.000000,17,732732.000000,2007
4.000000,17,733059.846318,2008
4.000000,17,733459.999995,2009
4.000000,18,NaN,2007
