depth,sid,value,WY
2.500000,19,NaN,2007
2.500000,19,733006.736124,2008
2.500000,19,733532.474921,2009
2.500000,19,733818.023792,2010
2.500000,19,NaN,2011
2.500000,19,NaN,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736411.446714,2017
2.500000,19,736742.638660,2018
2.500000,19,737192.000000,2019
2.500000,20,NaN,2007
2.500000,20,733069.209967,2008
2.500000,20,733507.618968,2009
2.500000,20,733821.456717,2010
2.500000,20,734261.000000,2011
2.500000,20,NaN,2012
2.500000,20,734908.000000,2013
2.500000,20,735229.000004,2014
2.500000,20,NaN,2015
2.500000,20,NaN,2016
2.500000,20,736425.290542,2017
2.500000,20,736742.019534,2018
2.500000,20,737173.907084,2019
2.500000,23,732855.167598,2007
2.500000,23,733070.981327,2008
2.500000,23,733529.219767,2009
2.500000,23,733866.899321,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,NaN,2007
2.500000,24,733066.383101,2007
2.500000,24,NaN,2008
2.500000,24,733852.999884,2009
2.500000,24,734155.000000,2010
2.500000,24,734550.462552,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,737161.594285,2018
2.500000,26,NaN,2007
2.500000,26,733018.000000,2007
2.500000,26,733497.817728,2008
2.500000,26,NaN,2009
2.500000,27,NaN,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,733903.816395,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735621.606058,2014
2.500000,27,NaN,2015
2.500000,27,736432.000000,2016
2.500000,27,736788.961083,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,733061.000526,2007
2.500000,28,NaN,2008
2.500000,28,733851.668521,2009
2.500000,28,NaN,2010
2.500000,28,NaN,2011
2.500000,28,734902.681708,2012
2.500000,28,735296.981206,2013
2.500000,28,735659.520825,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,733543.020082,2008
2.500000,30,733863.400597,2009
2.500000,30,NaN,2010
2.500000,30,NaN,2011
2.500000,30,734902.999999,2012
2.500000,30,NaN,2013
2.500000,30,NaN,2014
2.500000,30,NaN,2015
2.500000,30,736421.776686,2016
2.500000,30,NaN,2017
2.500000,30,NaN,2018
2.500000,31,NaN,2007
2.500000,31,733124.553892,2008
2.500000,31,733505.873790,2009
2.500000,32,NaN,2007
2.500000,32,733073.891993,2007
2.500000,32,733496.000716,2008
2.500000,32,733863.393002,2009
2.500000,32,734235.897220,2010
2.500000,32,NaN,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,735627.271105,2014
2.500000,32,NaN,2015
2.500000,32,736421.030137,2016
2.500000,32,736751.561043,2017
2.500000,32,737161.946132,2018
2.500000,34,NaN,2007
2.500000,34,733062.791174,2008
2.500000,34,733500.000000,2009
2.500000,34,NaN,2010
2.500000,34,734180.445875,2011
2.500000,34,734608.767398,2012
2.500000,34,734909.797585,2013
2.500000,34,NaN,2014
2.500000,34,NaN,2015
2.500000,34,NaN,2016
2.500000,34,736418.931335,2017
2.500000,34,736743.029293,2018
2.500000,34,737202.680422,2019
2.500000,35,NaN,2007
2.500000,35,733135.776117,2008
2.500000,35,733503.142562,2009
2.500000,35,733868.999989,2010
2.500000,35,734232.302165,2011
2.500000,35,734627.586696,2012
2.500000,35,734900.000000,2013
2.500000,35,735269.157337,2014
2.500000,35,735663.552713,2015
2.500000,35,NaN,2016
2.500000,35,736416.729336,2017
2.500000,35,736810.717023,2018
2.500000,35,737202.647256,2019
2.500000,37,NaN,2007
2.500000,37,733134.271498,2008
2.500000,37,733502.620048,2009
2.500000,37,733856.060960,2010
2.500000,37,734240.716951,2011
2.500000,37,NaN,2012
2.500000,37,NaN,2013
2.500000,37,735252.999993,2014
2.500000,38,NaN,2007
2.500000,38,733100.725993,2007
2.500000,38,733492.304356,2008
2.500000,38,733868.205107,2009
2.500000,38,734243.531562,2010
2.500000,38,NaN,2011
2.500000,38,734898.576966,2012
2.500000,38,735344.690612,2013
4.000000,1,NaN,2007
4.000000,1,731200.001563,2007
4.000000,1,731590.630404,2007
4.000000,1,NaN,2007
4.000000,1,NaN,2007
4.000000,1,732769.819207,2007
4.000000,1,733101.876263,2008
4.000000,1,733538.998492,2009
4.000000,1,733848.770976,2010
4.000000,1,NaN,2011
4.000000,2,NaN,2007
4.000000,2,731233.815433,2007
4.000000,2,731697.699912,2007
4.000000,2,732141.715593,2007
4.000000,2,732453.999999,2007
4.000000,2,732809.582922,2007
4.000000,2,733058.428798,2008
4.000000,2,733534.105523,2009
4.000000,2,733844.090986,2010
4.000000,2,734138.215060,2011
4.000000,3,NaN,2007
4.000000,3,731233.459035,2007
4.000000,3,731716.472339,2007
4.000000,3,732072.623019,2007
4.000000,3,732457.459364,2007
4.000000,3,732814.330814,2007
4.000000,3,NaN,2008
4.000000,3,NaN,2009
4.000000,3,NaN,2010
4.000000,3,734181.000087,2011
4.000000,4,NaN,2007
4.000000,4,NaN,2007
4.000000,4,731729.384029,2007
4.000000,4,732066.956521,2007
4.000000,4,732438.729813,2007
4.000000,4,732812.732199,2007
4.000000,4,NaN,2008
4.000000,4,733506.491638,2009
4.000000,4,733867.266103,2010
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,731613.399039,2007
4.000000,5,NaN,2007
4.000000,5,732451.488018,2007
4.000000,5,732776.540611,2007
4.000000,5,733141.278907,2008
4.000000,5,733516.091160,2009
4.000000,5,733870.079422,2010
4.000000,6,NaN,2007
4.000000,6,NaN,2007
4.000000,6,731665.088331,2007
4.000000,6,732078.700324,2007
4.000000,6,732451.746790,2007
4.000000,6,732822.536481,2007
4.000000,6,733127.857648,2008
4.000000,6,NaN,2009
4.000000,6,NaN,2010
4.000000,7,NaN,2007
4.000000,7,NaN,2007
4.000000,7,731745.840938,2007
4.000000,7,732015.631439,2007
4.000000,7,732450.685347,2007
4.000000,7,732817.772655,2007
4.000000,7,733145.713601,2008
4.000000,7,733500.995896,2009
4.000000,7,733873.948322,2010
4.000000,7,734156.082923,2011
4.000000,8,NaN,2007
4.000000,8,731327.000008,2007
4.000000,8,731699.459612,2007
4.000000,8,732046.119741,2007
4.000000,8,732441.180342,2007
4.000000,8,732750.571913,2007
4.000000,8,733128.654621,2008
4.000000,8,733461.573742,2009
4.000000,8,733842.484654,2010
4.000000,9,NaN,2007
4.000000,9,731331.987234,2007
4.000000,9,731611.005785,2007
4.000000,10,NaN,2007
4.000000,10,731200.999562,2007
4.000000,10,731682.789464,2007
4.000000,10,732045.301291,2007
4.000000,10,732437.267601,2007
4.000000,10,732757.323906,2007
4.000000,10,NaN,2008
4.000000,10,733394.045605,2009
4.000000,10,733902.000000,2010
4.000000,10,734144.999540,2011
4.000000,10,734532.000000,2012
4.000000,11,NaN,2007
4.000000,11,731330.951365,2007
4.000000,11,731695.615019,2007
4.000000,11,732065.876456,2007
4.000000,11,732449.723674,2007
4.000000,11,732756.343612,2007
4.000000,11,NaN,2008
4.000000,11,NaN,2009
4.000000,11,733828.550554,2010
4.000000,11,734235.564868,2011
4.000000,12,NaN,2007
4.000000,12,731207.000107,2007
4.000000,12,731684.365788,2007
4.000000,12,732064.427954,2007
4.000000,12,732455.309137,2007
4.000000,12,NaN,2007
4.000000,13,NaN,2007
4.000000,13,731329.558644,2007
4.000000,13,731666.294220,2007
4.000000,13,732018.873964,2007
4.000000,13,732355.999961,2007
4.000000,13,NaN,2007
4.000000,13,733072.650404,2008
4.000000,13,733511.213515,2009
4.000000,13,733831.424235,2010
4.000000,14,NaN,2007
4.000000,14,731227.398011,2007
4.000000,14,731689.391450,2007
4.000000,14,732044.396404,2007
4.000000,14,732435.000003,2007
4.000000,14,732717.000034,2007
4.000000,14,733072.079282,2008
4.000000,14,733510.183207,2009
4.000000,14,733805.637056,2010
4.000000,15,NaN,2007
4.000000,15,731228.566209,2007
4.000000,15,731694.547181,2007
4.000000,15,732056.383247,2007
4.000000,15,732433.378131,2007
4.000000,15,732720.999983,2007
4.000000,15,733131.023347,2008
4.000000,15,733543.716735,2009
4.000000,15,733814.944076,2010
4.000000,15,734264.588657,2011
4.000000,15,NaN,2012
4.000000,16,NaN,2007
4.000000,16,731205.999062,2007
4.000000,16,731693.983325,2007
4.000000,16,732038.333854,2007
4.000000,16,732446.882476,2007
4.000000,16,732721.658907,2007
4.000000,16,733097.845764,2008
4.000000,16,733456.999995,2009
4.000000,16,733908.505468,2010
4.000000,16,734259.000000,2011
4.000000,16,NaN,2012
4.000000,17,NaN,2007
4.000000,17,731335.407262,2007
4.000000,17,731683.900398,2007
4.000000,17,732026.872608,2007
4.000000,17,732442.524133,2007
4.000000,17,732718.999871,2007
4.000000,17,733100.703759,2008
4.000000,17,733507.584046,2009
4.000000,18,NaN,2007
4.000000,18,NaN,2007
4.000000,18,731611.370583,2007
4.000000,18,732069.558527,2007
4.000000,18,732442.102667,2007
4.000000,18,732820.000000,2007
4.000000,18,733141.999999,2008
4.000000,18,733556.383218,2009
4.000000,18,733844.274304,2010
10.000000,1,NaN,2007
10.000000,1,733063.116801,2008
10.000000,1,733491.142951,2009
10.000000,1,733842.487696,2010
10.000000,1,734147.999989,2011
10.000000,1,NaN,2012
10.000000,1,734903.602766,2013
10.000000,1,735238.623362,2014
10.000000,1,735663.483940,2015
10.000000,1,NaN,2016
10.000000,1,736424.217147,2017
10.000000,1,736787.107754,2018
10.000000,1,737191.944505,2019
