depth,sid,value,WY
2.500000,19,-169.000000,2007
2.500000,19,-149.000000,2008
2.500000,19,NaN,2009
2.500000,19,-108.000000,2010
2.500000,19,NaN,2011
2.500000,19,-41.000000,2012
2.500000,19,-99.000000,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,-93.000000,2017
2.500000,19,-23.000000,2018
2.500000,19,-57.000000,2019
2.500000,20,-168.000000,2007
2.500000,20,-154.000000,2008
2.500000,20,NaN,2009
2.500000,20,-110.000000,2010
2.500000,20,-160.000000,2011
2.500000,20,-134.000000,2012
2.500000,20,-128.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,-225.000000,2016
2.500000,20,-119.000000,2017
2.500000,20,-24.000000,2018
2.500000,20,-57.000000,2019
2.500000,23,-169.000000,2007
2.500000,23,-149.000000,2008
2.500000,23,NaN,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,-233.000000,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,195.000000,2007
2.500000,24,NaN,2007
2.500000,24,150.000000,2008
2.500000,24,215.000000,2009
2.500000,24,NaN,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,192.000000,2007
2.500000,26,211.000000,2007
2.500000,26,241.000000,2008
2.500000,26,192.000000,2009
2.500000,27,195.000000,2007
2.500000,27,205.000000,2007
2.500000,27,165.000000,2008
2.500000,27,159.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,194.000000,2014
2.500000,27,NaN,2015
2.500000,27,259.000000,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,206.000000,2007
2.500000,28,352.000000,2008
2.500000,28,161.000000,2009
2.500000,28,NaN,2010
2.500000,28,213.000000,2011
2.500000,28,175.000000,2012
2.500000,28,261.000000,2013
2.500000,28,226.000000,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,176.000000,2008
2.500000,30,221.000000,2009
2.500000,30,NaN,2010
2.500000,30,223.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,227.000000,2014
2.500000,30,NaN,2015
2.500000,30,269.000000,2016
2.500000,30,225.000000,2017
2.500000,30,140.000000,2018
2.500000,31,167.000000,2007
2.500000,31,204.000000,2007
2.500000,31,175.000000,2008
2.500000,32,144.000000,2007
2.500000,32,205.000000,2007
2.500000,32,NaN,2008
2.500000,32,267.000000,2009
2.500000,32,NaN,2010
2.500000,32,272.000000,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,227.000000,2014
2.500000,32,NaN,2015
2.500000,32,261.000000,2016
2.500000,32,NaN,2017
2.500000,32,NaN,2018
2.500000,34,-219.000000,2007
2.500000,34,-206.000000,2008
2.500000,34,NaN,2009
2.500000,34,-43.000000,2010
2.500000,34,NaN,2011
2.500000,34,-137.000000,2012
2.500000,34,-164.000000,2013
2.500000,34,NaN,2014
2.500000,34,-136.000000,2015
2.500000,34,NaN,2016
2.500000,34,-104.000000,2017
2.500000,34,NaN,2018
2.500000,34,NaN,2019
2.500000,35,NaN,2007
2.500000,35,-160.000000,2008
2.500000,35,-132.000000,2009
2.500000,35,-87.000000,2010
2.500000,35,NaN,2011
2.500000,35,-194.000000,2012
2.500000,35,-128.000000,2013
2.500000,35,-117.000000,2014
2.500000,35,-125.000000,2015
2.500000,35,NaN,2016
