depth,sid,value,WY
2.500000,19,-176.000000,2007
2.500000,19,-151.000000,2008
2.500000,19,-184.000000,2009
2.500000,19,-133.000000,2010
2.500000,19,NaN,2011
2.500000,19,-162.000000,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,-99.000000,2017
2.500000,19,2.000000,2018
2.500000,19,-12.000000,2019
2.500000,20,-51.000000,2007
2.500000,20,-145.000000,2008
2.500000,20,-170.000000,2009
2.500000,20,-140.000000,2010
2.500000,20,-146.000000,2011
2.500000,20,-141.000000,2012
2.500000,20,-128.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,-232.000000,2016
2.500000,20,-88.000000,2017
2.500000,20,-23.000000,2018
2.500000,20,-198.000000,2019
2.500000,23,-167.000000,2007
2.500000,23,-149.000000,2008
2.500000,23,-136.000000,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,-20.000000,2017
2.500000,23,NaN,2018
2.500000,24,186.000000,2007
2.500000,24,NaN,2007
2.500000,24,240.000000,2008
2.500000,24,220.000000,2009
2.500000,24,244.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,266.000000,2018
2.500000,26,187.000000,2007
2.500000,26,215.000000,2007
2.500000,26,229.000000,2008
2.500000,26,NaN,2009
2.500000,27,200.000000,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,189.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,184.000000,2014
2.500000,27,NaN,2015
2.500000,27,NaN,2016
2.500000,27,354.000000,2017
2.500000,27,347.000000,2018
