depth,sid,value,WY
2.500000,19,732886.000000,2007
2.500000,19,733271.000000,2008
2.500000,19,NaN,2009
2.500000,19,734042.000000,2010
2.500000,19,NaN,2011
2.500000,19,734839.000000,2012
2.500000,19,735146.000000,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736612.000000,2017
2.500000,19,737047.000000,2018
2.500000,19,737378.000000,2019
2.500000,20,732887.000000,2007
2.500000,20,733266.000000,2008
2.500000,20,NaN,2009
2.500000,20,734040.000000,2010
2.500000,20,734355.000000,2011
2.500000,20,734746.000000,2012
2.500000,20,735117.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,736115.000000,2016
2.500000,20,736586.000000,2017
2.500000,20,737046.000000,2018
2.500000,20,737378.000000,2019
2.500000,23,732886.000000,2007
2.500000,23,733271.000000,2008
2.500000,23,NaN,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,735377.000000,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,732885.000000,2007
2.500000,24,NaN,2007
2.500000,24,733570.000000,2008
2.500000,24,734000.000000,2009
2.500000,24,NaN,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,732882.000000,2007
2.500000,26,733266.000000,2007
2.500000,26,733661.000000,2008
2.500000,26,733977.000000,2009
2.500000,27,732885.000000,2007
2.500000,27,733260.000000,2007
2.500000,27,733585.000000,2008
2.500000,27,733944.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735804.000000,2014
2.500000,27,NaN,2015
2.500000,27,736599.000000,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,733261.000000,2007
2.500000,28,733772.000000,2008
2.500000,28,733946.000000,2009
2.500000,28,NaN,2010
2.500000,28,734728.000000,2011
2.500000,28,735055.000000,2012
2.500000,28,735506.000000,2013
2.500000,28,735836.000000,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,733596.000000,2008
2.500000,30,734006.000000,2009
2.500000,30,NaN,2010
2.500000,30,734738.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,735837.000000,2014
2.500000,30,NaN,2015
2.500000,30,736609.000000,2016
2.500000,30,736930.000000,2017
2.500000,30,737210.000000,2018
2.500000,31,732857.000000,2007
2.500000,31,733259.000000,2007
2.500000,31,733595.000000,2008
2.500000,32,732834.000000,2007
2.500000,32,733260.000000,2007
2.500000,32,NaN,2008
2.500000,32,734052.000000,2009
2.500000,32,NaN,2010
2.500000,32,734787.000000,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,735837.000000,2014
2.500000,32,NaN,2015
2.500000,32,736601.000000,2016
2.500000,32,NaN,2017
2.500000,32,NaN,2018
2.500000,34,732836.000000,2007
2.500000,34,733214.000000,2008
2.500000,34,NaN,2009
2.500000,34,734107.000000,2010
2.500000,34,NaN,2011
2.500000,34,734743.000000,2012
2.500000,34,735081.000000,2013
2.500000,34,NaN,2014
2.500000,34,735839.000000,2015
2.500000,34,NaN,2016
2.500000,34,736601.000000,2017
2.500000,34,NaN,2018
2.500000,34,NaN,2019
2.500000,35,NaN,2007
2.500000,35,733260.000000,2008
2.500000,35,733653.000000,2009
2.500000,35,734063.000000,2010
2.500000,35,NaN,2011
2.500000,35,734686.000000,2012
2.500000,35,735117.000000,2013
2.500000,35,735493.000000,2014
2.500000,35,735850.000000,2015
2.500000,35,NaN,2016
2.500000,35,736604.000000,2017
2.500000,35,736927.000000,2018
2.500000,35,NaN,2019
2.500000,37,NaN,2007
2.500000,37,733258.000000,2007
2.500000,37,NaN,2008
2.500000,37,734029.000000,2009
2.500000,37,NaN,2010
2.500000,37,NaN,2011
