depth,sid,value,WY
2.500000,19,732879.000000,2007
2.500000,19,733269.000000,2008
2.500000,19,733601.000000,2009
2.500000,19,734017.000000,2010
2.500000,19,NaN,2011
2.500000,19,734718.000000,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736606.000000,2017
2.500000,19,737072.000000,2018
2.500000,19,737423.000000,2019
2.500000,20,733004.000000,2007
2.500000,20,733275.000000,2008
2.500000,20,733615.000000,2009
2.500000,20,734010.000000,2010
2.500000,20,734369.000000,2011
2.500000,20,734739.000000,2012
2.500000,20,735117.000000,2013
2.500000,20,NaN,2014
2.500000,20,NaN,2015
2.500000,20,736108.000000,2016
2.500000,20,736617.000000,2017
2.500000,20,737047.000000,2018
2.500000,20,737237.000000,2019
2.500000,23,732888.000000,2007
2.500000,23,733271.000000,2008
2.500000,23,733649.000000,2009
2.500000,23,NaN,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,736685.000000,2017
2.500000,23,NaN,2018
2.500000,24,732876.000000,2007
2.500000,24,NaN,2007
2.500000,24,733660.000000,2008
2.500000,24,734005.000000,2009
2.500000,24,734394.000000,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,737336.000000,2018
2.500000,26,732877.000000,2007
2.500000,26,733270.000000,2007
2.500000,26,733649.000000,2008
2.500000,26,NaN,2009
2.500000,27,732890.000000,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,733974.000000,2009
2.500000,27,NaN,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735794.000000,2014
2.500000,27,NaN,2015
2.500000,27,NaN,2016
2.500000,27,737059.000000,2017
2.500000,27,737417.000000,2018
2.500000,28,732916.000000,2007
2.500000,28,733247.000000,2007
2.500000,28,NaN,2008
2.500000,28,733969.000000,2009
2.500000,28,NaN,2010
2.500000,28,734788.000000,2011
2.500000,28,735110.000000,2012
2.500000,28,735465.000000,2013
2.500000,28,735778.000000,2014
2.500000,28,NaN,2015
2.500000,30,733003.000000,2007
2.500000,30,NaN,2007
2.500000,30,733766.000000,2008
2.500000,30,733973.000000,2009
2.500000,30,NaN,2010
2.500000,30,734746.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,735792.000000,2014
2.500000,30,NaN,2015
2.500000,30,736616.000000,2016
2.500000,30,NaN,2017
2.500000,30,737413.000000,2018
2.500000,31,732956.000000,2007
2.500000,31,733309.000000,2008
2.500000,31,733769.000000,2009
2.500000,32,732836.000000,2007
2.500000,32,733253.000000,2007
2.500000,32,733765.000000,2008
2.500000,32,734143.000000,2009
2.500000,32,NaN,2010
2.500000,32,734745.000000,2011
2.500000,32,NaN,2012
2.500000,32,NaN,2013
2.500000,32,735772.000000,2014
2.500000,32,NaN,2015
2.500000,32,736611.000000,2016
2.500000,32,737057.000000,2017
2.500000,32,737414.000000,2018
2.500000,34,733004.000000,2007
2.500000,34,733252.000000,2008
2.500000,34,NaN,2009
2.500000,34,NaN,2010
2.500000,34,734485.000000,2011
2.500000,34,NaN,2012
2.500000,34,NaN,2013
2.500000,34,NaN,2014
2.500000,34,NaN,2015
2.500000,34,NaN,2016
2.500000,34,736609.000000,2017
2.500000,34,737019.000000,2018
2.500000,34,737370.000000,2019
2.500000,35,NaN,2007
2.500000,35,733259.000000,2008
2.500000,35,733766.000000,2009
2.500000,35,734138.000000,2010
2.500000,35,NaN,2011
2.500000,35,734838.000000,2012
2.500000,35,735106.000000,2013
2.500000,35,735462.000000,2014
2.500000,35,735780.000000,2015
2.500000,35,NaN,2016
2.500000,35,736620.000000,2017
2.500000,35,737063.000000,2018
2.500000,35,737252.000000,2019
2.500000,37,NaN,2007
2.500000,37,733242.000000,2008
2.500000,37,733765.000000,2009
2.500000,37,733926.000000,2010
2.500000,37,734403.000000,2011
2.500000,37,NaN,2012
2.500000,37,735227.000000,2013
2.500000,37,735432.000000,2014
2.500000,38,733003.000000,2007
2.500000,38,733252.000000,2007
2.500000,38,733763.000000,2008
2.500000,38,734147.000000,2009
2.500000,38,734340.000000,2010
2.500000,38,734838.000000,2011
2.500000,38,735111.000000,2012
2.500000,38,735505.000000,2013
4.000000,1,NaN,2007
4.000000,1,731425.000000,2007
4.000000,1,NaN,2007
4.000000,1,NaN,2007
4.000000,1,732566.000000,2007
4.000000,1,732934.000000,2007
4.000000,1,733273.000000,2008
