depth,sid,value,WY
2.500000,19,-172.000000,2007
2.500000,19,-148.999901,2008
2.500000,19,-111.000000,2009
2.500000,19,-101.867207,2010
2.500000,19,NaN,2011
2.500000,19,-143.999971,2012
2.500000,19,-93.999298,2013
2.500000,19,-16.509362,2014
2.500000,19,9.999823,2015
2.500000,19,NaN,2016
2.500000,19,-91.543871,2017
2.500000,19,-29.877824,2018
2.500000,19,-6.479971,2019
2.500000,20,-171.772210,2007
2.500000,20,-154.797071,2008
2.500000,20,-123.169552,2009
2.500000,20,-99.584111,2010
2.500000,20,-128.224139,2011
2.500000,20,-91.872880,2012
2.500000,20,-127.210467,2013
2.500000,20,-82.141354,2014
2.500000,20,NaN,2015
2.500000,20,-218.504642,2016
2.500000,20,-97.110074,2017
2.500000,20,-28.993413,2018
2.500000,20,-50.000000,2019
2.500000,23,-172.000000,2007
2.500000,23,-149.000013,2008
2.500000,23,-122.372420,2009
2.500000,23,-113.828812,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,193.200246,2007
2.500000,24,NaN,2007
2.500000,24,179.999978,2008
2.500000,24,218.876725,2009
2.500000,24,284.670553,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,192.127140,2007
2.500000,26,211.381957,2007
2.500000,26,238.000000,2008
2.500000,26,252.999996,2009
2.500000,27,194.556717,2007
2.500000,27,205.000000,2007
2.500000,27,182.000000,2008
2.500000,27,218.757319,2009
2.500000,27,241.715789,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,189.452497,2014
2.500000,27,NaN,2015
2.500000,27,263.777763,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,205.042572,2007
2.500000,28,351.027211,2008
2.500000,28,218.198900,2009
2.500000,28,198.698115,2010
2.500000,28,226.157143,2011
2.500000,28,227.596072,2012
2.500000,28,252.925039,2013
2.500000,28,233.999912,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,181.231983,2008
2.500000,30,220.292811,2009
2.500000,30,242.053999,2010
2.500000,30,224.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,234.136899,2014
2.500000,30,NaN,2015
2.500000,30,268.264288,2016
2.500000,30,224.000000,2017
2.500000,30,155.172201,2018
2.500000,31,203.848666,2007
2.500000,31,204.999982,2007
2.500000,31,182.392424,2008
2.500000,32,144.049277,2007
2.500000,32,204.144993,2007
2.500000,32,185.000205,2008
2.500000,32,277.538756,2009
2.500000,32,150.999060,2010
2.500000,32,227.476117,2011
2.500000,32,264.720572,2012
2.500000,32,NaN,2013
2.500000,32,233.921711,2014
2.500000,32,NaN,2015
2.500000,32,263.791346,2016
2.500000,32,NaN,2017
2.500000,32,NaN,2018
2.500000,34,-218.999997,2007
2.500000,34,-165.844569,2008
2.500000,34,-131.999430,2009
2.500000,34,-43.594510,2010
2.500000,34,-125.420438,2011
2.500000,34,-138.001683,2012
2.500000,34,-139.351135,2013
2.500000,34,-197.866316,2014
2.500000,34,-131.000000,2015
2.500000,34,NaN,2016
2.500000,34,-102.000000,2017
2.500000,34,NaN,2018
2.500000,34,NaN,2019
2.500000,35,NaN,2007
2.500000,35,-161.000005,2008
2.500000,35,-173.455178,2009
2.500000,35,-87.997441,2010
2.500000,35,-124.999822,2011
2.500000,35,-204.851959,2012
2.500000,35,-107.935048,2013
2.500000,35,-112.781509,2014
2.500000,35,-125.790851,2015
2.500000,35,NaN,2016
2.500000,35,-98.382423,2017
2.500000,35,-144.000000,2018
2.500000,35,NaN,2019
2.500000,37,NaN,2007
2.500000,37,202.998771,2007
2.500000,37,235.474849,2008
2.500000,37,297.000000,2009
2.500000,37,235.000000,2010
2.500000,37,135.833201,2011
2.500000,37,280.000235,2012
2.500000,37,251.494592,2013
2.500000,38,NaN,2007
2.500000,38,205.000089,2007
2.500000,38,191.106999,2008
2.500000,38,370.999757,2009
2.500000,38,NaN,2010
2.500000,38,220.000002,2011
2.500000,38,230.575390,2012
2.500000,38,252.679796,2013
4.000000,1,NaN,2007
4.000000,1,-1206.999954,2007
4.000000,1,-784.865108,2007
4.000000,1,-417.759226,2007
4.000000,1,-65.013660,2007
4.000000,1,-120.563123,2007
4.000000,1,-162.999941,2008
4.000000,1,-113.897859,2009
4.000000,1,NaN,2010
4.000000,1,NaN,2011
4.000000,2,NaN,2007
4.000000,2,NaN,2007
4.000000,2,-829.593259,2007
4.000000,2,NaN,2007
4.000000,2,-177.402200,2007
4.000000,2,-140.677994,2007
4.000000,2,NaN,2008
4.000000,2,-14.304120,2009
4.000000,2,NaN,2010
4.000000,2,-22.000109,2011
4.000000,3,NaN,2007
4.000000,3,NaN,2007
4.000000,3,-831.950127,2007
4.000000,3,-486.678535,2007
4.000000,3,-174.441081,2007
4.000000,3,-138.445598,2007
4.000000,3,NaN,2008
4.000000,3,-13.566161,2009
4.000000,3,NaN,2010
4.000000,3,-124.217447,2011
4.000000,4,-1525.540685,2007
4.000000,4,-1211.759262,2007
4.000000,4,-872.000000,2007
4.000000,4,-491.110891,2007
4.000000,4,-177.596720,2007
4.000000,4,-171.215147,2007
4.000000,4,NaN,2008
4.000000,4,-180.517678,2009
4.000000,4,-153.456828,2010
4.000000,5,NaN,2007
4.000000,5,-1251.620672,2007
4.000000,5,-866.002682,2007
4.000000,5,NaN,2007
4.000000,5,-95.966454,2007
4.000000,5,-176.000000,2007
4.000000,5,-158.663707,2008
4.000000,5,-107.000000,2009
4.000000,5,-38.785694,2010
4.000000,6,-1546.000000,2007
4.000000,6,NaN,2007
4.000000,6,-867.000000,2007
4.000000,6,-466.834237,2007
4.000000,6,-130.253463,2007
4.000000,6,-168.835817,2007
4.000000,6,-158.000000,2008
4.000000,6,-105.455709,2009
4.000000,6,-148.907762,2010
4.000000,7,-1531.730980,2007
4.000000,7,NaN,2007
4.000000,7,-875.000000,2007
4.000000,7,-467.000034,2007
4.000000,7,-85.447106,2007
4.000000,7,-168.951641,2007
4.000000,7,NaN,2008
4.000000,7,-132.327919,2009
4.000000,7,NaN,2010
4.000000,7,-122.079318,2011
4.000000,8,NaN,2007
4.000000,8,NaN,2007
4.000000,8,-829.903418,2007
4.000000,8,-469.000000,2007
4.000000,8,-79.999973,2007
4.000000,8,-141.000000,2007
4.000000,8,-162.000000,2008
4.000000,8,-114.138491,2009
4.000000,8,NaN,2010
4.000000,9,NaN,2007
4.000000,9,-1206.000004,2007
4.000000,9,-828.892901,2007
4.000000,10,NaN,2007
4.000000,10,-1225.032765,2007
4.000000,10,-830.000238,2007
4.000000,10,-446.239377,2007
4.000000,10,-80.210845,2007
4.000000,10,-132.235662,2007
4.000000,10,NaN,2008
4.000000,10,-20.861713,2009
4.000000,10,NaN,2010
4.000000,10,NaN,2011
4.000000,10,-123.000286,2012
4.000000,11,NaN,2007
4.000000,11,-1206.000064,2007
4.000000,11,-829.875655,2007
4.000000,11,-448.842477,2007
4.000000,11,-74.999903,2007
4.000000,11,-141.000000,2007
4.000000,11,-166.256683,2008
4.000000,11,-117.579751,2009
4.000000,11,NaN,2010
4.000000,11,-123.624233,2011
4.000000,12,NaN,2007
4.000000,12,-1206.062112,2007
4.000000,12,-829.896651,2007
4.000000,12,-469.000000,2007
4.000000,12,-79.999951,2007
4.000000,12,-141.000000,2007
4.000000,13,NaN,2007
4.000000,13,NaN,2007
4.000000,13,-833.000000,2007
4.000000,13,-468.000002,2007
4.000000,13,-78.999520,2007
4.000000,13,-169.471539,2007
4.000000,13,-148.748635,2008
4.000000,13,-116.328917,2009
4.000000,13,-97.908147,2010
4.000000,14,NaN,2007
4.000000,14,NaN,2007
4.000000,14,-832.999995,2007
4.000000,14,-468.000009,2007
4.000000,14,-78.755515,2007
4.000000,14,-162.826141,2007
4.000000,14,-148.373625,2008
4.000000,14,-115.385978,2009
4.000000,14,NaN,2010
4.000000,15,NaN,2007
4.000000,15,NaN,2007
4.000000,15,-832.617276,2007
4.000000,15,-526.104607,2007
4.000000,15,-67.000000,2007
4.000000,15,-169.339806,2007
4.000000,15,-152.826022,2008
4.000000,15,-110.673878,2009
4.000000,15,NaN,2010
4.000000,15,-124.000225,2011
4.000000,15,-143.999841,2012
4.000000,16,NaN,2007
4.000000,16,NaN,2007
4.000000,16,-832.649990,2007
4.000000,16,-468.000002,2007
4.000000,16,-67.578920,2007
4.000000,16,-135.998965,2007
4.000000,16,-148.448978,2008
4.000000,16,-117.699154,2009
4.000000,16,-98.330308,2010
4.000000,16,-123.999588,2011
4.000000,16,-141.999930,2012
4.000000,17,NaN,2007
4.000000,17,NaN,2007
4.000000,17,-832.999912,2007
4.000000,17,-468.000003,2007
4.000000,17,-78.999803,2007
4.000000,17,-141.099262,2007
4.000000,17,-148.475719,2008
4.000000,17,-109.999706,2009
4.000000,18,-1530.435329,2007
4.000000,18,-1252.000000,2007
4.000000,18,-867.095788,2007
4.000000,18,-488.168750,2007
