depth,sid,value,WY
2.500000,19,-163.199996,2007
2.500000,19,-147.000000,2008
2.500000,19,-156.333471,2009
2.500000,19,-133.405231,2010
2.500000,19,NaN,2011
2.500000,19,-123.492703,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,-98.116791,2017
2.500000,19,0.181592,2018
2.500000,19,-12.963225,2019
2.500000,20,-52.000841,2007
2.500000,20,-158.859753,2008
2.500000,20,-172.633219,2009
2.500000,20,-139.181616,2010
2.500000,20,-117.272260,2011
2.500000,20,-142.414026,2012
2.500000,20,-129.457587,2013
2.500000,20,-99.663424,2014
2.500000,20,NaN,2015
2.500000,20,-215.251379,2016
2.500000,20,-86.032708,2017
2.500000,20,-23.634452,2018
2.500000,20,-192.000001,2019
2.500000,23,-165.875747,2007
2.500000,23,-147.000000,2008
2.500000,23,-132.999981,2009
2.500000,23,-49.353109,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,-46.000000,2017
2.500000,23,NaN,2018
2.500000,24,197.000000,2007
2.500000,24,245.138346,2007
2.500000,24,236.077780,2008
2.500000,24,223.000000,2009
2.500000,24,252.621301,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,268.526731,2018
2.500000,26,194.000000,2007
2.500000,26,218.782265,2007
2.500000,26,232.526739,2008
2.500000,26,NaN,2009
2.500000,27,199.534126,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,188.999928,2009
2.500000,27,281.612413,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,180.950472,2014
2.500000,27,NaN,2015
2.500000,27,236.857626,2016
2.500000,27,357.000000,2017
2.500000,27,311.999999,2018
2.500000,28,225.120000,2007
2.500000,28,191.570188,2007
2.500000,28,NaN,2008
2.500000,28,187.999993,2009
2.500000,28,NaN,2010
2.500000,28,228.448645,2011
2.500000,28,231.000000,2012
2.500000,28,171.745597,2013
2.500000,28,167.138995,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,345.000000,2008
2.500000,30,189.000000,2009
2.500000,30,NaN,2010
2.500000,30,229.999982,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,185.433518,2014
2.500000,30,NaN,2015
2.500000,30,272.921164,2016
2.500000,30,NaN,2017
2.500000,30,NaN,2018
2.500000,31,-100.000000,2007
2.500000,31,-112.000000,2008
2.500000,31,-17.000000,2009
2.500000,32,147.999999,2007
2.500000,32,200.627280,2007
2.500000,32,344.000000,2008
2.500000,32,NaN,2009
2.500000,32,241.109421,2010
2.500000,32,229.452391,2011
2.500000,32,314.150370,2012
2.500000,32,NaN,2013
2.500000,32,160.461817,2014
2.500000,32,NaN,2015
2.500000,32,269.907833,2016
2.500000,32,357.473356,2017
2.500000,32,317.263056,2018
2.500000,34,-52.344921,2007
2.500000,34,-164.000000,2008
2.500000,34,-110.000000,2009
2.500000,34,NaN,2010
2.500000,34,NaN,2011
2.500000,34,NaN,2012
2.500000,34,-136.000000,2013
2.500000,34,NaN,2014
2.500000,34,NaN,2015
2.500000,34,NaN,2016
2.500000,34,-96.932542,2017
2.500000,34,-33.000000,2018
2.500000,34,-51.175153,2019
2.500000,35,NaN,2007
2.500000,35,-161.000025,2008
2.500000,35,-19.828787,2009
2.500000,35,-13.212570,2010
2.500000,35,NaN,2011
