depth,sid,value,WY
2.500000,19,732883.000000,2007
2.500000,19,733271.000099,2008
2.500000,19,733674.000000,2009
2.500000,19,734048.132793,2010
2.500000,19,NaN,2011
2.500000,19,734736.000029,2012
2.500000,19,735151.000702,2013
2.500000,19,735593.490638,2014
2.500000,19,735984.999823,2015
2.500000,19,NaN,2016
2.500000,19,736613.456129,2017
2.500000,19,737040.122176,2018
2.500000,19,737428.520029,2019
2.500000,20,732883.227790,2007
2.500000,20,733265.202929,2008
2.500000,20,733661.830448,2009
2.500000,20,734050.415889,2010
2.500000,20,734386.775861,2011
2.500000,20,734788.127120,2012
2.500000,20,735117.789533,2013
2.500000,20,735527.858646,2014
2.500000,20,NaN,2015
2.500000,20,736121.495358,2016
2.500000,20,736607.889926,2017
2.500000,20,737041.006587,2018
2.500000,20,737385.000000,2019
2.500000,23,732883.000000,2007
2.500000,23,733270.999987,2008
2.500000,23,733662.627580,2009
2.500000,23,734036.171188,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,NaN,2017
2.500000,23,NaN,2018
2.500000,24,732883.200246,2007
2.500000,24,NaN,2007
2.500000,24,733599.999978,2008
2.500000,24,734003.876725,2009
2.500000,24,734434.670553,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,NaN,2018
2.500000,26,732882.127140,2007
2.500000,26,733266.381957,2007
2.500000,26,733658.000000,2008
2.500000,26,734037.999996,2009
2.500000,27,732884.556717,2007
2.500000,27,733260.000000,2007
2.500000,27,733602.000000,2008
2.500000,27,734003.757319,2009
2.500000,27,734391.715789,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735799.452497,2014
2.500000,27,NaN,2015
2.500000,27,736603.777763,2016
2.500000,27,NaN,2017
2.500000,27,NaN,2018
2.500000,28,NaN,2007
2.500000,28,733260.042572,2007
2.500000,28,733771.027211,2008
2.500000,28,734003.198900,2009
2.500000,28,734348.698115,2010
2.500000,28,734741.157143,2011
2.500000,28,735107.596072,2012
2.500000,28,735497.925039,2013
2.500000,28,735843.999912,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,733601.231983,2008
2.500000,30,734005.292811,2009
2.500000,30,734392.053999,2010
2.500000,30,734739.000000,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,735844.136899,2014
2.500000,30,NaN,2015
2.500000,30,736608.264288,2016
2.500000,30,736929.000000,2017
2.500000,30,737225.172201,2018
2.500000,31,732893.848666,2007
2.500000,31,733259.999982,2007
2.500000,31,733602.392424,2008
2.500000,32,732834.049277,2007
2.500000,32,733259.144993,2007
2.500000,32,733605.000205,2008
2.500000,32,734062.538756,2009
