depth,sid,value,WY
2.500000,19,732891.800004,2007
2.500000,19,733273.000000,2008
2.500000,19,733628.666529,2009
2.500000,19,734016.594769,2010
2.500000,19,NaN,2011
2.500000,19,734756.507297,2012
2.500000,19,NaN,2013
2.500000,19,NaN,2014
2.500000,19,NaN,2015
2.500000,19,NaN,2016
2.500000,19,736606.883209,2017
2.500000,19,737070.181592,2018
2.500000,19,737422.036775,2019
2.500000,20,733002.999159,2007
2.500000,20,733261.140247,2008
2.500000,20,733612.366781,2009
2.500000,20,734010.818384,2010
2.500000,20,734397.727740,2011
2.500000,20,734737.585974,2012
2.500000,20,735115.542413,2013
2.500000,20,735510.336576,2014
2.500000,20,NaN,2015
2.500000,20,736124.748621,2016
2.500000,20,736618.967292,2017
2.500000,20,737046.365548,2018
2.500000,20,737242.999999,2019
2.500000,23,732889.124253,2007
2.500000,23,733273.000000,2008
2.500000,23,733652.000019,2009
2.500000,23,734100.646891,2010
2.500000,23,NaN,2011
2.500000,23,NaN,2012
2.500000,23,NaN,2013
2.500000,23,NaN,2014
2.500000,23,NaN,2015
2.500000,23,NaN,2016
2.500000,23,736659.000000,2017
2.500000,23,NaN,2018
2.500000,24,732887.000000,2007
2.500000,24,733300.138346,2007
2.500000,24,733656.077780,2008
2.500000,24,734008.000000,2009
2.500000,24,734402.621301,2010
2.500000,24,NaN,2011
2.500000,24,NaN,2012
2.500000,24,NaN,2013
2.500000,24,NaN,2014
2.500000,24,NaN,2015
2.500000,24,NaN,2016
2.500000,24,NaN,2017
2.500000,24,737338.526731,2018
2.500000,26,732884.000000,2007
2.500000,26,733273.782265,2007
2.500000,26,733652.526739,2008
2.500000,26,NaN,2009
2.500000,27,732889.534126,2007
2.500000,27,NaN,2007
2.500000,27,NaN,2008
2.500000,27,733973.999928,2009
2.500000,27,734431.612413,2010
2.500000,27,NaN,2011
2.500000,27,NaN,2012
2.500000,27,NaN,2013
2.500000,27,735790.950472,2014
2.500000,27,NaN,2015
2.500000,27,736576.857626,2016
2.500000,27,737062.000000,2017
2.500000,27,737381.999999,2018
2.500000,28,732915.120000,2007
2.500000,28,733246.570188,2007
2.500000,28,NaN,2008
2.500000,28,733972.999993,2009
2.500000,28,NaN,2010
2.500000,28,734743.448645,2011
2.500000,28,735111.000000,2012
2.500000,28,735416.745597,2013
2.500000,28,735777.138995,2014
2.500000,28,NaN,2015
2.500000,30,NaN,2007
2.500000,30,NaN,2007
2.500000,30,733765.000000,2008
2.500000,30,733974.000000,2009
2.500000,30,NaN,2010
2.500000,30,734744.999982,2011
2.500000,30,NaN,2012
2.500000,30,NaN,2013
2.500000,30,735795.433518,2014
2.500000,30,NaN,2015
2.500000,30,736612.921164,2016
2.500000,30,NaN,2017
2.500000,30,NaN,2018
2.500000,31,732955.000000,2007
2.500000,31,733308.000000,2008
2.500000,31,733768.000000,2009
2.500000,32,732837.999999,2007
2.500000,32,733255.627280,2007
2.500000,32,733764.000000,2008
2.500000,32,NaN,2009
2.500000,32,734391.109421,2010
2.500000,32,734744.452391,2011
2.500000,32,735194.150370,2012
2.500000,32,NaN,2013
2.500000,32,735770.461817,2014
2.500000,32,NaN,2015
2.500000,32,736609.907833,2016
2.500000,32,737062.473356,2017
2.500000,32,737387.263056,2018
2.500000,34,733002.655079,2007
2.500000,34,733256.000000,2008
2.500000,34,733675.000000,2009
2.500000,34,NaN,2010
2.500000,34,NaN,2011
2.500000,34,NaN,2012
2.500000,34,735109.000000,2013
2.500000,34,NaN,2014
2.500000,34,NaN,2015
2.500000,34,NaN,2016
2.500000,34,736608.067458,2017
2.500000,34,737037.000000,2018
2.500000,34,737383.824847,2019
2.500000,35,NaN,2007
2.500000,35,733258.999975,2008
2.500000,35,733765.171213,2009
2.500000,35,734136.787430,2010
2.500000,35,NaN,2011
2.500000,35,734836.649749,2012
2.500000,35,735106.000000,2013
2.500000,35,735462.000000,2014
2.500000,35,735779.000002,2015
2.500000,35,NaN,2016
2.500000,35,736624.158466,2017
2.500000,35,737062.089134,2018
2.500000,35,737251.528092,2019
2.500000,37,NaN,2007
2.500000,37,733238.718448,2008
2.500000,37,733763.517845,2009
2.500000,37,733953.309492,2010
2.500000,37,734402.470437,2011
2.500000,37,NaN,2012
2.500000,37,735205.000000,2013
2.500000,37,735457.792110,2014
2.500000,38,733001.896593,2007
2.500000,38,733252.285055,2007
2.500000,38,733761.932291,2008
2.500000,38,734154.654759,2009
2.500000,38,734352.012613,2010
2.500000,38,734790.228712,2011
2.500000,38,735110.999984,2012
2.500000,38,735503.375078,2013
4.000000,1,NaN,2007
4.000000,1,731439.064345,2007
4.000000,1,731824.484549,2007
4.000000,1,NaN,2007
4.000000,1,732587.019328,2007
4.000000,1,732934.000000,2007
4.000000,1,733275.529245,2008
4.000000,1,733676.102201,2009
4.000000,1,734061.000000,2010
4.000000,1,734373.557871,2011
4.000000,2,731138.909795,2007
4.000000,2,731487.552427,2007
4.000000,2,731859.097689,2007
4.000000,2,732228.538187,2007
4.000000,2,732535.759163,2007
4.000000,2,732929.474398,2007
4.000000,2,733237.456430,2008
4.000000,2,733800.326319,2009
4.000000,2,734053.658742,2010
4.000000,2,734397.441355,2011
4.000000,3,NaN,2007
4.000000,3,731432.986152,2007
4.000000,3,731858.241054,2007
4.000000,3,732204.060131,2007
4.000000,3,732585.000085,2007
4.000000,3,732886.873353,2007
4.000000,3,NaN,2008
4.000000,3,733769.000177,2009
4.000000,3,NaN,2010
4.000000,3,734391.000000,2011
4.000000,4,731111.053588,2007
4.000000,4,NaN,2007
4.000000,4,731824.387451,2007
4.000000,4,732190.474791,2007
4.000000,4,732572.000000,2007
4.000000,4,732894.013105,2007
4.000000,4,NaN,2008
4.000000,4,733770.695831,2009
4.000000,4,733985.820283,2010
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,731814.000222,2007
4.000000,5,NaN,2007
4.000000,5,NaN,2007
4.000000,5,732889.957269,2007
4.000000,5,733438.582504,2008
4.000000,5,733762.000000,2009
4.000000,5,NaN,2010
4.000000,6,731161.000000,2007
4.000000,6,NaN,2007
4.000000,6,731822.000000,2007
4.000000,6,732362.999695,2007
4.000000,6,732560.422320,2007
4.000000,6,732891.999999,2007
4.000000,6,733449.457247,2008
4.000000,6,733776.108346,2009
4.000000,6,NaN,2010
4.000000,7,NaN,2007
4.000000,7,NaN,2007
4.000000,7,731824.000014,2007
4.000000,7,732195.470605,2007
4.000000,7,732544.761215,2007
4.000000,7,732893.732077,2007
4.000000,7,733255.717806,2008
4.000000,7,733719.959014,2009
4.000000,7,733970.427708,2010
4.000000,7,NaN,2011
4.000000,8,NaN,2007
4.000000,8,731437.505503,2007
4.000000,8,731839.000014,2007
4.000000,8,732201.106128,2007
4.000000,8,732585.000000,2007
4.000000,8,732919.469852,2007
4.000000,8,733261.000000,2008
4.000000,8,733635.001083,2009
4.000000,8,734051.586609,2010
4.000000,9,NaN,2007
4.000000,9,731441.772347,2007
4.000000,9,731858.575036,2007
4.000000,10,NaN,2007
4.000000,10,731407.998669,2007
4.000000,10,731855.378458,2007
4.000000,10,732222.365910,2007
4.000000,10,732583.158725,2007
4.000000,10,732892.011392,2007
4.000000,10,NaN,2008
4.000000,10,733686.609486,2009
4.000000,10,734064.000000,2010
4.000000,10,734376.000042,2011
4.000000,10,734786.589038,2012
4.000000,11,NaN,2007
4.000000,11,731405.999999,2007
4.000000,11,731972.000000,2007
4.000000,11,732174.000206,2007
4.000000,11,732593.568874,2007
4.000000,11,732891.999458,2007
4.000000,11,NaN,2008
4.000000,11,733652.376481,2009
4.000000,11,734046.853658,2010
4.000000,11,734462.670982,2011
4.000000,12,NaN,2007
4.000000,12,731483.707962,2007
4.000000,12,731843.950335,2007
4.000000,12,732202.808414,2007
4.000000,12,732593.167343,2007
4.000000,12,732899.328859,2007
4.000000,13,NaN,2007
4.000000,13,731479.000000,2007
4.000000,13,731858.999996,2007
4.000000,13,732202.999895,2007
4.000000,13,732593.219390,2007
4.000000,13,NaN,2007
4.000000,13,733271.899388,2008
4.000000,13,733773.788397,2009
4.000000,13,734011.826106,2010
4.000000,14,NaN,2007
4.000000,14,731438.324249,2007
4.000000,14,731856.965403,2007
4.000000,14,732199.999999,2007
4.000000,14,732585.000000,2007
4.000000,14,732928.174433,2007
4.000000,14,733272.000000,2008
4.000000,14,733651.691722,2009
4.000000,14,734009.059008,2010
4.000000,15,NaN,2007
4.000000,15,731441.690744,2007
4.000000,15,731862.678649,2007
4.000000,15,732216.809522,2007
4.000000,15,732606.369719,2007
4.000000,15,732931.851619,2007
4.000000,15,733274.210993,2008
4.000000,15,733655.960114,2009
4.000000,15,734020.011118,2010
4.000000,15,734396.630892,2011
4.000000,15,734779.076422,2012
4.000000,16,NaN,2007
4.000000,16,731446.217209,2007
4.000000,16,731865.149759,2007
4.000000,16,732222.154475,2007
4.000000,16,732596.868817,2007
4.000000,16,733013.445024,2007
4.000000,16,733262.942691,2008
4.000000,16,733643.751633,2009
4.000000,16,734065.000000,2010
4.000000,16,734399.094198,2011
4.000000,16,NaN,2012
4.000000,17,NaN,2007
4.000000,17,731440.381547,2007
4.000000,17,731864.789571,2007
4.000000,17,732206.391132,2007
4.000000,17,732586.086382,2007
4.000000,17,732892.999912,2007
4.000000,17,733270.452644,2008
4.000000,17,733644.718752,2009
4.000000,18,NaN,2007
4.000000,18,NaN,2007
4.000000,18,731858.128905,2007
4.000000,18,732206.243733,2007
4.000000,18,732560.013152,2007
4.000000,18,732890.383184,2007
4.000000,18,733260.408461,2008
4.000000,18,733636.891786,2009
4.000000,18,733963.110800,2010
10.000000,1,732886.000000,2007
10.000000,1,733255.791717,2008
10.000000,1,733651.999999,2009
10.000000,1,733969.994542,2010
10.000000,1,734400.543035,2011
10.000000,1,734740.247190,2012
10.000000,1,735104.051689,2013
10.000000,1,735461.114592,2014
10.000000,1,735778.000000,2015
10.000000,1,NaN,2016
10.000000,1,736607.288686,2017
10.000000,1,737044.137969,2018
10.000000,1,737393.892864,2019
