depth,sid,value,WY
5.080000,1,NaN,NaN
5.080000,2,NaN,NaN
5.080000,2,0.164668,153
5.080000,2,0.065530,144
5.080000,2,0.172300,186
5.080000,2,NaN,NaN
5.080000,3,NaN,NaN
5.080000,3,0.196294,190
5.080000,3,NaN,NaN
5.080000,4,NaN,NaN
5.080000,4,0.151195,101
5.080000,4,0.072407,144
5.080000,4,NaN,NaN
5.080000,4,NaN,NaN
5.080000,4,NaN,NaN
5.080000,5,NaN,NaN
5.080000,9,NaN,NaN
5.080000,9,0.115071,111
5.080000,9,0.092375,250
5.080000,9,0.000007,111
5.080000,9,NaN,NaN
5.080000,10,NaN,NaN
5.080000,10,0.276162,256
5.080000,10,0.207193,187
5.080000,10,0.159462,252
5.080000,10,0.225129,251
5.080000,10,0.139726,245
5.080000,10,0.203835,257
5.080000,10,0.253677,248
5.080000,10,0.230865,187
5.080000,10,0.215204,237
5.080000,10,0.279596,250
5.080000,10,NaN,NaN
5.080000,11,NaN,NaN
5.080000,12,NaN,NaN
5.080000,13,NaN,NaN
5.080000,14,NaN,NaN
5.080000,14,0.193328,152
5.080000,14,NaN,NaN
5.080000,15,NaN,NaN
5.080000,15,NaN,NaN
5.080000,15,0.122627,105
5.080000,15,NaN,NaN
5.080000,15,0.402670,233
5.080000,15,0.179770,238
5.080000,15,0.172375,143
5.080000,15,0.110404,146
5.080000,15,NaN,NaN
5.080000,17,0.047500,106
5.080000,19,NaN,NaN
5.080000,21,NaN,NaN
5.080000,22,NaN,NaN
5.080000,24,NaN,NaN
5.080000,25,NaN,NaN
5.080000,26,NaN,NaN
5.080000,27,NaN,NaN
5.080000,28,NaN,NaN
5.080000,29,NaN,NaN
5.080000,30,NaN,NaN
5.080000,31,NaN,NaN
5.080000,31,0.262277,248
5.080000,31,0.139381,258
5.080000,31,0.398670,254
5.080000,31,0.562399,254
5.080000,31,0.430911,256
5.080000,31,0.077495,170
5.080000,31,0.132937,248
5.080000,31,NaN,NaN
5.080000,33,NaN,NaN
5.080000,33,NaN,NaN
5.080000,35,NaN,NaN
5.080000,36,NaN,NaN
5.080000,36,0.532121,237
5.080000,36,0.241603,245
5.080000,36,0.022624,213
5.080000,36,0.010522,221
5.080000,36,NaN,NaN
5.080000,37,NaN,NaN
5.080000,38,NaN,NaN
5.080000,39,NaN,NaN
5.080000,40,NaN,NaN
5.080000,40,0.174592,253
5.080000,40,0.129873,245
5.080000,40,0.298373,189
5.080000,40,0.304805,250
5.080000,40,NaN,NaN
5.080000,41,NaN,NaN
5.080000,42,NaN,NaN
5.080000,44,NaN,NaN
5.080000,44,NaN,NaN
5.080000,46,NaN,NaN
5.080000,46,NaN,NaN
5.080000,47,NaN,NaN
5.080000,47,NaN,NaN
5.080000,47,NaN,NaN
5.080000,48,NaN,NaN
5.080000,49,NaN,NaN
5.080000,50,NaN,NaN
5.080000,51,NaN,NaN
5.080000,52,NaN,NaN
5.080000,53,NaN,NaN
5.080000,54,NaN,NaN
5.080000,54,0.176900,250
5.080000,54,0.105356,242
5.080000,54,0.190666,195
5.080000,54,0.217060,241
5.080000,54,NaN,NaN
5.080000,55,NaN,NaN
5.080000,56,NaN,NaN
5.080000,57,NaN,NaN
5.080000,58,NaN,NaN
5.080000,59,NaN,NaN
5.080000,60,NaN,NaN
5.080000,61,NaN,NaN
5.080000,62,NaN,NaN
5.080000,62,0.544095,238
5.080000,62,NaN,NaN
5.080000,62,1.106956,218
5.080000,62,0.092955,231
5.080000,62,0.200310,257
5.080000,62,0.094247,244
5.080000,62,NaN,NaN
5.080000,62,0.159233,229
5.080000,62,NaN,NaN
5.080000,63,NaN,NaN
5.080000,63,0.129128,220
5.080000,63,0.069566,145
5.080000,63,0.045443,232
5.080000,63,0.029955,147
5.080000,63,0.139971,216
5.080000,63,NaN,NaN
5.080000,65,NaN,NaN
5.080000,66,NaN,NaN
5.080000,67,NaN,NaN
5.080000,68,NaN,NaN
5.080000,68,0.033542,124
5.080000,68,0.164330,248
5.080000,68,0.231797,244
5.080000,68,0.412095,237
5.080000,68,0.030809,223
5.080000,68,NaN,NaN
5.080000,69,NaN,NaN
5.080000,69,NaN,NaN
5.080000,69,NaN,NaN
5.080000,71,NaN,NaN
5.080000,72,NaN,NaN
5.080000,76,NaN,NaN
5.080000,77,NaN,NaN
5.080000,78,NaN,NaN
5.080000,78,0.343199,187
5.080000,78,0.198155,187
5.080000,78,0.145939,193
5.080000,78,0.395491,225
5.080000,78,0.299301,204
5.080000,78,0.425450,200
5.080000,78,0.038724,202
5.080000,78,NaN,NaN
5.080000,79,NaN,NaN
5.080000,80,NaN,NaN
5.080000,81,NaN,NaN
5.080000,82,NaN,NaN
5.080000,83,NaN,NaN
5.080000,84,NaN,NaN
5.080000,84,0.067266,142
5.080000,84,0.060498,220
5.080000,84,0.071328,192
5.080000,84,NaN,NaN
5.080000,85,NaN,NaN
5.080000,86,NaN,NaN
5.080000,86,0.117760,240
5.080000,86,0.142118,184
5.080000,86,0.293191,240
5.080000,86,NaN,NaN
5.080000,87,NaN,NaN
5.080000,88,NaN,NaN
5.080000,89,NaN,NaN
5.080000,90,NaN,NaN
5.080000,90,0.280350,170
5.080000,90,0.204226,161
5.080000,90,0.050526,190
5.080000,90,0.126173,167
5.080000,90,0.301664,142
5.080000,90,0.225585,186
5.080000,90,NaN,NaN
5.080000,90,0.336180,164
5.080000,90,0.149549,201
5.080000,90,0.233463,180
5.080000,90,0.219639,158
5.080000,90,0.032710,162
5.080000,90,0.000007,142
5.080000,90,NaN,NaN
5.080000,90,NaN,NaN
5.080000,91,NaN,NaN
5.080000,91,NaN,NaN
5.080000,91,0.328389,132
5.080000,91,NaN,NaN
5.080000,91,0.269377,194
5.080000,91,NaN,NaN
