depth,sid,value,WY
5.080000,1,NaN,NaN
5.080000,1,0.190914,247
5.080000,1,NaN,NaN
5.080000,2,NaN,NaN
5.080000,2,0.341707,207
5.080000,2,0.493849,159
5.080000,2,0.410598,256
5.080000,2,NaN,NaN
5.080000,2,0.494133,242
5.080000,2,0.290492,237
5.080000,2,0.353857,200
5.080000,2,0.332790,196
5.080000,2,NaN,NaN
5.080000,2,0.325716,219
5.080000,2,0.316696,239
5.080000,2,NaN,NaN
5.080000,3,0.420621,102
5.080000,3,0.422119,209
5.080000,3,NaN,NaN
5.080000,4,NaN,NaN
5.080000,4,NaN,NaN
5.080000,4,0.073670,227
5.080000,4,NaN,NaN
5.080000,4,NaN,NaN
5.080000,4,0.459193,176
5.080000,4,0.388620,160
5.080000,4,0.295660,197
5.080000,4,0.594971,208
5.080000,4,0.016263,146
5.080000,4,NaN,NaN
5.080000,5,NaN,NaN
5.080000,5,0.104767,164
5.080000,5,0.106855,133
5.080000,5,0.214194,151
5.080000,5,NaN,NaN
5.080000,9,NaN,NaN
5.080000,9,0.287366,122
5.080000,9,0.118725,207
5.080000,9,0.000996,257
5.080000,9,NaN,NaN
5.080000,10,NaN,NaN
5.080000,10,0.636613,205
5.080000,10,0.354042,191
5.080000,10,0.623224,224
5.080000,10,0.693430,213
5.080000,10,1.032474,257
5.080000,10,NaN,NaN
5.080000,11,NaN,NaN
5.080000,11,NaN,NaN
5.080000,12,NaN,NaN
5.080000,12,NaN,NaN
5.080000,12,0.290642,136
5.080000,12,0.443621,230
5.080000,12,NaN,NaN
5.080000,13,NaN,NaN
5.080000,14,NaN,NaN
5.080000,15,NaN,NaN
5.080000,15,NaN,NaN
5.080000,15,0.302177,222
5.080000,15,NaN,NaN
5.080000,15,0.302960,213
5.080000,15,0.154189,134
5.080000,15,0.176855,137
5.080000,15,0.063895,165
5.080000,15,NaN,NaN
5.080000,17,NaN,NaN
5.080000,17,NaN,NaN
5.080000,19,NaN,NaN
5.080000,21,NaN,NaN
5.080000,22,NaN,NaN
5.080000,22,1.037155,257
5.080000,22,0.486689,216
5.080000,22,0.339232,214
5.080000,22,0.266470,184
5.080000,22,0.300258,205
5.080000,22,0.293311,232
5.080000,22,NaN,NaN
5.080000,24,NaN,NaN
5.080000,24,0.000095,247
5.080000,24,0.222629,244
5.080000,24,NaN,NaN
5.080000,24,NaN,NaN
5.080000,24,0.138499,151
5.080000,24,NaN,NaN
5.080000,25,NaN,NaN
5.080000,26,NaN,NaN
5.080000,27,NaN,NaN
5.080000,28,NaN,NaN
5.080000,28,0.210725,125
5.080000,28,0.372864,230
5.080000,28,NaN,NaN
5.080000,28,0.324884,257
5.080000,28,0.163163,196
5.080000,28,0.418797,257
5.080000,28,NaN,NaN
5.080000,29,NaN,NaN
5.080000,30,NaN,NaN
5.080000,30,0.321253,245
5.080000,30,0.089072,237
5.080000,30,NaN,NaN
5.080000,31,NaN,NaN
5.080000,33,NaN,NaN
5.080000,35,NaN,NaN
5.080000,35,0.325771,145
5.080000,35,NaN,NaN
5.080000,35,0.458561,165
5.080000,35,0.230902,109
5.080000,35,NaN,NaN
5.080000,35,NaN,NaN
5.080000,35,0.187837,111
5.080000,35,NaN,NaN
5.080000,35,0.329320,202
5.080000,35,NaN,NaN
5.080000,36,NaN,NaN
5.080000,36,0.622623,258
5.080000,36,0.715743,237
5.080000,36,NaN,NaN
5.080000,36,0.046151,139
5.080000,36,NaN,NaN
5.080000,36,0.645481,238
5.080000,36,0.476268,241
5.080000,36,NaN,NaN
5.080000,37,NaN,NaN
5.080000,37,NaN,NaN
5.080000,37,0.047247,148
5.080000,37,NaN,NaN
5.080000,37,0.130056,225
5.080000,37,0.080144,231
5.080000,37,0.080686,223
5.080000,37,0.071453,194
5.080000,37,NaN,NaN
5.080000,38,NaN,NaN
5.080000,38,0.232788,176
5.080000,38,0.113716,164
5.080000,38,NaN,NaN
5.080000,39,NaN,NaN
5.080000,39,0.180752,210
5.080000,39,0.241248,238
5.080000,39,NaN,NaN
5.080000,39,0.577981,252
5.080000,39,0.474684,214
5.080000,39,0.304521,209
5.080000,39,0.154843,204
5.080000,39,NaN,NaN
5.080000,40,NaN,NaN
5.080000,40,0.513356,227
5.080000,40,0.137490,153
5.080000,40,0.310189,180
5.080000,40,0.192705,177
5.080000,40,NaN,NaN
5.080000,41,NaN,NaN
5.080000,42,NaN,NaN
5.080000,42,0.569708,222
5.080000,42,0.200720,145
5.080000,42,0.530125,175
5.080000,42,0.412498,170
5.080000,42,NaN,NaN
5.080000,44,NaN,NaN
5.080000,44,0.257345,165
5.080000,44,0.181920,148
5.080000,44,0.320532,187
5.080000,44,0.192520,198
5.080000,44,0.148188,176
5.080000,44,NaN,NaN
5.080000,46,NaN,NaN
5.080000,47,NaN,NaN
5.080000,47,NaN,NaN
5.080000,47,NaN,NaN
5.080000,47,0.427659,245
5.080000,47,0.707723,251
5.080000,47,NaN,NaN
