depth,sid,value,WY
5.080000,1,NaN,NaN
5.080000,2,NaN,NaN
5.080000,2,0.070028,159
5.080000,2,0.073440,248
5.080000,2,0.310358,149
5.080000,2,0.120879,188
5.080000,3,0.127428,280
5.080000,3,0.000734,302
5.080000,3,0.062891,100
5.080000,4,NaN,NaN
5.080000,4,0.225157,260
5.080000,4,0.042264,295
5.080000,4,NaN,NaN
5.080000,4,0.000282,301
5.080000,4,0.302145,117
5.080000,5,0.231701,221
5.080000,9,NaN,NaN
5.080000,9,0.082672,242
5.080000,9,0.088329,205
5.080000,9,0.000006,103
5.080000,9,0.006404,131
5.080000,10,NaN,NaN
5.080000,10,0.074092,199
5.080000,10,0.369351,235
5.080000,10,0.277684,221
5.080000,10,0.135133,196
5.080000,10,0.119188,186
5.080000,10,0.087693,204
5.080000,10,0.093215,199
5.080000,10,0.230673,234
5.080000,10,0.430501,229
5.080000,10,0.262642,195
5.080000,10,0.165673,166
5.080000,11,NaN,NaN
5.080000,12,NaN,NaN
5.080000,13,0.417862,237
5.080000,14,0.040121,121
5.080000,14,0.065128,124
5.080000,14,0.071676,184
5.080000,15,NaN,NaN
5.080000,15,0.170751,225
5.080000,15,0.207978,101
5.080000,15,0.247665,138
5.080000,15,0.217582,239
5.080000,15,NaN,NaN
5.080000,15,0.101052,295
5.080000,15,0.100234,153
5.080000,15,0.102569,134
5.080000,17,0.180582,208
5.080000,19,NaN,NaN
5.080000,21,NaN,NaN
5.080000,22,NaN,NaN
5.080000,24,0.107597,241
5.080000,25,0.154269,253
5.080000,26,NaN,NaN
5.080000,27,0.193145,171
5.080000,28,NaN,NaN
5.080000,29,0.020560,111
5.080000,30,0.091733,158
5.080000,31,0.197445,165
5.080000,31,0.169914,190
5.080000,31,0.078160,188
5.080000,31,0.301585,195
5.080000,31,0.199450,199
5.080000,31,0.382318,233
5.080000,31,0.127358,252
5.080000,31,0.185740,139
5.080000,31,0.239845,136
5.080000,33,NaN,NaN
5.080000,33,0.070088,104
5.080000,35,0.022177,100
5.080000,36,0.720924,261
5.080000,36,0.263911,223
5.080000,36,0.156674,232
5.080000,36,0.004317,142
5.080000,36,0.001358,302
5.080000,36,NaN,NaN
5.080000,37,0.114749,162
5.080000,38,0.114749,162
5.080000,39,0.114749,162
5.080000,40,NaN,NaN
5.080000,40,0.059321,188
5.080000,40,0.137755,302
5.080000,40,0.485778,246
5.080000,40,0.038072,290
5.080000,40,0.793597,110
5.080000,41,NaN,NaN
5.080000,42,NaN,NaN
5.080000,44,NaN,NaN
5.080000,44,0.152714,216
5.080000,46,NaN,NaN
5.080000,46,0.061305,120
5.080000,47,NaN,NaN
5.080000,47,0.130473,217
5.080000,47,NaN,NaN
5.080000,48,NaN,NaN
5.080000,49,0.142071,263
5.080000,50,0.027847,121
5.080000,51,0.184584,210
5.080000,52,0.240199,235
5.080000,53,NaN,NaN
5.080000,54,NaN,NaN
5.080000,54,0.052794,188
5.080000,54,0.110372,227
5.080000,54,0.240637,166
5.080000,54,0.321149,224
5.080000,54,0.571366,110
5.080000,55,NaN,NaN
5.080000,56,0.082502,102
5.080000,57,NaN,NaN
5.080000,58,NaN,NaN
5.080000,59,NaN,NaN
5.080000,60,NaN,NaN
5.080000,61,NaN,NaN
5.080000,62,0.071748,190
5.080000,62,NaN,NaN
5.080000,62,0.173805,179
5.080000,62,0.412048,267
5.080000,62,0.120522,150
5.080000,62,0.247895,255
5.080000,62,NaN,NaN
5.080000,62,0.224419,184
5.080000,62,0.044295,117
5.080000,62,0.139258,197
5.080000,63,0.104238,204
5.080000,63,0.164951,177
5.080000,63,0.169691,202
5.080000,63,0.000178,302
5.080000,63,0.107412,168
5.080000,63,0.076679,109
5.080000,63,0.168318,148
5.080000,65,0.158344,203
5.080000,66,0.725677,199
5.080000,67,NaN,NaN
5.080000,68,NaN,NaN
5.080000,68,0.645133,252
5.080000,68,0.292387,182
5.080000,68,0.194200,226
5.080000,68,0.411873,256
5.080000,68,0.008370,235
5.080000,68,0.127807,295
5.080000,69,NaN,NaN
5.080000,69,0.107560,217
5.080000,69,NaN,NaN
5.080000,71,NaN,NaN
5.080000,72,NaN,NaN
5.080000,76,NaN,NaN
5.080000,77,0.095320,198
5.080000,78,NaN,NaN
5.080000,78,0.122861,249
5.080000,78,0.223308,279
5.080000,78,0.054838,199
5.080000,78,0.240671,264
5.080000,78,0.238664,175
5.080000,78,0.177222,141
5.080000,78,0.000247,199
5.080000,78,NaN,NaN
5.080000,79,0.158219,174
5.080000,80,0.117605,230
5.080000,81,NaN,NaN
5.080000,82,0.183707,211
5.080000,83,NaN,NaN
5.080000,84,NaN,NaN
5.080000,84,0.079683,273
5.080000,84,0.077095,198
5.080000,84,0.092838,250
5.080000,84,0.135814,244
5.080000,85,NaN,NaN
5.080000,86,NaN,NaN
5.080000,86,0.141911,297
5.080000,86,0.413796,260
5.080000,86,NaN,NaN
5.080000,86,0.664420,110
5.080000,87,0.067939,159
5.080000,88,NaN,NaN
5.080000,89,NaN,NaN
5.080000,90,0.077605,161
5.080000,90,0.029301,165
5.080000,90,0.045556,149
5.080000,90,0.001898,301
5.080000,90,0.052198,150
5.080000,90,0.036932,117
5.080000,90,0.098416,119
5.080000,90,0.166155,221
5.080000,90,0.031870,173
5.080000,90,0.034153,244
5.080000,90,0.097546,286
5.080000,90,0.056628,193
5.080000,90,0.000113,171
5.080000,90,0.000000,292
5.080000,90,NaN,NaN
5.080000,90,0.076885,268
5.080000,91,NaN,NaN
5.080000,91,0.190344,223
5.080000,91,0.198782,111
5.080000,91,0.304220,138
5.080000,91,0.128006,137
5.080000,91,0.178719,127
5.080000,91,0.101261,260
5.080000,91,0.129710,176
5.080000,91,0.224076,246
10.000000,1,0.044626,217
