depth,sid,value,WY
5.080000,1,0.167821,129
5.080000,1,0.095286,163
5.080000,1,NaN,NaN
5.080000,2,0.139703,134
5.080000,2,0.262717,158
5.080000,2,NaN,NaN
5.080000,2,0.103535,109
5.080000,2,NaN,NaN
5.080000,2,0.110511,228
5.080000,2,0.162596,153
5.080000,2,0.246642,193
5.080000,2,0.147111,246
5.080000,2,0.099678,154
5.080000,2,0.081443,154
5.080000,2,NaN,NaN
5.080000,2,0.232510,265
5.080000,3,1.112438,279
5.080000,3,0.002244,302
5.080000,3,0.258083,158
5.080000,4,0.344086,114
5.080000,4,NaN,NaN
5.080000,4,0.000204,297
5.080000,4,0.000092,116
5.080000,4,NaN,NaN
5.080000,4,0.626503,126
5.080000,4,0.234997,189
5.080000,4,0.616453,222
5.080000,4,0.219147,113
5.080000,4,0.810193,148
5.080000,4,0.336690,119
5.080000,5,0.915787,225
5.080000,5,0.316451,195
5.080000,5,NaN,NaN
5.080000,5,0.242738,126
5.080000,5,0.170430,114
5.080000,9,NaN,NaN
5.080000,9,0.212519,175
5.080000,9,0.030310,162
5.080000,9,NaN,NaN
5.080000,9,0.228232,294
5.080000,10,NaN,NaN
5.080000,10,0.633842,277
5.080000,10,0.367433,198
5.080000,10,0.548018,235
5.080000,10,NaN,NaN
5.080000,10,0.045267,182
5.080000,10,NaN,NaN
5.080000,11,NaN,NaN
5.080000,11,0.055146,179
5.080000,12,NaN,NaN
5.080000,12,0.249244,171
5.080000,12,0.615345,129
5.080000,12,0.991702,208
5.080000,12,0.821983,240
5.080000,13,NaN,NaN
5.080000,14,NaN,NaN
5.080000,15,NaN,NaN
5.080000,15,0.138359,238
5.080000,15,0.126847,147
5.080000,15,0.191095,132
5.080000,15,0.120118,210
5.080000,15,NaN,NaN
5.080000,15,0.092520,291
5.080000,15,NaN,NaN
5.080000,15,0.148800,148
5.080000,17,NaN,NaN
5.080000,17,0.167701,209
5.080000,19,NaN,NaN
5.080000,21,NaN,NaN
5.080000,22,NaN,NaN
5.080000,22,0.495382,247
5.080000,22,0.431882,266
5.080000,22,0.259195,256
5.080000,22,0.373075,250
5.080000,22,0.109363,171
5.080000,22,0.138967,175
5.080000,22,NaN,NaN
5.080000,24,0.003780,153
5.080000,24,NaN,NaN
5.080000,24,0.097408,252
5.080000,24,0.091615,174
5.080000,24,0.090362,246
5.080000,24,0.268644,249
5.080000,24,NaN,NaN
5.080000,25,NaN,NaN
5.080000,26,NaN,NaN
5.080000,27,0.190621,177
5.080000,28,NaN,NaN
5.080000,28,0.122109,228
5.080000,28,0.338152,265
5.080000,28,0.225839,181
5.080000,28,0.071430,165
5.080000,28,0.041422,180
5.080000,28,0.398472,256
5.080000,28,NaN,NaN
