depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,NaN,2001
5.080000,1,36.000000,2002
5.080000,1,25.000000,2003
5.080000,2,NaN,2004
5.080000,2,37.000000,2005
5.080000,2,26.000000,2006
5.080000,2,68.000000,2007
5.080000,2,NaN,2008
5.080000,2,6.000000,2009
5.080000,2,92.000000,2010
5.080000,2,1.000000,2011
5.080000,2,20.000000,2012
5.080000,2,NaN,2013
5.080000,2,5.000000,2014
5.080000,2,20.000000,2015
5.080000,2,1.000000,2016
5.080000,2,15.000000,2017
5.080000,2,48.000000,2018
5.080000,2,124.000000,2019
5.080000,3,NaN,2016
5.080000,3,32.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2005
5.080000,4,2.000000,2006
5.080000,4,28.000000,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,NaN,2011
5.080000,4,44.000000,2012
5.080000,4,47.000000,2013
5.080000,4,2.000000,2014
5.080000,4,1.000000,2015
5.080000,4,22.000000,2016
5.080000,4,NaN,2017
5.080000,5,NaN,2001
5.080000,5,8.000000,2001
5.080000,5,NaN,2002
5.080000,5,70.000000,2003
5.080000,5,NaN,2004
5.080000,5,4.000000,2005
5.080000,9,NaN,2007
5.080000,9,2.000000,2008
5.080000,9,119.000000,2009
5.080000,9,NaN,2010
5.080000,9,NaN,2011
5.080000,9,245.000000,2012
5.080000,9,NaN,2013
5.080000,9,NaN,2014
5.080000,9,57.000000,2015
5.080000,9,157.000000,2016
5.080000,9,NaN,2017
5.080000,9,1.000000,2018
5.080000,9,NaN,2019
5.080000,10,NaN,2008
5.080000,10,NaN,2009
5.080000,10,86.000000,2010
5.080000,10,NaN,2011
5.080000,10,153.000000,2012
5.080000,10,NaN,2013
5.080000,10,NaN,2014
5.080000,10,117.000000,2015
5.080000,10,19.000000,2016
5.080000,10,135.000000,2017
5.080000,10,NaN,2018
5.080000,10,NaN,2019
5.080000,10,26.000000,2020
5.080000,11,NaN,2015
5.080000,11,16.000000,2016
5.080000,11,133.000000,2017
5.080000,11,100.000000,2018
5.080000,11,NaN,2019
5.080000,11,226.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,NaN,2009
5.080000,12,71.000000,2010
5.080000,12,NaN,2011
5.080000,12,71.000000,2012
5.080000,12,178.000000,2013
5.080000,12,47.000000,2014
5.080000,12,39.000000,2015
5.080000,12,53.000000,2016
5.080000,13,NaN,2017
5.080000,13,NaN,2018
5.080000,13,NaN,2019
5.080000,14,NaN,2014
5.080000,14,49.000000,2015
5.080000,14,NaN,2016
5.080000,14,67.000000,2017
5.080000,14,NaN,2018
5.080000,14,139.000000,2019
5.080000,14,6.000000,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,19.000000,2007
5.080000,15,NaN,2008
5.080000,15,NaN,2009
5.080000,15,NaN,2010
5.080000,15,NaN,2011
5.080000,15,120.000000,2012
5.080000,15,NaN,2013
5.080000,15,2.000000,2014
5.080000,17,1.000000,2015
