depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,207.000000,2001
5.080000,1,NaN,2002
5.080000,1,1.000000,2003
5.080000,2,NaN,2004
5.080000,2,205.000000,2005
5.080000,2,NaN,2006
5.080000,2,97.000000,2007
5.080000,2,NaN,2008
5.080000,2,1.000000,2009
5.080000,2,1.000000,2010
5.080000,2,7.000000,2011
5.080000,2,156.000000,2012
5.080000,2,NaN,2013
5.080000,2,1.000000,2014
5.080000,2,NaN,2015
5.080000,2,NaN,2016
5.080000,2,1.000000,2017
5.080000,2,NaN,2018
5.080000,2,207.000000,2019
5.080000,3,1.000000,2016
5.080000,3,89.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2006
5.080000,4,NaN,2007
5.080000,4,1.000000,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,79.000000,2011
5.080000,4,NaN,2012
5.080000,4,63.000000,2013
5.080000,4,NaN,2014
5.080000,4,2.000000,2015
5.080000,4,NaN,2016
5.080000,4,1.000000,2017
5.080000,5,NaN,2001
5.080000,5,8.000000,2001
5.080000,5,NaN,2002
5.080000,5,2.000000,2003
5.080000,5,NaN,2004
5.080000,5,4.000000,2005
5.080000,9,NaN,2008
5.080000,9,5.000000,2009
5.080000,9,125.000000,2010
5.080000,9,NaN,2011
5.080000,9,NaN,2012
5.080000,9,1.000000,2013
5.080000,9,NaN,2014
5.080000,9,NaN,2015
5.080000,9,11.000000,2016
5.080000,9,17.000000,2017
5.080000,9,167.000000,2018
5.080000,9,NaN,2019
5.080000,9,224.000000,2020
5.080000,10,NaN,2008
5.080000,10,NaN,2009
5.080000,10,NaN,2010
5.080000,10,NaN,2011
5.080000,10,NaN,2012
5.080000,10,NaN,2013
5.080000,10,NaN,2014
5.080000,10,15.000000,2015
5.080000,10,3.000000,2016
5.080000,10,1.000000,2017
5.080000,10,199.000000,2018
5.080000,10,92.000000,2019
5.080000,10,3.000000,2020
5.080000,11,NaN,2015
5.080000,11,NaN,2016
5.080000,11,164.000000,2017
5.080000,11,91.000000,2018
5.080000,11,1.000000,2019
5.080000,11,128.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,13.000000,2009
5.080000,12,NaN,2010
5.080000,12,NaN,2011
5.080000,12,100.000000,2012
5.080000,12,3.000000,2013
5.080000,12,1.000000,2014
5.080000,12,NaN,2015
5.080000,13,NaN,2016
5.080000,13,3.000000,2017
5.080000,13,1.000000,2018
5.080000,13,1.000000,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,NaN,2016
5.080000,14,1.000000,2017
5.080000,14,247.000000,2018
5.080000,14,1.000000,2019
5.080000,14,NaN,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,1.000000,2007
5.080000,15,NaN,2008
5.080000,15,NaN,2009
5.080000,15,NaN,2010
5.080000,15,1.000000,2011
5.080000,15,NaN,2012
5.080000,15,NaN,2013
5.080000,15,1.000000,2014
5.080000,17,NaN,2014
5.080000,17,NaN,2015
5.080000,17,1.000000,2016
5.080000,17,9.000000,2017
5.080000,17,12.000000,2018
5.080000,17,1.000000,2019
5.080000,17,140.000000,2020
5.080000,19,NaN,2013
5.080000,19,13.000000,2014
5.080000,21,NaN,2008
5.080000,21,NaN,2009
5.080000,21,111.000000,2010
5.080000,21,42.000000,2011
5.080000,21,58.000000,2012
5.080000,21,NaN,2013
5.080000,21,NaN,2014
5.080000,21,NaN,2015
5.080000,21,NaN,2016
5.080000,21,NaN,2017
5.080000,21,1.000000,2018
5.080000,21,NaN,2019
5.080000,21,NaN,2020
5.080000,22,NaN,2008
5.080000,22,NaN,2009
5.080000,22,NaN,2010
5.080000,22,NaN,2011
5.080000,22,89.000000,2012
5.080000,22,NaN,2013
5.080000,22,NaN,2014
5.080000,22,NaN,2015
5.080000,22,13.000000,2016
5.080000,22,1.000000,2017
5.080000,22,NaN,2018
5.080000,22,NaN,2019
5.080000,22,NaN,2020
5.080000,24,NaN,2012
5.080000,24,NaN,2013
5.080000,24,1.000000,2014
5.080000,24,NaN,2015
5.080000,24,NaN,2016
5.080000,24,1.000000,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,3.000000,2001
5.080000,25,2.000000,2002
5.080000,25,62.000000,2003
5.080000,25,1.000000,2004
5.080000,26,NaN,2005
5.080000,26,1.000000,2006
5.080000,26,194.000000,2007
5.080000,26,NaN,2008
5.080000,26,NaN,2009
5.080000,26,NaN,2010
5.080000,26,NaN,2011
5.080000,26,1.000000,2012
5.080000,26,59.000000,2013
5.080000,26,NaN,2014
5.080000,26,NaN,2015
5.080000,26,NaN,2016
5.080000,26,NaN,2017
5.080000,26,2.000000,2018
5.080000,26,1.000000,2019
5.080000,27,NaN,2011
5.080000,27,61.000000,2012
5.080000,27,75.000000,2013
5.080000,27,1.000000,2014
5.080000,27,NaN,2015
5.080000,27,2.000000,2016
5.080000,27,NaN,2017
5.080000,27,NaN,2018
5.080000,27,43.000000,2019
5.080000,27,NaN,2020
5.080000,28,NaN,2007
5.080000,28,236.000000,2008
5.080000,28,NaN,2009
5.080000,28,NaN,2010
5.080000,28,129.000000,2011
5.080000,28,1.000000,2012
5.080000,28,1.000000,2013
5.080000,28,NaN,2014
5.080000,28,1.000000,2015
5.080000,28,1.000000,2016
5.080000,28,172.000000,2017
5.080000,28,1.000000,2018
5.080000,28,2.000000,2019
5.080000,29,NaN,2011
5.080000,29,2.000000,2012
5.080000,29,33.000000,2013
5.080000,29,NaN,2014
5.080000,29,5.000000,2015
5.080000,29,93.000000,2016
5.080000,29,NaN,2017
5.080000,29,151.000000,2018
5.080000,29,11.000000,2019
5.080000,29,NaN,2020
5.080000,30,NaN,2010
5.080000,30,1.000000,2011
5.080000,30,NaN,2012
5.080000,30,NaN,2013
5.080000,30,1.000000,2014
5.080000,30,1.000000,2015
5.080000,30,1.000000,2016
5.080000,30,30.000000,2017
5.080000,30,NaN,2018
5.080000,30,NaN,2019
5.080000,31,NaN,2011
5.080000,31,NaN,2012
5.080000,31,1.000000,2013
5.080000,31,5.000000,2014
5.080000,31,NaN,2015
5.080000,31,NaN,2016
5.080000,31,41.000000,2017
5.080000,31,NaN,2018
5.080000,31,NaN,2019
5.080000,31,1.000000,2020
5.080000,33,NaN,2006
5.080000,33,114.000000,2007
5.080000,33,13.000000,2008
5.080000,33,111.000000,2009
5.080000,35,NaN,2008
5.080000,35,1.000000,2009
5.080000,35,NaN,2010
5.080000,35,2.000000,2011
5.080000,35,2.000000,2012
5.080000,35,NaN,2013
5.080000,35,NaN,2014
5.080000,35,3.000000,2015
5.080000,35,NaN,2016
5.080000,35,3.000000,2017
5.080000,35,NaN,2018
5.080000,35,3.000000,2019
5.080000,35,1.000000,2020
5.080000,36,NaN,2010
5.080000,36,NaN,2011
5.080000,36,167.000000,2012
5.080000,36,NaN,2013
5.080000,36,1.000000,2014
5.080000,36,NaN,2015
5.080000,36,1.000000,2016
5.080000,36,115.000000,2017
5.080000,36,NaN,2018
5.080000,36,121.000000,2019
5.080000,36,NaN,2020
5.080000,37,NaN,2010
5.080000,37,NaN,2011
5.080000,37,NaN,2012
5.080000,37,NaN,2013
5.080000,37,1.000000,2014
5.080000,37,38.000000,2015
5.080000,37,NaN,2016
5.080000,37,1.000000,2017
5.080000,37,NaN,2018
5.080000,37,NaN,2019
5.080000,38,NaN,2010
5.080000,38,1.000000,2011
5.080000,38,1.000000,2012
5.080000,38,NaN,2013
5.080000,38,NaN,2014
5.080000,38,49.000000,2015
5.080000,38,1.000000,2016
5.080000,38,124.000000,2017
5.080000,38,77.000000,2018
5.080000,38,NaN,2019
5.080000,39,NaN,2010
5.080000,39,NaN,2011
5.080000,39,NaN,2012
5.080000,39,NaN,2013
5.080000,39,31.000000,2014
5.080000,39,42.000000,2015
5.080000,39,NaN,2016
5.080000,39,NaN,2017
5.080000,39,NaN,2018
5.080000,39,203.000000,2019
5.080000,40,NaN,2014
5.080000,40,1.000000,2015
5.080000,40,1.000000,2016
5.080000,40,7.000000,2017
5.080000,40,161.000000,2018
5.080000,40,NaN,2019
5.080000,40,217.000000,2020
5.080000,41,NaN,2008
5.080000,41,126.000000,2009
5.080000,41,64.000000,2010
5.080000,41,108.000000,2011
5.080000,41,55.000000,2012
5.080000,42,NaN,2014
5.080000,42,NaN,2015
5.080000,42,NaN,2016
5.080000,42,5.000000,2017
5.080000,42,26.000000,2018
5.080000,42,NaN,2019
5.080000,42,NaN,2020
5.080000,44,NaN,2007
5.080000,44,1.000000,2008
5.080000,44,37.000000,2009
5.080000,44,25.000000,2010
5.080000,44,1.000000,2011
5.080000,44,4.000000,2012
5.080000,44,NaN,2013
5.080000,44,36.000000,2014
5.080000,44,1.000000,2015
5.080000,44,5.000000,2016
