depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,153.830948,2001
5.080000,1,NaN,2002
5.080000,1,5.154606,2003
5.080000,2,NaN,2004
5.080000,2,8.925313,2005
5.080000,2,NaN,2006
5.080000,2,62.698245,2007
5.080000,2,NaN,2008
5.080000,2,6.085836,2009
5.080000,2,9.231527,2010
5.080000,2,6.338524,2011
5.080000,2,32.000000,2012
5.080000,2,NaN,2013
5.080000,2,4.886006,2014
5.080000,2,NaN,2015
5.080000,2,NaN,2016
5.080000,2,NaN,2017
5.080000,2,NaN,2018
5.080000,2,19.000002,2019
5.080000,3,10.465108,2016
5.080000,3,97.138488,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2006
5.080000,4,NaN,2007
5.080000,4,6.192861,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,173.999686,2011
5.080000,4,4.450425,2012
5.080000,4,106.999999,2013
5.080000,4,9.576311,2014
5.080000,4,NaN,2015
5.080000,4,NaN,2016
5.080000,4,10.473495,2017
5.080000,5,NaN,2001
5.080000,5,16.022153,2001
5.080000,5,NaN,2002
5.080000,5,7.400997,2003
5.080000,5,NaN,2004
5.080000,5,9.861982,2005
5.080000,9,NaN,2008
5.080000,9,66.810390,2009
5.080000,9,47.744891,2010
5.080000,9,NaN,2011
5.080000,9,NaN,2012
5.080000,9,26.403114,2013
5.080000,9,NaN,2014
5.080000,9,NaN,2015
5.080000,9,10.991450,2016
5.080000,9,18.078694,2017
5.080000,9,117.099287,2018
5.080000,9,NaN,2019
5.080000,9,139.367378,2020
5.080000,10,NaN,2008
5.080000,10,8.447414,2009
5.080000,10,4.126968,2010
5.080000,10,NaN,2011
5.080000,10,NaN,2012
5.080000,10,9.580162,2013
5.080000,10,NaN,2014
5.080000,10,15.734470,2015
5.080000,10,4.168951,2016
5.080000,10,NaN,2017
5.080000,10,6.141817,2018
5.080000,10,70.417349,2019
5.080000,10,6.265744,2020
5.080000,11,NaN,2015
5.080000,11,NaN,2016
5.080000,11,101.897876,2017
5.080000,11,76.900009,2018
5.080000,11,6.591642,2019
5.080000,11,102.810681,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,13.720716,2009
5.080000,12,166.358717,2010
5.080000,12,NaN,2011
5.080000,12,86.610250,2012
5.080000,12,13.073378,2013
5.080000,12,4.610750,2014
5.080000,12,212.481360,2015
5.080000,13,NaN,2016
5.080000,13,8.252800,2017
