depth,sid,value,WY
5.080000,1,17.000000,2001
5.080000,1,46.000000,2001
5.080000,1,NaN,2002
5.080000,1,122.000000,2003
5.080000,2,20.000000,2004
5.080000,2,12.000000,2005
5.080000,2,NaN,2006
5.080000,2,2.000000,2007
5.080000,2,NaN,2008
5.080000,2,33.000000,2009
5.080000,2,17.000000,2010
5.080000,2,16.000000,2011
5.080000,2,20.000000,2012
5.080000,2,17.000000,2013
5.080000,2,30.000000,2014
5.080000,2,NaN,2015
5.080000,2,120.000000,2016
5.080000,2,18.000000,2017
5.080000,2,NaN,2018
5.080000,2,85.000000,2019
5.080000,3,22.000000,2016
5.080000,3,NaN,2017
5.080000,3,9.000000,2018
5.080000,4,3.000000,2006
5.080000,4,NaN,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,39.000000,2011
5.080000,4,24.000000,2012
5.080000,4,125.000000,2013
5.080000,4,7.000000,2014
5.080000,4,NaN,2015
5.080000,4,35.000000,2016
5.080000,4,181.000000,2017
5.080000,5,12.000000,2001
5.080000,5,97.000000,2001
5.080000,5,NaN,2002
5.080000,5,13.000000,2003
5.080000,5,10.000000,2004
5.080000,5,163.000000,2005
5.080000,9,NaN,2008
5.080000,9,35.000000,2009
5.080000,9,120.000000,2010
5.080000,9,NaN,2011
5.080000,9,52.000000,2012
5.080000,9,18.000000,2013
5.080000,9,NaN,2014
5.080000,9,35.000000,2015
5.080000,9,4.000000,2016
5.080000,9,141.000000,2017
5.080000,9,104.000000,2018
5.080000,9,16.000000,2019
5.080000,9,187.000000,2020
5.080000,10,NaN,2008
5.080000,10,25.000000,2009
5.080000,10,12.000000,2010
5.080000,10,3.000000,2011
5.080000,10,NaN,2012
5.080000,10,42.000000,2013
5.080000,10,NaN,2014
5.080000,10,5.000000,2015
5.080000,10,16.000000,2016
5.080000,10,17.000000,2017
5.080000,10,70.000000,2018
5.080000,10,16.000000,2019
5.080000,10,116.000000,2020
5.080000,11,NaN,2015
5.080000,11,110.000000,2016
5.080000,11,28.000000,2017
5.080000,11,171.000000,2018
5.080000,11,54.000000,2019
5.080000,11,188.000000,2020
5.080000,12,NaN,2007
5.080000,12,12.000000,2008
5.080000,12,5.000000,2009
5.080000,12,15.000000,2010
5.080000,12,NaN,2011
5.080000,12,27.000000,2012
5.080000,12,2.000000,2013
5.080000,12,7.000000,2014
5.080000,12,2.000000,2015
5.080000,13,NaN,2016
5.080000,13,4.000000,2017
5.080000,13,33.000000,2018
5.080000,13,1.000000,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,36.000000,2016
5.080000,14,16.000000,2017
5.080000,14,11.000000,2018
5.080000,14,10.000000,2019
5.080000,14,75.000000,2020
5.080000,15,NaN,2005
5.080000,15,142.000000,2006
5.080000,15,9.000000,2007
5.080000,15,3.000000,2008
5.080000,15,15.000000,2009
5.080000,15,NaN,2010
5.080000,15,4.000000,2011
5.080000,15,NaN,2012
5.080000,15,6.000000,2013
5.080000,15,3.000000,2014
5.080000,17,NaN,2014
5.080000,17,19.000000,2015
5.080000,17,8.000000,2016
5.080000,17,25.000000,2017
5.080000,17,200.000000,2018
5.080000,17,7.000000,2019
5.080000,17,173.000000,2020
5.080000,19,NaN,2013
5.080000,19,NaN,2014
5.080000,21,NaN,2008
5.080000,21,49.000000,2009
5.080000,21,18.000000,2010
5.080000,21,64.000000,2011
5.080000,21,65.000000,2012
5.080000,21,NaN,2013
5.080000,21,83.000000,2014
5.080000,21,NaN,2015
5.080000,21,NaN,2016
5.080000,21,110.000000,2017
5.080000,21,181.000000,2018
5.080000,21,57.000000,2019
5.080000,21,123.000000,2020
5.080000,22,NaN,2008
5.080000,22,149.000000,2009
5.080000,22,108.000000,2010
5.080000,22,147.000000,2011
5.080000,22,162.000000,2012
5.080000,22,68.000000,2013
5.080000,22,42.000000,2014
5.080000,22,NaN,2015
5.080000,22,27.000000,2016
5.080000,22,111.000000,2017
5.080000,22,120.000000,2018
5.080000,22,43.000000,2019
5.080000,22,98.000000,2020
5.080000,24,128.000000,2012
5.080000,24,NaN,2013
5.080000,24,122.000000,2014
5.080000,24,12.000000,2015
5.080000,24,NaN,2016
5.080000,24,NaN,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,88.000000,2001
5.080000,25,27.000000,2002
5.080000,25,7.000000,2003
5.080000,25,89.000000,2004
5.080000,26,NaN,2005
5.080000,26,16.000000,2006
5.080000,26,108.000000,2007
5.080000,26,97.000000,2008
5.080000,26,9.000000,2009
5.080000,26,22.000000,2010
5.080000,26,8.000000,2011
5.080000,26,16.000000,2012
5.080000,26,25.000000,2013
5.080000,26,96.000000,2014
5.080000,26,16.000000,2015
5.080000,26,NaN,2016
5.080000,26,NaN,2017
5.080000,26,44.000000,2018
5.080000,26,44.000000,2019
5.080000,27,16.000000,2011
5.080000,27,14.000000,2012
5.080000,27,47.000000,2013
5.080000,27,125.000000,2014
5.080000,27,NaN,2015
5.080000,27,8.000000,2016
