depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,75.554536,2001
5.080000,1,77.992529,2002
5.080000,1,111.776861,2003
5.080000,2,NaN,2004
5.080000,2,6.442537,2005
5.080000,2,50.450595,2006
5.080000,2,20.432101,2007
5.080000,2,21.878909,2008
5.080000,2,39.289436,2009
5.080000,2,7.342798,2010
5.080000,2,NaN,2011
5.080000,2,NaN,2012
5.080000,2,9.172529,2013
5.080000,2,11.974240,2014
5.080000,2,8.311090,2015
5.080000,2,29.712938,2016
5.080000,2,11.902704,2017
5.080000,2,31.379200,2018
5.080000,2,13.629838,2019
5.080000,3,213.679636,2016
5.080000,3,NaN,2017
5.080000,3,8.611969,2018
5.080000,4,NaN,2005
5.080000,4,23.580313,2006
5.080000,4,174.073196,2007
5.080000,4,NaN,2008
5.080000,4,174.950190,2009
5.080000,4,47.000000,2010
5.080000,4,NaN,2011
5.080000,4,19.840278,2012
5.080000,4,27.263237,2013
5.080000,4,3.981778,2014
5.080000,4,8.760605,2015
5.080000,4,7.032909,2016
5.080000,4,NaN,2017
5.080000,5,7.375107,2001
5.080000,5,36.125234,2001
5.080000,5,NaN,2002
5.080000,5,4.040341,2003
5.080000,5,NaN,2004
5.080000,5,16.724192,2005
5.080000,9,NaN,2007
5.080000,9,47.433792,2008
5.080000,9,43.934661,2009
5.080000,9,10.000215,2010
5.080000,9,3.845684,2011
5.080000,9,27.581675,2012
5.080000,9,15.077230,2013
5.080000,9,106.535048,2014
5.080000,9,68.661702,2015
5.080000,9,8.450318,2016
5.080000,9,NaN,2017
5.080000,9,31.419924,2018
5.080000,9,31.872121,2019
5.080000,10,NaN,2008
5.080000,10,52.233035,2009
5.080000,10,45.224818,2010
5.080000,10,59.099960,2011
5.080000,10,117.319718,2012
5.080000,10,67.259651,2013
5.080000,10,91.374908,2014
5.080000,10,44.520182,2015
5.080000,10,20.476237,2016
5.080000,10,22.559984,2017
5.080000,10,14.277311,2018
5.080000,10,90.302739,2019
5.080000,10,144.898887,2020
5.080000,11,NaN,2015
5.080000,11,144.439677,2016
5.080000,11,46.526127,2017
5.080000,11,110.349422,2018
5.080000,11,77.455025,2019
5.080000,11,37.930140,2020
5.080000,12,NaN,2007
5.080000,12,21.580507,2008
5.080000,12,18.821816,2009
5.080000,12,119.056476,2010
5.080000,12,17.435017,2011
5.080000,12,199.163759,2012
5.080000,12,14.375093,2013
5.080000,12,5.117037,2014
5.080000,12,47.851555,2015
5.080000,12,66.053570,2016
5.080000,13,36.252288,2017
5.080000,13,12.309412,2018
5.080000,13,12.372048,2019
5.080000,14,9.196429,2014
5.080000,14,9.384401,2015
5.080000,14,76.263935,2016
5.080000,14,9.159451,2017
5.080000,14,42.406505,2018
5.080000,14,NaN,2019
