depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,NaN,2001
5.080000,1,-22.000000,2002
5.080000,1,-44.000000,2003
5.080000,2,NaN,2004
5.080000,2,-33.000000,2005
5.080000,2,-14.000000,2006
5.080000,2,-7.000000,2007
5.080000,2,NaN,2008
5.080000,2,-34.000000,2009
5.080000,2,-14.000000,2010
5.080000,2,-38.000000,2011
5.080000,2,-19.000000,2012
5.080000,2,NaN,2013
5.080000,2,-41.000000,2014
5.080000,2,-30.000000,2015
5.080000,2,-96.000000,2016
5.080000,2,-19.000000,2017
5.080000,2,-110.000000,2018
5.080000,2,19.000000,2019
5.080000,3,NaN,2016
5.080000,3,-231.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2005
5.080000,4,-13.000000,2006
5.080000,4,3.000000,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,-44.000000,2011
5.080000,4,-12.000000,2012
5.080000,4,16.000000,2013
5.080000,4,-84.000000,2014
5.080000,4,-87.000000,2015
5.080000,4,-99.000000,2016
5.080000,4,-113.000000,2017
5.080000,5,NaN,2001
5.080000,5,62.000000,2001
5.080000,5,85.000000,2002
5.080000,5,24.000000,2003
5.080000,5,NaN,2004
5.080000,5,35.000000,2005
5.080000,9,NaN,2007
5.080000,9,104.000000,2008
5.080000,9,124.000000,2009
5.080000,9,NaN,2010
5.080000,9,NaN,2011
5.080000,9,251.000000,2012
5.080000,9,NaN,2013
5.080000,9,NaN,2014
5.080000,9,111.000000,2015
5.080000,9,176.000000,2016
5.080000,9,NaN,2017
5.080000,9,-40.000000,2018
5.080000,9,NaN,2019
5.080000,10,NaN,2008
5.080000,10,NaN,2009
5.080000,10,-200.000000,2010
5.080000,10,NaN,2011
5.080000,10,-215.000000,2012
5.080000,10,NaN,2013
5.080000,10,NaN,2014
5.080000,10,-230.000000,2015
5.080000,10,-243.000000,2016
5.080000,10,-210.000000,2017
5.080000,10,NaN,2018
5.080000,10,NaN,2019
5.080000,10,-241.000000,2020
5.080000,11,NaN,2015
5.080000,11,-257.000000,2016
5.080000,11,-221.000000,2017
5.080000,11,-203.000000,2018
5.080000,11,NaN,2019
5.080000,11,-122.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,NaN,2009
5.080000,12,-225.000000,2010
5.080000,12,NaN,2011
5.080000,12,-234.000000,2012
5.080000,12,-199.000000,2013
5.080000,12,-283.000000,2014
5.080000,12,-242.000000,2015
5.080000,12,-251.000000,2016
5.080000,13,NaN,2017
5.080000,13,NaN,2018
5.080000,13,NaN,2019
5.080000,14,NaN,2014
5.080000,14,-160.000000,2015
5.080000,14,NaN,2016
5.080000,14,-252.000000,2017
5.080000,14,NaN,2018
5.080000,14,-122.000000,2019
5.080000,14,-157.000000,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,-1.000000,2007
5.080000,15,NaN,2008
5.080000,15,NaN,2009
5.080000,15,NaN,2010
5.080000,15,-38.000000,2011
5.080000,15,4.000000,2012
