depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,128.000000,2001
5.080000,1,NaN,2002
5.080000,1,-46.000000,2003
5.080000,2,NaN,2004
5.080000,2,126.000000,2005
5.080000,2,-14.000000,2006
5.080000,2,-19.000000,2007
5.080000,2,NaN,2008
5.080000,2,-53.000000,2009
5.080000,2,-49.000000,2010
5.080000,2,-44.000000,2011
5.080000,2,88.000000,2012
5.080000,2,NaN,2013
5.080000,2,-40.000000,2014
5.080000,2,-27.000000,2015
5.080000,2,NaN,2016
5.080000,2,-20.000000,2017
5.080000,2,-51.000000,2018
5.080000,2,103.000000,2019
5.080000,3,-195.000000,2016
5.080000,3,-261.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2006
5.080000,4,NaN,2007
5.080000,4,-368.000000,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,-175.000000,2011
5.080000,4,NaN,2012
5.080000,4,-292.000000,2013
5.080000,4,NaN,2014
5.080000,4,-261.000000,2015
5.080000,4,NaN,2016
5.080000,4,-317.000000,2017
5.080000,5,NaN,2001
5.080000,5,69.000000,2001
5.080000,5,88.000000,2002
5.080000,5,125.000000,2003
5.080000,5,NaN,2004
5.080000,5,37.000000,2005
5.080000,9,NaN,2008
5.080000,9,-169.000000,2009
5.080000,9,-178.000000,2010
5.080000,9,NaN,2011
5.080000,9,NaN,2012
5.080000,9,-317.000000,2013
5.080000,9,-193.000000,2014
5.080000,9,-391.000000,2015
5.080000,9,-248.000000,2016
5.080000,9,-205.000000,2017
5.080000,9,-180.000000,2018
5.080000,9,NaN,2019
5.080000,9,-62.000000,2020
5.080000,10,NaN,2008
5.080000,10,NaN,2009
5.080000,10,NaN,2010
5.080000,10,NaN,2011
5.080000,10,-335.000000,2012
5.080000,10,NaN,2013
5.080000,10,NaN,2014
5.080000,10,-349.000000,2015
5.080000,10,-340.000000,2016
5.080000,10,-336.000000,2017
5.080000,10,-146.000000,2018
5.080000,10,-157.000000,2019
5.080000,10,-314.000000,2020
5.080000,11,NaN,2015
5.080000,11,NaN,2016
5.080000,11,-183.000000,2017
5.080000,11,-211.000000,2018
5.080000,11,-219.000000,2019
5.080000,11,-157.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,-171.000000,2009
5.080000,12,NaN,2010
5.080000,12,NaN,2011
5.080000,12,-126.000000,2012
5.080000,12,-143.000000,2013
5.080000,12,-318.000000,2014
5.080000,12,NaN,2015
5.080000,13,NaN,2016
5.080000,13,-186.000000,2017
5.080000,13,-345.000000,2018
5.080000,13,-335.000000,2019
5.080000,14,NaN,2014
5.080000,14,-183.000000,2015
5.080000,14,NaN,2016
5.080000,14,-318.000000,2017
5.080000,14,-38.000000,2018
5.080000,14,-326.000000,2019
5.080000,14,NaN,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,-152.000000,2007
5.080000,15,NaN,2008
5.080000,15,-105.000000,2009
5.080000,15,-60.000000,2010
5.080000,15,-93.000000,2011
5.080000,15,-36.000000,2012
5.080000,15,NaN,2013
5.080000,15,-75.000000,2014
5.080000,17,NaN,2014
5.080000,17,NaN,2015
5.080000,17,-257.000000,2016
5.080000,17,-306.000000,2017
5.080000,17,-219.000000,2018
5.080000,17,-219.000000,2019
5.080000,17,-144.000000,2020
5.080000,19,NaN,2013
5.080000,19,8.000000,2014
5.080000,21,NaN,2008
5.080000,21,NaN,2009
5.080000,21,-176.000000,2010
5.080000,21,-185.000000,2011
5.080000,21,-279.000000,2012
5.080000,21,NaN,2013
5.080000,21,NaN,2014
5.080000,21,-231.000000,2015
5.080000,21,NaN,2016
5.080000,21,NaN,2017
5.080000,21,-295.000000,2018
5.080000,21,NaN,2019
5.080000,21,NaN,2020
5.080000,22,NaN,2008
5.080000,22,NaN,2009
5.080000,22,NaN,2010
5.080000,22,NaN,2011
5.080000,22,-248.000000,2012
5.080000,22,NaN,2013
5.080000,22,NaN,2014
5.080000,22,NaN,2015
5.080000,22,-351.000000,2016
5.080000,22,-274.000000,2017
5.080000,22,NaN,2018
5.080000,22,NaN,2019
5.080000,22,NaN,2020
5.080000,24,NaN,2012
5.080000,24,NaN,2013
5.080000,24,-37.000000,2014
5.080000,24,NaN,2015
5.080000,24,NaN,2016
5.080000,24,128.000000,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,-179.000000,2001
5.080000,25,-160.000000,2002
5.080000,25,-122.000000,2003
5.080000,25,-158.000000,2004
5.080000,26,NaN,2005
5.080000,26,-213.000000,2006
5.080000,26,-64.000000,2007
5.080000,26,NaN,2008
5.080000,26,NaN,2009
5.080000,26,NaN,2010
5.080000,26,NaN,2011
5.080000,26,-155.000000,2012
5.080000,26,-137.000000,2013
5.080000,26,NaN,2014
5.080000,26,NaN,2015
5.080000,26,-202.000000,2016
5.080000,26,NaN,2017
5.080000,26,-180.000000,2018
5.080000,26,-335.000000,2019
5.080000,27,NaN,2011
5.080000,27,-282.000000,2012
5.080000,27,-178.000000,2013
5.080000,27,-356.000000,2014
5.080000,27,-346.000000,2015
5.080000,27,-222.000000,2016
5.080000,27,-189.000000,2017
5.080000,27,NaN,2018
5.080000,27,-205.000000,2019
5.080000,27,NaN,2020
5.080000,28,NaN,2007
5.080000,28,309.000000,2008
5.080000,28,NaN,2009
5.080000,28,NaN,2010
5.080000,28,70.000000,2011
5.080000,28,49.000000,2012
5.080000,28,25.000000,2013
5.080000,28,NaN,2014
5.080000,28,-19.000000,2015
5.080000,28,50.000000,2016
5.080000,28,121.000000,2017
5.080000,28,-21.000000,2018
5.080000,28,49.000000,2019
5.080000,29,NaN,2011
5.080000,29,-297.000000,2012
5.080000,29,-204.000000,2013
5.080000,29,NaN,2014
5.080000,29,-185.000000,2015
5.080000,29,-234.000000,2016
5.080000,29,NaN,2017
5.080000,29,-203.000000,2018
5.080000,29,-328.000000,2019
5.080000,29,NaN,2020
5.080000,30,NaN,2010
5.080000,30,47.000000,2011
5.080000,30,NaN,2012
5.080000,30,NaN,2013
5.080000,30,-20.000000,2014
5.080000,30,-11.000000,2015
5.080000,30,62.000000,2016
5.080000,30,144.000000,2017
5.080000,30,NaN,2018
5.080000,30,NaN,2019
5.080000,31,NaN,2011
5.080000,31,NaN,2012
5.080000,31,-343.000000,2013
5.080000,31,-199.000000,2014
5.080000,31,-357.000000,2015
5.080000,31,NaN,2016
5.080000,31,-292.000000,2017
5.080000,31,-221.000000,2018
5.080000,31,-211.000000,2019
5.080000,31,-317.000000,2020
5.080000,33,NaN,2006
5.080000,33,-155.000000,2007
5.080000,33,-179.000000,2008
5.080000,33,-111.000000,2009
5.080000,35,NaN,2008
5.080000,35,-172.000000,2009
5.080000,35,NaN,2010
5.080000,35,-162.000000,2011
5.080000,35,-155.000000,2012
5.080000,35,NaN,2013
5.080000,35,NaN,2014
5.080000,35,-159.000000,2015
5.080000,35,NaN,2016
5.080000,35,-179.000000,2017
5.080000,35,NaN,2018
5.080000,35,-145.000000,2019
5.080000,35,-149.000000,2020
5.080000,36,NaN,2010
5.080000,36,NaN,2011
5.080000,36,-193.000000,2012
5.080000,36,NaN,2013
5.080000,36,-277.000000,2014
5.080000,36,NaN,2015
5.080000,36,-322.000000,2016
5.080000,36,-223.000000,2017
5.080000,36,NaN,2018
5.080000,36,-269.000000,2019
5.080000,36,NaN,2020
5.080000,37,NaN,2010
5.080000,37,NaN,2011
5.080000,37,NaN,2012
5.080000,37,NaN,2013
5.080000,37,-47.000000,2014
5.080000,37,-26.000000,2015
5.080000,37,NaN,2016
5.080000,37,-90.000000,2017
5.080000,37,NaN,2018
5.080000,37,NaN,2019
5.080000,38,NaN,2010
5.080000,38,-51.000000,2011
5.080000,38,-47.000000,2012
5.080000,38,NaN,2013
5.080000,38,-48.000000,2014
5.080000,38,-15.000000,2015
5.080000,38,-45.000000,2016
5.080000,38,-6.000000,2017
5.080000,38,-38.000000,2018
5.080000,38,-63.000000,2019
5.080000,39,NaN,2010
5.080000,39,-51.000000,2011
5.080000,39,NaN,2012
5.080000,39,NaN,2013
5.080000,39,-22.000000,2014
5.080000,39,-19.000000,2015
5.080000,39,NaN,2016
5.080000,39,-23.000000,2017
5.080000,39,NaN,2018
5.080000,39,126.000000,2019
5.080000,40,NaN,2014
5.080000,40,-268.000000,2015
5.080000,40,-257.000000,2016
5.080000,40,-211.000000,2017
5.080000,40,-170.000000,2018
5.080000,40,NaN,2019
5.080000,40,-107.000000,2020
5.080000,41,NaN,2008
5.080000,41,185.000000,2009
5.080000,41,102.000000,2010
5.080000,41,130.000000,2011
5.080000,41,154.000000,2012
5.080000,42,NaN,2014
5.080000,42,NaN,2015
5.080000,42,-257.000000,2016
5.080000,42,-212.000000,2017
5.080000,42,-229.000000,2018
5.080000,42,NaN,2019
5.080000,42,NaN,2020
5.080000,44,NaN,2007
5.080000,44,-180.000000,2008
5.080000,44,-159.000000,2009
5.080000,44,-154.000000,2010
5.080000,44,-163.000000,2011
5.080000,44,-158.000000,2012
5.080000,44,NaN,2013
5.080000,44,-149.000000,2014
5.080000,44,-160.000000,2015
5.080000,44,-201.000000,2016
5.080000,46,NaN,2011
5.080000,46,70.000000,2012
5.080000,47,NaN,2005
5.080000,47,NaN,2006
5.080000,47,NaN,2007
5.080000,47,-226.000000,2008
5.080000,47,NaN,2009
5.080000,47,NaN,2010
5.080000,47,-227.000000,2011
5.080000,48,NaN,2016
5.080000,48,9.000000,2017
5.080000,48,-51.000000,2018
5.080000,48,107.000000,2019
5.080000,49,NaN,2001
5.080000,49,NaN,2002
5.080000,49,-292.000000,2003
