depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,NaN,2001
5.080000,1,731047.000000,2002
5.080000,1,731390.000000,2003
5.080000,2,NaN,2004
5.080000,2,732131.000000,2005
5.080000,2,732515.000000,2006
5.080000,2,732887.000000,2007
5.080000,2,NaN,2008
5.080000,2,733590.000000,2009
5.080000,2,733975.000000,2010
5.080000,2,734316.000000,2011
5.080000,2,734700.000000,2012
5.080000,2,NaN,2013
5.080000,2,735408.000000,2014
5.080000,2,735784.000000,2015
5.080000,2,736083.000000,2016
5.080000,2,736525.000000,2017
5.080000,2,736799.000000,2018
5.080000,2,737293.000000,2019
5.080000,3,NaN,2016
5.080000,3,736313.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2005
5.080000,4,732516.000000,2006
5.080000,4,732897.000000,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,NaN,2011
5.080000,4,734707.000000,2012
5.080000,4,735100.000000,2013
5.080000,4,735365.000000,2014
5.080000,4,735727.000000,2015
5.080000,4,736080.000000,2016
5.080000,4,NaN,2017
5.080000,5,NaN,2001
5.080000,5,730766.000000,2001
5.080000,5,NaN,2002
5.080000,5,731458.000000,2003
5.080000,5,NaN,2004
5.080000,5,732199.000000,2005
5.080000,9,NaN,2007
5.080000,9,733363.000000,2008
5.080000,9,733748.000000,2009
5.080000,9,NaN,2010
5.080000,9,NaN,2011
5.080000,9,734970.000000,2012
5.080000,9,NaN,2013
5.080000,9,NaN,2014
5.080000,9,735925.000000,2015
5.080000,9,736355.000000,2016
5.080000,9,NaN,2017
5.080000,9,736869.000000,2018
5.080000,9,NaN,2019
5.080000,10,NaN,2008
5.080000,10,NaN,2009
5.080000,10,733789.000000,2010
5.080000,10,NaN,2011
5.080000,10,734504.000000,2012
5.080000,10,NaN,2013
5.080000,10,NaN,2014
5.080000,10,735584.000000,2015
5.080000,10,735936.000000,2016
5.080000,10,736334.000000,2017
5.080000,10,NaN,2018
5.080000,10,NaN,2019
5.080000,10,737398.000000,2020
5.080000,11,NaN,2015
5.080000,11,735922.000000,2016
5.080000,11,736323.000000,2017
5.080000,11,736706.000000,2018
5.080000,11,NaN,2019
5.080000,11,737517.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,NaN,2009
5.080000,12,733764.000000,2010
5.080000,12,NaN,2011
5.080000,12,734485.000000,2012
5.080000,12,734885.000000,2013
5.080000,12,735166.000000,2014
5.080000,12,735572.000000,2015
5.080000,12,735928.000000,2016
5.080000,13,NaN,2017
5.080000,13,NaN,2018
5.080000,13,NaN,2019
5.080000,14,NaN,2014
5.080000,14,735654.000000,2015
5.080000,14,NaN,2016
5.080000,14,736292.000000,2017
5.080000,14,NaN,2018
5.080000,14,737152.000000,2019
5.080000,14,737482.000000,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,732893.000000,2007
5.080000,15,NaN,2008
5.080000,15,NaN,2009
5.080000,15,NaN,2010
5.080000,15,734316.000000,2011
5.080000,15,734723.000000,2012
