depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,-62.890832,2001
5.080000,1,-51.751338,2002
5.080000,1,-31.000000,2003
5.080000,2,NaN,2004
5.080000,2,-29.000000,2005
5.080000,2,-11.435646,2006
5.080000,2,-14.023608,2007
5.080000,2,NaN,2008
5.080000,2,-30.000000,2009
5.080000,2,-28.000000,2010
5.080000,2,-35.462269,2011
5.080000,2,-20.111031,2012
5.080000,2,NaN,2013
5.080000,2,-41.000000,2014
5.080000,2,-31.395395,2015
5.080000,2,-94.480582,2016
5.080000,2,-90.442501,2017
5.080000,2,-108.000000,2018
5.080000,2,-18.749476,2019
5.080000,3,NaN,2016
5.080000,3,-217.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2005
5.080000,4,NaN,2006
5.080000,4,-0.233010,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,NaN,2011
5.080000,4,51.000000,2012
5.080000,4,6.000000,2013
5.080000,4,NaN,2014
5.080000,4,NaN,2015
5.080000,4,-105.000000,2016
5.080000,4,NaN,2017
5.080000,5,NaN,2001
5.080000,5,158.363084,2001
5.080000,5,161.539629,2002
5.080000,5,10.000000,2003
5.080000,5,NaN,2004
5.080000,5,88.000000,2005
5.080000,9,NaN,2007
5.080000,9,139.000000,2008
5.080000,9,126.999999,2009
5.080000,9,202.034625,2010
5.080000,9,NaN,2011
5.080000,9,101.106494,2012
5.080000,9,NaN,2013
5.080000,9,3.000000,2014
5.080000,9,109.949966,2015
5.080000,9,79.999958,2016
5.080000,9,226.158415,2017
5.080000,9,NaN,2018
5.080000,9,-36.000000,2019
5.080000,10,NaN,2008
5.080000,10,-206.358342,2009
5.080000,10,-209.999991,2010
5.080000,10,-160.257885,2011
5.080000,10,-221.868583,2012
5.080000,10,-127.748477,2013
5.080000,10,-187.864706,2014
5.080000,10,-244.493872,2015
5.080000,10,-194.000000,2016
5.080000,10,-197.000005,2017
5.080000,10,-211.730107,2018
5.080000,10,NaN,2019
5.080000,10,-236.531948,2020
5.080000,11,NaN,2015
5.080000,11,-258.000000,2016
5.080000,11,-234.077847,2017
5.080000,11,-212.281586,2018
5.080000,11,-216.002748,2019
5.080000,11,-191.807584,2020
5.080000,12,NaN,2007
5.080000,12,-162.960797,2008
5.080000,12,-170.000000,2009
5.080000,12,-220.000006,2010
5.080000,12,-191.709653,2011
5.080000,12,-227.561362,2012
5.080000,12,-315.000000,2013
5.080000,12,-289.381211,2014
5.080000,12,-242.000000,2015
5.080000,12,-212.911614,2016
5.080000,13,NaN,2017
5.080000,13,-309.000003,2018
5.080000,13,-144.000000,2019
5.080000,14,NaN,2014
5.080000,14,-147.000001,2015
5.080000,14,NaN,2016
5.080000,14,-215.000000,2017
5.080000,14,-218.081892,2018
5.080000,14,-192.000000,2019
5.080000,14,-156.000000,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,-2.000000,2007
5.080000,15,NaN,2008
5.080000,15,-153.000000,2009
5.080000,15,-20.000001,2010
5.080000,15,-37.000000,2011
5.080000,15,-35.000000,2012
5.080000,15,NaN,2013
5.080000,15,NaN,2014
5.080000,17,-190.000000,2015
5.080000,17,-245.000043,2016
5.080000,17,-304.149857,2017
5.080000,17,-197.000001,2018
5.080000,17,-206.378541,2019
5.080000,17,-178.000000,2020
5.080000,19,NaN,2014
5.080000,19,-217.000000,2015
5.080000,21,NaN,2007
5.080000,21,168.262411,2008
5.080000,21,139.072194,2009
5.080000,21,157.000000,2010
5.080000,21,151.129599,2011
5.080000,21,48.562508,2012
5.080000,21,4.297923,2013
5.080000,21,7.747179,2014
5.080000,21,-14.000000,2015
5.080000,21,152.000054,2016
5.080000,21,150.972612,2017
5.080000,21,NaN,2018
5.080000,21,NaN,2019
5.080000,22,NaN,2008
5.080000,22,-221.532816,2009
5.080000,22,-223.000001,2010
5.080000,22,-212.968861,2011
5.080000,22,-204.404298,2012
5.080000,22,-161.998238,2013
5.080000,22,-184.999970,2014
5.080000,22,-210.347922,2015
5.080000,22,-236.000072,2016
5.080000,22,-211.990226,2017
5.080000,22,-221.014556,2018
5.080000,22,-323.921112,2019
5.080000,22,-205.999963,2020
5.080000,24,NaN,2012
5.080000,24,164.727107,2013
5.080000,24,8.714137,2014
5.080000,24,149.000014,2015
5.080000,24,66.000000,2016
5.080000,24,-10.718143,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,-207.314758,2002
5.080000,25,-151.999059,2003
5.080000,25,-130.062936,2004
5.080000,26,NaN,2005
5.080000,26,-223.999765,2006
5.080000,26,-317.550175,2007
5.080000,26,-165.923042,2008
5.080000,26,-173.000000,2009
5.080000,26,-215.810648,2010
5.080000,26,-211.386944,2011
5.080000,26,-227.641538,2012
5.080000,26,-312.774434,2013
5.080000,26,-266.260080,2014
5.080000,26,-236.401116,2015
5.080000,26,-214.012604,2016
5.080000,26,-201.597204,2017
5.080000,26,-325.427216,2018
5.080000,26,-153.999701,2019
5.080000,27,NaN,2011
5.080000,27,-223.000000,2012
5.080000,27,-315.000000,2013
5.080000,27,-161.957166,2014
5.080000,27,-234.956046,2015
5.080000,27,-370.000000,2016
5.080000,27,-255.055682,2017
5.080000,27,-214.531531,2018
5.080000,27,-212.405642,2019
5.080000,27,-221.634023,2020
5.080000,28,NaN,2007
5.080000,28,148.422402,2008
5.080000,28,140.000000,2009
5.080000,28,151.169386,2010
5.080000,28,159.000000,2011
5.080000,28,49.677281,2012
5.080000,28,165.999777,2013
5.080000,28,158.999999,2014
5.080000,28,-2.539746,2015
5.080000,28,81.126543,2016
5.080000,28,160.000000,2017
5.080000,28,NaN,2018
