depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,730791.833126,2001
5.080000,1,NaN,2002
5.080000,1,731389.535548,2003
5.080000,2,NaN,2004
5.080000,2,732138.893151,2005
5.080000,2,NaN,2006
5.080000,2,732856.680775,2007
5.080000,2,NaN,2008
5.080000,2,733574.085836,2009
5.080000,2,733943.478336,2010
5.080000,2,734309.000000,2011
5.080000,2,734731.000000,2012
5.080000,2,NaN,2013
5.080000,2,735409.896933,2014
5.080000,2,NaN,2015
5.080000,2,NaN,2016
5.080000,2,NaN,2017
5.080000,2,NaN,2018
5.080000,2,737253.000001,2019
5.080000,3,735985.465108,2016
5.080000,3,736293.258490,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2006
5.080000,4,NaN,2007
5.080000,4,732894.192861,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,734194.000070,2011
5.080000,4,734440.690997,2012
5.080000,4,734835.999999,2013
5.080000,4,735111.000000,2014
5.080000,4,NaN,2015
5.080000,4,NaN,2016
5.080000,4,736231.540700,2017
5.080000,5,NaN,2001
5.080000,5,730775.727217,2001
5.080000,5,NaN,2002
5.080000,5,731561.400997,2003
5.080000,5,NaN,2004
5.080000,5,732244.861982,2005
5.080000,9,NaN,2008
5.080000,9,733509.810390,2009
5.080000,9,733776.289203,2010
5.080000,9,NaN,2011
5.080000,9,NaN,2012
5.080000,9,734771.000000,2013
5.080000,9,NaN,2014
5.080000,9,NaN,2015
5.080000,9,735930.595544,2016
5.080000,9,736238.015711,2017
5.080000,9,736699.890658,2018
5.080000,9,NaN,2019
5.080000,9,737492.367378,2020
5.080000,10,NaN,2008
5.080000,10,733366.000000,2009
5.080000,10,733701.238932,2010
5.080000,10,NaN,2011
5.080000,10,NaN,2012
5.080000,10,734750.000000,2013
5.080000,10,NaN,2014
5.080000,10,735464.973723,2015
5.080000,10,735839.000000,2016
5.080000,10,NaN,2017
5.080000,10,736617.046260,2018
5.080000,10,737105.764457,2019
5.080000,10,737326.000000,2020
5.080000,11,NaN,2015
5.080000,11,NaN,2016
5.080000,11,736332.897881,2017
5.080000,11,736690.405312,2018
5.080000,11,737056.000000,2019
5.080000,11,737456.810649,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,733453.000000,2009
5.080000,12,733874.936915,2010
5.080000,12,NaN,2011
5.080000,12,734581.223722,2012
5.080000,12,734944.000000,2013
5.080000,12,735131.735623,2014
5.080000,12,735699.481313,2015
5.080000,13,NaN,2016
5.080000,13,736359.099281,2017
5.080000,13,NaN,2018
5.080000,13,NaN,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,NaN,2016
5.080000,14,736245.000000,2017
5.080000,14,736812.000084,2018
5.080000,14,NaN,2019
5.080000,14,737336.360407,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,732742.180694,2007
5.080000,15,NaN,2008
5.080000,15,733521.000000,2009
5.080000,15,NaN,2010
5.080000,15,NaN,2011
5.080000,15,NaN,2012
5.080000,15,NaN,2013
5.080000,15,735375.000000,2014
5.080000,17,NaN,2014
5.080000,17,NaN,2015
5.080000,17,NaN,2016
5.080000,17,736238.201345,2017
5.080000,17,736690.000000,2018
5.080000,17,NaN,2019
5.080000,17,737444.000000,2020
5.080000,19,NaN,2013
5.080000,19,735456.892631,2014
5.080000,21,NaN,2008
5.080000,21,733445.999998,2009
5.080000,21,733850.301950,2010
5.080000,21,734177.246075,2011
5.080000,21,734438.442984,2012
5.080000,21,NaN,2013
5.080000,21,NaN,2014
5.080000,21,NaN,2015
5.080000,21,735849.000000,2016
5.080000,21,736273.166716,2017
5.080000,21,736640.000000,2018
5.080000,21,737058.987164,2019
5.080000,21,737430.000000,2020
5.080000,22,NaN,2008
5.080000,22,733304.668132,2009
5.080000,22,733674.461886,2010
5.080000,22,734062.576070,2011
5.080000,22,734467.167682,2012
5.080000,22,734823.329599,2013
5.080000,22,735203.691577,2014
5.080000,22,NaN,2015
5.080000,22,735829.470745,2016
5.080000,22,736271.817027,2017
5.080000,22,736623.000000,2018
5.080000,22,736941.000000,2019
5.080000,22,737326.000000,2020
5.080000,24,NaN,2012
5.080000,24,NaN,2013
5.080000,24,NaN,2014
5.080000,24,NaN,2015
5.080000,24,NaN,2016
5.080000,24,736746.684010,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,730528.073553,2001
5.080000,25,730913.000000,2002
5.080000,25,731302.000000,2003
5.080000,25,731645.169984,2004
5.080000,26,NaN,2005
5.080000,26,732362.498170,2006
5.080000,26,732655.475771,2007
5.080000,26,NaN,2008
5.080000,26,733295.000000,2009
5.080000,26,733704.658912,2010
5.080000,26,734246.010496,2011
5.080000,26,734569.499274,2012
5.080000,26,734990.770245,2013
5.080000,26,735132.574931,2014
5.080000,26,NaN,2015
5.080000,26,NaN,2016
5.080000,26,NaN,2017
5.080000,26,736731.000000,2018
5.080000,26,NaN,2019
5.080000,27,NaN,2011
5.080000,27,734438.000000,2012
5.080000,27,734908.575302,2013
5.080000,27,NaN,2014
5.080000,27,NaN,2015
5.080000,27,735959.798812,2016
5.080000,27,NaN,2017
5.080000,27,736794.672379,2018
5.080000,27,737119.092507,2019
5.080000,27,737508.299186,2020
5.080000,28,NaN,2007
5.080000,28,733437.603310,2008
5.080000,28,733639.000000,2009
5.080000,28,NaN,2010
5.080000,28,734412.931711,2011
5.080000,28,734769.000000,2012
5.080000,28,735110.000000,2013
5.080000,28,NaN,2014
5.080000,28,NaN,2015
5.080000,28,736230.000000,2016
5.080000,28,736591.048448,2017
5.080000,28,NaN,2018
5.080000,28,NaN,2019
5.080000,29,NaN,2011
5.080000,29,734435.379664,2012
5.080000,29,734971.696525,2013
5.080000,29,735293.469678,2014
5.080000,29,735694.803343,2015
5.080000,29,735976.999988,2016
5.080000,29,736390.000158,2017
5.080000,29,736619.579640,2018
5.080000,29,736946.000000,2019
5.080000,29,737491.110270,2020
5.080000,30,NaN,2010
5.080000,30,734355.000000,2011
5.080000,30,NaN,2012
5.080000,30,NaN,2013
5.080000,30,NaN,2014
5.080000,30,735803.649518,2015
5.080000,30,736243.210414,2016
5.080000,30,736688.578899,2017
5.080000,30,737085.941738,2018
5.080000,30,737457.000000,2019
5.080000,31,NaN,2011
5.080000,31,734555.334045,2012
5.080000,31,734742.000000,2013
5.080000,31,735280.606287,2014
5.080000,31,NaN,2015
5.080000,31,736012.351649,2016
5.080000,31,736247.537135,2017
5.080000,31,NaN,2018
5.080000,31,NaN,2019
5.080000,31,737325.999999,2020
5.080000,33,NaN,2006
5.080000,33,732655.963344,2007
5.080000,33,733081.000000,2008
5.080000,33,733507.999980,2009
5.080000,35,NaN,2008
5.080000,35,733455.231378,2009
5.080000,35,NaN,2010
5.080000,35,734197.124093,2011
5.080000,35,734566.892786,2012
5.080000,35,NaN,2013
5.080000,35,NaN,2014
5.080000,35,735655.582521,2015
5.080000,35,NaN,2016
5.080000,35,736374.053975,2017
5.080000,35,NaN,2018
5.080000,35,737130.000000,2019
5.080000,35,737491.000000,2020
5.080000,36,NaN,2010
5.080000,36,734147.922474,2011
5.080000,36,734508.716963,2012
5.080000,36,NaN,2013
5.080000,36,735172.000000,2014
5.080000,36,NaN,2015
5.080000,36,735880.859865,2016
5.080000,36,736331.999999,2017
5.080000,36,NaN,2018
5.080000,36,736997.000000,2019
