depth,sid,value,WY
5.080000,1,99.000000,2001
5.080000,1,86.000000,2001
5.080000,1,NaN,2002
5.080000,1,92.000000,2003
5.080000,2,103.000000,2004
5.080000,2,66.000000,2005
5.080000,2,NaN,2006
5.080000,2,117.000000,2007
5.080000,2,NaN,2008
5.080000,2,3.000000,2009
5.080000,2,93.000000,2010
5.080000,2,42.000000,2011
5.080000,2,88.000000,2012
5.080000,2,67.000000,2013
5.080000,2,67.000000,2014
5.080000,2,NaN,2015
5.080000,2,109.000000,2016
5.080000,2,40.000000,2017
5.080000,2,NaN,2018
5.080000,2,109.000000,2019
5.080000,3,-227.000000,2016
5.080000,3,NaN,2017
5.080000,3,-210.000000,2018
5.080000,4,-225.000000,2006
5.080000,4,NaN,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,-283.000000,2011
5.080000,4,-300.000000,2012
5.080000,4,-221.000000,2013
5.080000,4,-184.000000,2014
5.080000,4,NaN,2015
5.080000,4,-156.000000,2016
5.080000,4,-221.000000,2017
5.080000,5,75.000000,2001
5.080000,5,123.000000,2001
5.080000,5,NaN,2002
5.080000,5,157.000000,2003
5.080000,5,84.000000,2004
5.080000,5,146.000000,2005
5.080000,9,NaN,2008
5.080000,9,-275.000000,2009
5.080000,9,-238.000000,2010
5.080000,9,NaN,2011
5.080000,9,-187.000000,2012
5.080000,9,-131.000000,2013
5.080000,9,NaN,2014
5.080000,9,-259.000000,2015
5.080000,9,-161.000000,2016
5.080000,9,-161.000000,2017
5.080000,9,-248.000000,2018
5.080000,9,-254.000000,2019
5.080000,9,-153.000000,2020
5.080000,10,NaN,2008
5.080000,10,-276.000000,2009
5.080000,10,-260.000000,2010
5.080000,10,-242.000000,2011
5.080000,10,NaN,2012
5.080000,10,-251.000000,2013
5.080000,10,NaN,2014
5.080000,10,-175.000000,2015
5.080000,10,-229.000000,2016
5.080000,10,-251.000000,2017
5.080000,10,-268.000000,2018
5.080000,10,-244.000000,2019
5.080000,10,-185.000000,2020
5.080000,11,NaN,2015
