depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,730970.000000,2001
5.080000,1,731334.000000,2002
5.080000,1,731698.000000,2003
5.080000,2,NaN,2004
5.080000,2,732508.000000,2005
5.080000,2,732663.000000,2006
5.080000,2,733098.000000,2007
5.080000,2,NaN,2008
5.080000,2,NaN,2009
5.080000,2,734231.000000,2010
5.080000,2,NaN,2011
5.080000,2,NaN,2012
5.080000,2,735348.000000,2013
5.080000,2,NaN,2014
5.080000,2,NaN,2015
5.080000,2,736407.000000,2016
5.080000,2,736788.000000,2017
5.080000,2,737016.000000,2018
5.080000,2,737513.000000,2019
5.080000,3,NaN,2016
5.080000,3,NaN,2017
5.080000,3,736874.000000,2018
5.080000,4,NaN,2005
5.080000,4,732635.000000,2006
5.080000,4,NaN,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,734232.000000,2010
5.080000,4,NaN,2011
5.080000,4,734890.000000,2012
5.080000,4,735384.000000,2013
5.080000,4,NaN,2014
5.080000,4,736055.000000,2015
5.080000,4,736367.000000,2016
5.080000,4,NaN,2017
5.080000,5,730738.000000,2001
5.080000,5,730950.000000,2001
5.080000,5,NaN,2002
5.080000,5,731769.000000,2003
5.080000,5,732067.000000,2004
5.080000,5,732385.000000,2005
5.080000,9,NaN,2007
5.080000,9,733514.000000,2008
5.080000,9,733901.000000,2009
5.080000,9,NaN,2010
5.080000,9,734686.000000,2011
5.080000,9,735026.000000,2012
5.080000,9,735350.000000,2013
5.080000,9,735760.000000,2014
5.080000,9,736152.000000,2015
5.080000,9,736504.000000,2016
5.080000,9,NaN,2017
5.080000,9,NaN,2018
5.080000,9,737612.000000,2019
5.080000,10,NaN,2008
5.080000,10,733524.000000,2009
5.080000,10,733883.000000,2010
5.080000,10,734275.000000,2011
5.080000,10,734696.000000,2012
5.080000,10,734996.000000,2013
5.080000,10,735403.000000,2014
5.080000,10,735744.000000,2015
5.080000,10,NaN,2016
5.080000,10,736504.000000,2017
5.080000,10,736803.000000,2018
5.080000,10,737220.000000,2019
5.080000,10,NaN,2020
5.080000,11,NaN,2015
5.080000,11,736163.000000,2016
5.080000,11,736513.000000,2017
5.080000,11,736862.000000,2018
5.080000,11,737225.000000,2019
5.080000,11,737613.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,733491.000000,2009
5.080000,12,733915.000000,2010
5.080000,12,734220.000000,2011
5.080000,12,NaN,2012
5.080000,12,735120.000000,2013
5.080000,12,735418.000000,2014
5.080000,12,735740.000000,2015
5.080000,12,736063.000000,2016
5.080000,13,736397.000000,2017
5.080000,13,736970.000000,2018
5.080000,13,737272.000000,2019
5.080000,14,735536.000000,2014
5.080000,14,735774.000000,2015
5.080000,14,736204.000000,2016
5.080000,14,736652.000000,2017
5.080000,14,NaN,2018
5.080000,14,737303.000000,2019
5.080000,14,737741.000000,2020
5.080000,15,NaN,2005
5.080000,15,732651.000000,2006
5.080000,15,733095.000000,2007
5.080000,15,733325.000000,2008
5.080000,15,733725.000000,2009
5.080000,15,NaN,2010
5.080000,15,NaN,2011
5.080000,15,734890.000000,2012
5.080000,15,735173.000000,2013
5.080000,15,NaN,2014
5.080000,17,735777.000000,2015
5.080000,17,NaN,2016
5.080000,17,736540.000000,2017
5.080000,17,736831.000000,2018
5.080000,17,737161.000000,2019
5.080000,17,NaN,2020
5.080000,19,NaN,2014
5.080000,19,735745.000000,2015
5.080000,21,NaN,2007
5.080000,21,733517.000000,2008
5.080000,21,733916.000000,2009
5.080000,21,734293.000000,2010
5.080000,21,734685.000000,2011
5.080000,21,735004.000000,2012
5.080000,21,735392.000000,2013
5.080000,21,735785.000000,2014
5.080000,21,736083.000000,2015
5.080000,21,736394.000000,2016
5.080000,21,736804.000000,2017
5.080000,21,NaN,2018
5.080000,21,NaN,2019
5.080000,22,NaN,2008
5.080000,22,733568.000000,2009
5.080000,22,734001.000000,2010
5.080000,22,734303.000000,2011
5.080000,22,734719.000000,2012
5.080000,22,735026.000000,2013
5.080000,22,735399.000000,2014
5.080000,22,735812.000000,2015
5.080000,22,NaN,2016
5.080000,22,736505.000000,2017
5.080000,22,736916.000000,2018
5.080000,22,737233.000000,2019
5.080000,22,737623.000000,2020
5.080000,24,735047.000000,2012
5.080000,24,735346.000000,2013
5.080000,24,735743.000000,2014
5.080000,24,736060.000000,2015
5.080000,24,736380.000000,2016
5.080000,24,736785.000000,2017
5.080000,24,NaN,2018
5.080000,25,730621.000000,2001
5.080000,25,730981.000000,2002
5.080000,25,731329.000000,2003
5.080000,25,NaN,2004
5.080000,26,NaN,2005
5.080000,26,732440.000000,2006
