depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,81.000000,2001
5.080000,1,87.002195,2002
5.080000,1,76.776861,2003
5.080000,2,NaN,2004
5.080000,2,-0.013361,2005
5.080000,2,-55.549415,2006
5.080000,2,22.755823,2007
5.080000,2,3.902865,2008
5.080000,2,-71.032604,2009
5.080000,2,58.342793,2010
5.080000,2,NaN,2011
5.080000,2,NaN,2012
5.080000,2,-97.827471,2013
5.080000,2,-120.227436,2014
5.080000,2,-114.688283,2015
5.080000,2,15.712938,2016
5.080000,2,-119.097296,2017
5.080000,2,-74.433910,2018
5.080000,2,-63.110378,2019
5.080000,3,-163.320364,2016
5.080000,3,NaN,2017
5.080000,3,-217.388031,2018
5.080000,4,NaN,2005
5.080000,4,-127.182608,2006
5.080000,4,89.298122,2007
5.080000,4,NaN,2008
5.080000,4,90.172454,2009
5.080000,4,61.000000,2010
5.080000,4,NaN,2011
5.080000,4,-12.159748,2012
5.080000,4,62.263237,2013
5.080000,4,-119.018124,2014
5.080000,4,13.314124,2015
5.080000,4,-87.106994,2016
5.080000,4,NaN,2017
5.080000,5,66.375107,2001
5.080000,5,69.125235,2001
5.080000,5,NaN,2002
5.080000,5,152.040341,2003
5.080000,5,NaN,2004
5.080000,5,37.701502,2005
5.080000,9,NaN,2007
5.080000,9,67.743018,2008
5.080000,9,54.578736,2009
5.080000,9,106.000346,2010
5.080000,9,148.449635,2011
5.080000,9,76.730587,2012
5.080000,9,81.404475,2013
5.080000,9,128.534977,2014
5.080000,9,66.995509,2015
5.080000,9,25.711272,2016
5.080000,9,NaN,2017
5.080000,9,254.419923,2018
5.080000,9,152.870543,2019
5.080000,10,NaN,2008
5.080000,10,-287.655804,2009
5.080000,10,-298.166625,2010
5.080000,10,-265.900045,2011
5.080000,10,-225.517543,2012
5.080000,10,-266.740350,2013
5.080000,10,-234.000004,2014
5.080000,10,-312.349619,2015
5.080000,10,-303.198856,2016
5.080000,10,-316.263268,2017
