depth,sid,value,WY
5.080000,1,98.789077,2001
5.080000,1,80.000000,2001
5.080000,1,NaN,2002
5.080000,1,88.000004,2003
5.080000,2,100.980147,2004
5.080000,2,65.210369,2005
5.080000,2,NaN,2006
5.080000,2,NaN,2007
5.080000,2,NaN,2008
5.080000,2,1.672076,2009
5.080000,2,91.655521,2010
5.080000,2,41.374724,2011
5.080000,2,86.380262,2012
5.080000,2,66.540253,2013
5.080000,2,65.000019,2014
5.080000,2,NaN,2015
5.080000,2,61.702999,2016
5.080000,2,40.000014,2017
5.080000,2,NaN,2018
5.080000,2,114.434504,2019
5.080000,3,-227.529575,2016
5.080000,3,-97.794373,2017
5.080000,3,-210.129578,2018
5.080000,4,-224.648363,2006
5.080000,4,NaN,2007
5.080000,4,-198.774327,2008
5.080000,4,-153.727622,2009
5.080000,4,NaN,2010
5.080000,4,-278.063201,2011
5.080000,4,-299.149601,2012
5.080000,4,-287.366332,2013
5.080000,4,-163.874828,2014
5.080000,4,NaN,2015
5.080000,4,-175.282801,2016
5.080000,4,-238.568233,2017
5.080000,5,74.953019,2001
5.080000,5,73.632581,2001
5.080000,5,NaN,2002
5.080000,5,158.473034,2003
5.080000,5,84.724174,2004
5.080000,5,113.893551,2005
5.080000,9,NaN,2008
5.080000,9,-274.368768,2009
5.080000,9,-251.318170,2010
5.080000,9,NaN,2011
5.080000,9,-178.568434,2012
5.080000,9,-127.107195,2013
5.080000,9,NaN,2014
5.080000,9,-257.126498,2015
5.080000,9,-161.248756,2016
5.080000,9,-223.739530,2017
5.080000,9,-256.465199,2018
5.080000,9,-241.077459,2019
5.080000,9,-214.907786,2020
5.080000,10,NaN,2008
5.080000,10,-277.000000,2009
5.080000,10,-261.145679,2010
5.080000,10,-218.000000,2011
5.080000,10,NaN,2012
5.080000,10,-255.063787,2013
5.080000,10,NaN,2014
5.080000,10,-175.113159,2015
5.080000,10,-227.198618,2016
5.080000,10,-250.825492,2017
5.080000,10,-278.599168,2018
5.080000,10,NaN,2019
5.080000,10,-195.653887,2020
5.080000,11,NaN,2015
5.080000,11,-306.000000,2016
5.080000,11,-241.056260,2017
5.080000,11,-293.292239,2018
5.080000,11,-254.332307,2019
5.080000,11,-271.341239,2020
5.080000,12,NaN,2007
5.080000,12,-261.537209,2008
5.080000,12,-224.838877,2009
5.080000,12,-245.000000,2010
5.080000,12,-184.000000,2011
5.080000,12,-190.271543,2012
5.080000,12,NaN,2013
5.080000,12,-215.386041,2014
5.080000,12,NaN,2015
5.080000,13,NaN,2016
5.080000,13,-242.397991,2017
5.080000,13,-246.000000,2018
5.080000,13,NaN,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,-218.086440,2016
5.080000,14,-245.519576,2017
5.080000,14,-236.000000,2018
5.080000,14,-240.414770,2019
5.080000,14,-189.397957,2020
5.080000,15,NaN,2005
5.080000,15,-142.324396,2006
5.080000,15,-136.065317,2007
5.080000,15,-123.665151,2008
5.080000,15,-78.055913,2009
5.080000,15,NaN,2010
5.080000,15,-179.806019,2011
5.080000,15,NaN,2012
5.080000,15,-96.647712,2013
5.080000,15,-161.939665,2014
5.080000,17,NaN,2014
5.080000,17,-277.680426,2015
5.080000,17,-220.999892,2016
5.080000,17,-252.286085,2017
5.080000,17,-209.825854,2018
5.080000,17,-165.750157,2019
5.080000,17,-158.211152,2020
5.080000,19,NaN,2013
5.080000,19,132.919338,2014
5.080000,21,NaN,2008
5.080000,21,-284.541639,2009
5.080000,21,-272.306194,2010
5.080000,21,-244.832938,2011
5.080000,21,-234.763240,2012
5.080000,21,NaN,2013
5.080000,21,-251.017776,2014
5.080000,21,NaN,2015
5.080000,21,-307.561382,2016
5.080000,21,-309.342436,2017
5.080000,21,-320.238042,2018
5.080000,21,-289.540212,2019
5.080000,21,-209.509584,2020
5.080000,22,NaN,2008
5.080000,22,-209.555826,2009
5.080000,22,-202.638057,2010
5.080000,22,-208.419336,2011
5.080000,22,-163.000002,2012
5.080000,22,-260.999931,2013
5.080000,22,-250.287698,2014
5.080000,22,NaN,2015
5.080000,22,-212.209280,2016
5.080000,22,-289.587241,2017
5.080000,22,-202.999873,2018
5.080000,22,-277.181041,2019
5.080000,22,-204.124496,2020
5.080000,24,37.202421,2012
5.080000,24,NaN,2013
5.080000,24,21.504948,2014
5.080000,24,50.727046,2015
5.080000,24,21.477629,2016
5.080000,24,46.310718,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,-237.674941,2001
5.080000,25,-258.674278,2002
5.080000,25,-225.448982,2003
5.080000,25,-250.413382,2004
5.080000,26,NaN,2005
