depth,sid,value,WY
5.080000,1,730620.789077,2001
5.080000,1,730967.000000,2001
5.080000,1,NaN,2002
5.080000,1,731705.000004,2003
5.080000,2,732082.980147,2004
5.080000,2,732412.210369,2005
5.080000,2,NaN,2006
5.080000,2,NaN,2007
5.080000,2,NaN,2008
5.080000,2,733808.672076,2009
5.080000,2,734263.655521,2010
5.080000,2,734578.374724,2011
5.080000,2,734988.380262,2012
5.080000,2,735333.540253,2013
5.080000,2,735697.000019,2014
5.080000,2,NaN,2015
5.080000,2,736423.702999,2016
5.080000,2,736767.000014,2017
5.080000,2,NaN,2018
5.080000,2,737571.434504,2019
5.080000,3,736134.470425,2016
5.080000,3,736629.205627,2017
5.080000,3,736881.870422,2018
5.080000,4,732487.351637,2006
5.080000,4,NaN,2007
5.080000,4,733243.225673,2008
5.080000,4,733653.272378,2009
5.080000,4,NaN,2010
5.080000,4,734258.936799,2011
5.080000,4,734602.850399,2012
5.080000,4,734979.633668,2013
5.080000,4,735468.125172,2014
5.080000,4,NaN,2015
5.080000,4,736186.717199,2016
5.080000,4,736488.431767,2017
5.080000,5,730596.953019,2001
5.080000,5,730960.632581,2001
5.080000,5,NaN,2002
5.080000,5,731775.473034,2003
5.080000,5,732066.724174,2004
5.080000,5,732460.893551,2005
5.080000,9,NaN,2008
5.080000,9,733532.631232,2009
5.080000,9,733920.681830,2010
5.080000,9,NaN,2011
5.080000,9,734723.431566,2012
5.080000,9,735139.892805,2013
5.080000,9,NaN,2014
5.080000,9,735739.873502,2015
5.080000,9,736200.751244,2016
5.080000,9,736503.260470,2017
5.080000,9,736835.534801,2018
5.080000,9,737215.922541,2019
5.080000,9,737607.092214,2020
5.080000,10,NaN,2008
5.080000,10,733530.000000,2009
5.080000,10,733910.854321,2010
5.080000,10,734319.000000,2011
5.080000,10,NaN,2012
5.080000,10,735011.936213,2013
5.080000,10,NaN,2014
5.080000,10,735821.886841,2015
5.080000,10,736134.801382,2016
5.080000,10,736476.174508,2017
5.080000,10,736813.400832,2018
5.080000,10,NaN,2019
5.080000,10,737626.346113,2020
5.080000,11,NaN,2015
5.080000,11,736056.000000,2016
5.080000,11,736485.943740,2017
5.080000,11,736798.707761,2018
5.080000,11,737202.667693,2019
5.080000,11,737550.658761,2020
5.080000,12,NaN,2007
5.080000,12,733180.462791,2008
5.080000,12,733582.161123,2009
5.080000,12,733927.000000,2010
5.080000,12,734353.000000,2011
5.080000,12,734711.728457,2012
5.080000,12,NaN,2013
5.080000,12,735416.613959,2014
5.080000,12,NaN,2015
5.080000,13,NaN,2016
5.080000,13,736484.602009,2017
5.080000,13,736846.000000,2018
5.080000,13,NaN,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,736143.913560,2016
5.080000,14,736481.480424,2017
5.080000,14,736856.000000,2018
5.080000,14,737216.585230,2019
5.080000,14,737632.602043,2020
5.080000,15,NaN,2005
5.080000,15,732569.675604,2006
5.080000,15,732940.934683,2007
5.080000,15,733318.334849,2008
5.080000,15,733728.944087,2009
5.080000,15,NaN,2010
5.080000,15,734357.193981,2011
5.080000,15,NaN,2012
5.080000,15,735170.352288,2013
5.080000,15,735470.060335,2014
5.080000,17,NaN,2014
5.080000,17,735719.319574,2015
5.080000,17,736141.000108,2016
5.080000,17,736474.713915,2017
5.080000,17,736882.174146,2018
5.080000,17,737291.249843,2019
5.080000,17,737663.788848,2020
5.080000,19,NaN,2013
5.080000,19,735764.919338,2014
5.080000,21,NaN,2008
5.080000,21,733522.458361,2009
5.080000,21,733899.693806,2010
5.080000,21,734292.167062,2011
5.080000,21,734667.236760,2012
5.080000,21,NaN,2013
5.080000,21,735380.982224,2014
5.080000,21,NaN,2015
5.080000,21,736054.438618,2016
5.080000,21,736417.657564,2017
5.080000,21,736771.761958,2018
5.080000,21,737167.459788,2019
5.080000,21,737612.490416,2020
5.080000,22,NaN,2008
5.080000,22,733597.444174,2009
5.080000,22,733969.361943,2010
5.080000,22,734328.580664,2011
5.080000,22,734738.999998,2012
5.080000,22,735006.000069,2013
5.080000,22,735381.712302,2014
5.080000,22,NaN,2015
5.080000,22,736149.790720,2016
5.080000,22,736437.412759,2017
5.080000,22,736889.000127,2018
5.080000,22,737179.818959,2019
5.080000,22,737617.875504,2020
5.080000,24,734939.202421,2012
5.080000,24,NaN,2013
5.080000,24,735653.504948,2014
5.080000,24,736047.727046,2015
5.080000,24,736383.477629,2016
5.080000,24,736773.310718,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,730649.325059,2001
5.080000,25,730993.325722,2002
5.080000,25,731391.551018,2003
5.080000,25,731731.586618,2004
5.080000,26,NaN,2005
5.080000,26,732504.603631,2006
5.080000,26,732803.403977,2007
5.080000,26,733252.366397,2008
5.080000,26,733586.208571,2009
