depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,103.000000,2001
5.080000,1,NaN,2002
5.080000,1,135.000000,2003
5.080000,2,NaN,2004
5.080000,2,103.000000,2005
5.080000,2,167.000000,2006
5.080000,2,66.000000,2007
5.080000,2,NaN,2008
5.080000,2,128.000000,2009
5.080000,2,132.000000,2010
5.080000,2,131.000000,2011
5.080000,2,114.000000,2012
5.080000,2,NaN,2013
5.080000,2,141.000000,2014
5.080000,2,77.000000,2015
5.080000,2,NaN,2016
5.080000,2,161.000000,2017
5.080000,2,130.000000,2018
5.080000,2,78.000000,2019
5.080000,3,-14.000000,2016
5.080000,3,-168.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2006
5.080000,4,NaN,2007
5.080000,4,-187.000000,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,-72.000000,2011
5.080000,4,NaN,2012
5.080000,4,-173.000000,2013
5.080000,4,NaN,2014
5.080000,4,-81.000000,2015
5.080000,4,NaN,2016
5.080000,4,-136.000000,2017
5.080000,5,NaN,2001
5.080000,5,243.000000,2001
5.080000,5,269.000000,2002
5.080000,5,305.000000,2003
5.080000,5,NaN,2004
5.080000,5,215.000000,2005
5.080000,9,NaN,2008
5.080000,9,8.000000,2009
5.080000,9,-121.000000,2010
5.080000,9,NaN,2011
5.080000,9,NaN,2012
5.080000,9,-136.000000,2013
5.080000,9,-38.000000,2014
5.080000,9,-209.000000,2015
5.080000,9,-77.000000,2016
5.080000,9,-40.000000,2017
5.080000,9,-165.000000,2018
5.080000,9,NaN,2019
5.080000,9,-104.000000,2020
5.080000,10,NaN,2008
5.080000,10,NaN,2009
5.080000,10,NaN,2010
5.080000,10,NaN,2011
5.080000,10,-156.000000,2012
5.080000,10,NaN,2013
5.080000,10,NaN,2014
5.080000,10,-182.000000,2015
5.080000,10,-161.000000,2016
5.080000,10,-155.000000,2017
5.080000,10,-163.000000,2018
5.080000,10,-67.000000,2019
5.080000,10,-135.000000,2020
5.080000,11,NaN,2015
5.080000,11,NaN,2016
5.080000,11,-165.000000,2017
5.080000,11,-120.000000,2018
5.080000,11,-38.000000,2019
5.080000,11,-103.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,-2.000000,2009
5.080000,12,NaN,2010
