depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,NaN,2001
5.080000,1,731011.000000,2002
5.080000,1,731365.000000,2003
5.080000,2,NaN,2004
5.080000,2,732094.000000,2005
5.080000,2,732489.000000,2006
5.080000,2,732819.000000,2007
5.080000,2,NaN,2008
5.080000,2,733584.000000,2009
5.080000,2,733883.000000,2010
5.080000,2,734315.000000,2011
5.080000,2,734680.000000,2012
5.080000,2,NaN,2013
5.080000,2,735403.000000,2014
5.080000,2,735764.000000,2015
5.080000,2,736082.000000,2016
5.080000,2,736510.000000,2017
5.080000,2,736751.000000,2018
5.080000,2,737169.000000,2019
5.080000,3,NaN,2016
5.080000,3,736281.000000,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2005
5.080000,4,732514.000000,2006
5.080000,4,732869.000000,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,NaN,2011
5.080000,4,734663.000000,2012
5.080000,4,735053.000000,2013
5.080000,4,735363.000000,2014
5.080000,4,735726.000000,2015
5.080000,4,736058.000000,2016
5.080000,4,NaN,2017
5.080000,5,NaN,2001
5.080000,5,730758.000000,2001
5.080000,5,NaN,2002
5.080000,5,731388.000000,2003
5.080000,5,NaN,2004
5.080000,5,732195.000000,2005
5.080000,9,NaN,2007
5.080000,9,733361.000000,2008
5.080000,9,733629.000000,2009
5.080000,9,NaN,2010
5.080000,9,NaN,2011
5.080000,9,734725.000000,2012
5.080000,9,NaN,2013
5.080000,9,NaN,2014
5.080000,9,735868.000000,2015
5.080000,9,736198.000000,2016
5.080000,9,NaN,2017
5.080000,9,736868.000000,2018
5.080000,9,NaN,2019
5.080000,10,NaN,2008
5.080000,10,NaN,2009
5.080000,10,733703.000000,2010
5.080000,10,NaN,2011
5.080000,10,734351.000000,2012
5.080000,10,NaN,2013
5.080000,10,NaN,2014
5.080000,10,735467.000000,2015
5.080000,10,735917.000000,2016
5.080000,10,736199.000000,2017
5.080000,10,NaN,2018
5.080000,10,NaN,2019
5.080000,10,737372.000000,2020
5.080000,11,NaN,2015
5.080000,11,735906.000000,2016
5.080000,11,736190.000000,2017
5.080000,11,736606.000000,2018
5.080000,11,NaN,2019
5.080000,11,737291.000000,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,NaN,2009
5.080000,12,733693.000000,2010
5.080000,12,NaN,2011
5.080000,12,734414.000000,2012
5.080000,12,734707.000000,2013
5.080000,12,735119.000000,2014
5.080000,12,735533.000000,2015
5.080000,12,735875.000000,2016
5.080000,13,NaN,2017
5.080000,13,NaN,2018
5.080000,13,NaN,2019
5.080000,14,NaN,2014
5.080000,14,735605.000000,2015
5.080000,14,NaN,2016
5.080000,14,736225.000000,2017
5.080000,14,NaN,2018
5.080000,14,737013.000000,2019
5.080000,14,737476.000000,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,732874.000000,2007
5.080000,15,NaN,2008
5.080000,15,NaN,2009
5.080000,15,NaN,2010
5.080000,15,734316.000000,2011
5.080000,15,734603.000000,2012
