depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,116.002178,2001
5.080000,1,NaN,2002
5.080000,1,132.380942,2003
5.080000,2,NaN,2004
5.080000,2,147.967839,2005
5.080000,2,NaN,2006
5.080000,2,81.982530,2007
5.080000,2,NaN,2008
5.080000,2,126.000000,2009
5.080000,2,127.246810,2010
5.080000,2,130.661476,2011
5.080000,2,162.000000,2012
5.080000,2,NaN,2013
5.080000,2,138.010927,2014
5.080000,2,131.000015,2015
5.080000,2,NaN,2016
5.080000,2,NaN,2017
5.080000,2,NaN,2018
5.080000,2,141.999999,2019
5.080000,3,-22.000000,2016
5.080000,3,-165.879998,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2006
5.080000,4,NaN,2007
5.080000,4,-189.000000,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,-151.999616,2011
5.080000,4,-100.759428,2012
5.080000,4,-173.000000,2013
5.080000,4,-165.576311,2014
5.080000,4,NaN,2015
5.080000,4,NaN,2016
5.080000,4,-140.932796,2017
5.080000,5,NaN,2001
5.080000,5,237.705064,2001
5.080000,5,265.053220,2002
5.080000,5,302.000000,2003
5.080000,5,NaN,2004
5.080000,5,253.000000,2005
5.080000,9,NaN,2008
5.080000,9,1.000000,2009
5.080000,9,-78.455688,2010
5.080000,9,-156.766146,2011
5.080000,9,NaN,2012
5.080000,9,-157.403114,2013
5.080000,9,-30.371255,2014
5.080000,9,NaN,2015
5.080000,9,-77.395907,2016
5.080000,9,-142.062983,2017
5.080000,9,-144.208629,2018
5.080000,9,NaN,2019
5.080000,9,-104.000000,2020
5.080000,10,NaN,2008
5.080000,10,-84.447414,2009
5.080000,10,-109.888036,2010
5.080000,10,NaN,2011
5.080000,10,-157.000000,2012
5.080000,10,-161.580162,2013
5.080000,10,NaN,2014
5.080000,10,-182.760747,2015
5.080000,10,-162.168951,2016
5.080000,10,NaN,2017
5.080000,10,-116.095557,2018
5.080000,10,-56.652892,2019
5.080000,10,-137.265744,2020
5.080000,11,NaN,2015
5.080000,11,NaN,2016
5.080000,11,-130.999995,2017
5.080000,11,-113.494698,2018
5.080000,11,-42.591642,2019
5.080000,11,-103.000031,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,-2.720716,2009
5.080000,12,-98.421802,2010
5.080000,12,NaN,2011
5.080000,12,-42.386528,2012
5.080000,12,28.926622,2013
5.080000,12,-139.875127,2014
5.080000,12,-145.000046,2015
5.080000,13,NaN,2016
5.080000,13,-11.153519,2017
5.080000,13,NaN,2018
5.080000,13,NaN,2019
5.080000,14,NaN,2014
5.080000,14,-5.576144,2015
5.080000,14,NaN,2016
5.080000,14,-150.040798,2017
5.080000,14,-60.794120,2018
5.080000,14,NaN,2019
5.080000,14,-127.205298,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,25.425481,2007
5.080000,15,NaN,2008
5.080000,15,69.941542,2009
5.080000,15,118.399956,2010
