depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,730636.564841,2001
5.080000,1,731009.414738,2002
5.080000,1,731362.000005,2003
5.080000,2,NaN,2004
5.080000,2,732098.009168,2005
5.080000,2,732488.000000,2006
5.080000,2,732831.325454,2007
5.080000,2,NaN,2008
5.080000,2,733560.938387,2009
5.080000,2,733954.000390,2010
5.080000,2,734312.000000,2011
5.080000,2,734679.571703,2012
5.080000,2,NaN,2013
5.080000,2,735401.474831,2014
5.080000,2,735764.587391,2015
5.080000,2,736080.000000,2016
5.080000,2,736447.374266,2017
5.080000,2,736795.999986,2018
5.080000,2,737225.719308,2019
5.080000,3,NaN,2016
5.080000,3,736221.212122,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2005
5.080000,4,NaN,2006
5.080000,4,732870.000000,2007
5.080000,4,NaN,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,NaN,2011
5.080000,4,734663.913678,2012
5.080000,4,735058.600913,2013
5.080000,4,NaN,2014
5.080000,4,NaN,2015
5.080000,4,736068.655759,2016
5.080000,4,NaN,2017
5.080000,5,NaN,2001
5.080000,5,730735.999999,2001
5.080000,5,NaN,2002
5.080000,5,731432.000002,2003
5.080000,5,NaN,2004
5.080000,5,732247.242305,2005
5.080000,9,NaN,2007
5.080000,9,733389.420155,2008
5.080000,9,733666.832273,2009
5.080000,9,734090.362296,2010
5.080000,9,NaN,2011
5.080000,9,734796.000000,2012
5.080000,9,NaN,2013
5.080000,9,735447.008784,2014
5.080000,9,735906.100804,2015
5.080000,9,736219.326117,2016
5.080000,9,NaN,2017
5.080000,9,NaN,2018
5.080000,9,737231.260850,2019
5.080000,10,NaN,2008
5.080000,10,733336.963049,2009
5.080000,10,733705.891146,2010
5.080000,10,734078.531589,2011
5.080000,10,734410.341932,2012
5.080000,10,734827.958823,2013
5.080000,10,735032.000000,2014
5.080000,10,735529.390870,2015
5.080000,10,735902.872716,2016
5.080000,10,736228.596595,2017
5.080000,10,736619.314360,2018
5.080000,10,NaN,2019
5.080000,10,737368.076613,2020
5.080000,11,NaN,2015
5.080000,11,735905.000000,2016
5.080000,11,736208.828566,2017
5.080000,11,736610.444091,2018
5.080000,11,737042.903126,2019
5.080000,11,737295.017176,2020
5.080000,12,NaN,2007
5.080000,12,732994.000000,2008
5.080000,12,733244.999990,2009
5.080000,12,733692.294433,2010
5.080000,12,734064.501619,2011
5.080000,12,734433.057904,2012
5.080000,12,734758.132154,2013
5.080000,12,735127.624991,2014
5.080000,12,735528.573007,2015
5.080000,12,735790.999988,2016
5.080000,13,NaN,2017
5.080000,13,736575.644090,2018
5.080000,13,736925.926810,2019
5.080000,14,NaN,2014
5.080000,14,735610.000000,2015
5.080000,14,NaN,2016
5.080000,14,736225.241132,2017
5.080000,14,736659.872697,2018
5.080000,14,737035.745317,2019
5.080000,14,737473.725561,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,732870.999999,2007
5.080000,15,NaN,2008
5.080000,15,733466.453983,2009
5.080000,15,NaN,2010
5.080000,15,734312.485973,2011
5.080000,15,734678.864712,2012
5.080000,15,NaN,2013
5.080000,15,NaN,2014
5.080000,17,735612.706806,2015
5.080000,17,735840.000087,2016
5.080000,17,736215.288272,2017
5.080000,17,736624.481440,2018
5.080000,17,737049.116802,2019
5.080000,17,737412.513090,2020
5.080000,19,NaN,2014
5.080000,19,735538.502201,2015
5.080000,21,NaN,2007
5.080000,21,733337.865534,2008
5.080000,21,733689.858635,2009
5.080000,21,734086.315173,2010
5.080000,21,734398.975332,2011
5.080000,21,734762.303579,2012
5.080000,21,735084.000000,2013
5.080000,21,735448.746349,2014
5.080000,21,735795.202914,2015
5.080000,21,736238.626413,2016
5.080000,21,736631.673337,2017
5.080000,21,NaN,2018
5.080000,21,NaN,2019
5.080000,22,NaN,2008
5.080000,22,733336.416766,2009
5.080000,22,733696.357192,2010
5.080000,22,734079.397536,2011
5.080000,22,734408.727445,2012
5.080000,22,734727.969767,2013
5.080000,22,735103.973245,2014
5.080000,22,735539.000013,2015
5.080000,22,735764.988342,2016
5.080000,22,736237.660937,2017
5.080000,22,736618.540137,2018
5.080000,22,736940.423031,2019
5.080000,22,737324.814597,2020
