depth,sid,value,WY
5.080000,1,NaN,2001
5.080000,1,730638.002178,2001
5.080000,1,NaN,2002
5.080000,1,731384.380942,2003
5.080000,2,NaN,2004
5.080000,2,732129.967839,2005
5.080000,2,NaN,2006
5.080000,2,732793.982530,2007
5.080000,2,NaN,2008
5.080000,2,733568.000000,2009
5.080000,2,733934.246810,2010
5.080000,2,734302.661476,2011
5.080000,2,734699.000000,2012
5.080000,2,NaN,2013
5.080000,2,735405.010927,2014
5.080000,2,NaN,2015
5.080000,2,NaN,2016
5.080000,2,NaN,2017
5.080000,2,NaN,2018
5.080000,2,737233.999999,2019
5.080000,3,735975.000000,2016
5.080000,3,736196.120002,2017
5.080000,3,NaN,2018
5.080000,4,NaN,2006
5.080000,4,NaN,2007
5.080000,4,732888.000000,2008
5.080000,4,NaN,2009
5.080000,4,NaN,2010
5.080000,4,734020.000384,2011
5.080000,4,734436.240572,2012
5.080000,4,734729.000000,2013
5.080000,4,735101.423689,2014
5.080000,4,NaN,2015
5.080000,4,NaN,2016
5.080000,4,736221.067204,2017
5.080000,5,NaN,2001
5.080000,5,730759.705064,2001
5.080000,5,NaN,2002
5.080000,5,731554.000000,2003
5.080000,5,NaN,2004
5.080000,5,732235.000000,2005
5.080000,9,NaN,2008
5.080000,9,733443.000000,2009
5.080000,9,733728.544312,2010
5.080000,9,NaN,2011
5.080000,9,NaN,2012
5.080000,9,734744.596886,2013
5.080000,9,NaN,2014
5.080000,9,NaN,2015
5.080000,9,735919.604093,2016
5.080000,9,736219.937017,2017
5.080000,9,736582.791371,2018
5.080000,9,NaN,2019
5.080000,9,737353.000000,2020
5.080000,10,NaN,2008
5.080000,10,733357.552586,2009
5.080000,10,733697.111964,2010
5.080000,10,NaN,2011
5.080000,10,NaN,2012
5.080000,10,734740.419838,2013
5.080000,10,NaN,2014
5.080000,10,735449.239253,2015
5.080000,10,735834.831049,2016
5.080000,10,NaN,2017
5.080000,10,736610.904443,2018
5.080000,10,737035.347108,2019
5.080000,10,737319.734256,2020
5.080000,11,NaN,2015
5.080000,11,NaN,2016
5.080000,11,736231.000005,2017
5.080000,11,736613.505302,2018
5.080000,11,737049.408358,2019
5.080000,11,737353.999969,2020
5.080000,12,NaN,2007
5.080000,12,NaN,2008
5.080000,12,733439.279284,2009
5.080000,12,733708.578198,2010
5.080000,12,NaN,2011
5.080000,12,734494.613472,2012
5.080000,12,734930.926622,2013
5.080000,12,735127.124873,2014
5.080000,12,735486.999954,2015
5.080000,13,NaN,2016
5.080000,13,736350.846481,2017
5.080000,13,NaN,2018
5.080000,13,NaN,2019
5.080000,14,NaN,2014
5.080000,14,NaN,2015
5.080000,14,NaN,2016
5.080000,14,736211.959202,2017
5.080000,14,736666.205880,2018
5.080000,14,NaN,2019
5.080000,14,737329.794702,2020
5.080000,15,NaN,2005
5.080000,15,NaN,2006
5.080000,15,732737.425481,2007
5.080000,15,NaN,2008
5.080000,15,733511.941542,2009
5.080000,15,NaN,2010
5.080000,15,NaN,2011
5.080000,15,NaN,2012
5.080000,15,NaN,2013
5.080000,15,735368.846362,2014
5.080000,17,NaN,2014
5.080000,17,NaN,2015
5.080000,17,NaN,2016
5.080000,17,736228.172574,2017
5.080000,17,736677.161045,2018
5.080000,17,NaN,2019
5.080000,17,737409.095776,2020
5.080000,19,NaN,2013
5.080000,19,735444.000000,2014
5.080000,21,NaN,2008
5.080000,21,733217.315570,2009
5.080000,21,733740.999946,2010
5.080000,21,734101.687738,2011
5.080000,21,734381.999983,2012
5.080000,21,NaN,2013
5.080000,21,NaN,2014
5.080000,21,NaN,2015
5.080000,21,735833.000022,2016
5.080000,21,736201.999865,2017
5.080000,21,736596.305960,2018
5.080000,21,737010.120335,2019
5.080000,21,737373.000428,2020
5.080000,22,NaN,2008
5.080000,22,733283.316866,2009
5.080000,22,733665.729086,2010
5.080000,22,734039.025141,2011
5.080000,22,734381.999999,2012
5.080000,22,734792.128903,2013
5.080000,22,735137.671055,2014
5.080000,22,NaN,2015
5.080000,22,735811.029599,2016
5.080000,22,736262.624159,2017
5.080000,22,736616.788414,2018
5.080000,22,736932.282320,2019
5.080000,22,737316.635683,2020
5.080000,24,NaN,2012
5.080000,24,NaN,2013
5.080000,24,NaN,2014
5.080000,24,NaN,2015
5.080000,24,NaN,2016
5.080000,24,736647.000486,2017
5.080000,24,NaN,2018
5.080000,25,NaN,2001
5.080000,25,730514.618305,2001
5.080000,25,730889.288193,2002
5.080000,25,731259.280743,2003
5.080000,25,731629.723259,2004
5.080000,26,NaN,2005
5.080000,26,732355.695688,2006
5.080000,26,732651.873441,2007
5.080000,26,NaN,2008
5.080000,26,733274.000003,2009
5.080000,26,733699.355891,2010
5.080000,26,734006.999870,2011
5.080000,26,734544.749086,2012
5.080000,26,734896.106615,2013
5.080000,26,735127.823741,2014
5.080000,26,NaN,2015
5.080000,26,NaN,2016
5.080000,26,NaN,2017
5.080000,26,736709.716914,2018
5.080000,26,NaN,2019
5.080000,27,NaN,2011
5.080000,27,734384.160735,2012
5.080000,27,734843.069927,2013
5.080000,27,NaN,2014
5.080000,27,NaN,2015
5.080000,27,735951.414286,2016
5.080000,27,NaN,2017
5.080000,27,736683.574004,2018
5.080000,27,737046.775414,2019
5.080000,27,737298.999910,2020
5.080000,28,NaN,2007
5.080000,28,733418.583853,2008
5.080000,28,733634.743774,2009
5.080000,28,NaN,2010
5.080000,28,734308.591705,2011
5.080000,28,734763.999997,2012
5.080000,28,735101.543621,2013
5.080000,28,NaN,2014
5.080000,28,NaN,2015
5.080000,28,736225.882367,2016
5.080000,28,736517.602180,2017
5.080000,28,NaN,2018
5.080000,28,NaN,2019
5.080000,29,NaN,2011
5.080000,29,734410.212930,2012
5.080000,29,734856.385137,2013
5.080000,29,735141.448266,2014
5.080000,29,735588.641854,2015
5.080000,29,735785.768844,2016
5.080000,29,736192.660464,2017
5.080000,29,736561.541060,2018
5.080000,29,736934.123023,2019
5.080000,29,737297.776526,2020
5.080000,30,NaN,2010
5.080000,30,734351.446882,2011
5.080000,30,NaN,2012
5.080000,30,NaN,2013
5.080000,30,NaN,2014
5.080000,30,735799.569374,2015
5.080000,30,736231.417980,2016
5.080000,30,736659.427773,2017
5.080000,30,737004.987912,2018
5.080000,30,737299.999936,2019
5.080000,31,NaN,2011
5.080000,31,734374.580397,2012
5.080000,31,734736.405229,2013
5.080000,31,735228.435037,2014
5.080000,31,NaN,2015
5.080000,31,735928.988321,2016
5.080000,31,736220.000009,2017
5.080000,31,NaN,2018
5.080000,31,NaN,2019
5.080000,31,737315.974073,2020
5.080000,33,NaN,2006
5.080000,33,732651.538227,2007
5.080000,33,733060.400000,2008
5.080000,33,733412.558707,2009
5.080000,35,NaN,2008
5.080000,35,733442.467298,2009
5.080000,35,NaN,2010
5.080000,35,734175.865089,2011
5.080000,35,734555.665822,2012
5.080000,35,NaN,2013
5.080000,35,NaN,2014
5.080000,35,735649.280688,2015
5.080000,35,NaN,2016
5.080000,35,736354.000000,2017
5.080000,35,NaN,2018
5.080000,35,737113.347175,2019
5.080000,35,737481.982016,2020
5.080000,36,NaN,2010
5.080000,36,734014.892364,2011
5.080000,36,734417.498618,2012
5.080000,36,NaN,2013
5.080000,36,735167.757117,2014
5.080000,36,NaN,2015
5.080000,36,735841.244567,2016
5.080000,36,736226.690328,2017
5.080000,36,NaN,2018
5.080000,36,736900.181084,2019
5.080000,36,737300.563607,2020
5.080000,37,NaN,2010
5.080000,37,NaN,2011
5.080000,37,NaN,2012
5.080000,37,NaN,2013
5.080000,37,735395.888191,2014
5.080000,37,735748.607245,2015
5.080000,37,NaN,2016
5.080000,37,NaN,2017
5.080000,37,NaN,2018
5.080000,37,NaN,2019
5.080000,38,NaN,2010
5.080000,38,NaN,2011
5.080000,38,NaN,2012
5.080000,38,NaN,2013
5.080000,38,735395.364803,2014
5.080000,38,735752.555145,2015
5.080000,38,NaN,2016
5.080000,38,736449.032249,2017
5.080000,38,736827.996242,2018
5.080000,38,737206.198715,2019
5.080000,39,NaN,2010
5.080000,39,NaN,2011
5.080000,39,734668.800496,2012
5.080000,39,NaN,2013
5.080000,39,735393.460327,2014
5.080000,39,735754.700162,2015
5.080000,39,736155.599161,2016
5.080000,39,736513.217991,2017
5.080000,39,NaN,2018
5.080000,39,737231.242157,2019
5.080000,40,NaN,2014
5.080000,40,735521.000000,2015
5.080000,40,735914.928802,2016
5.080000,40,736316.812235,2017
5.080000,40,736581.451280,2018
5.080000,40,NaN,2019
5.080000,40,737374.000000,2020
5.080000,41,NaN,2008
5.080000,41,733746.000000,2009
5.080000,41,734026.897374,2010
5.080000,41,734391.000023,2011
5.080000,41,734815.455667,2012
5.080000,42,NaN,2014
5.080000,42,735522.999999,2015
5.080000,42,NaN,2016
5.080000,42,NaN,2017
5.080000,42,736654.746847,2018
5.080000,42,NaN,2019
5.080000,42,737364.000003,2020
5.080000,44,NaN,2007
5.080000,44,733069.000528,2008
5.080000,44,733430.256935,2009
5.080000,44,733811.537818,2010
5.080000,44,734175.645056,2011
5.080000,44,734526.265553,2012
5.080000,44,NaN,2013
